Day	[4, 4, 4, 3, 3, 3]	[4, 4, 4, 4, 3, 2]	[4, 4, 4, 4, 4, 1]	[5, 4, 3, 3, 3, 3]	[5, 4, 4, 4, 2, 2]	[5, 4, 4, 4, 4, 0]	[5, 5, 3, 3, 3, 2]	[5, 5, 5, 3, 2, 1]	[5, 5, 5, 3, 3, 0]	[5, 5, 5, 4, 1, 1]	[5, 5, 5, 4, 2, 0]	[5, 5, 5, 5, 1, 0]	[6, 3, 3, 3, 3, 3]	[6, 4, 4, 4, 3, 0]	[6, 5, 4, 2, 2, 2]	[6, 5, 4, 4, 1, 1]	[6, 5, 5, 3, 1, 1]	[6, 5, 5, 5, 0, 0]	[6, 6, 3, 2, 2, 2]	[6, 6, 3, 3, 2, 1]	[6, 6, 4, 2, 2, 1]	[6, 6, 4, 4, 1, 0]	[6, 6, 5, 2, 2, 0]	[6, 6, 5, 4, 0, 0]	[6, 6, 6, 1, 1, 1]	[6, 6, 6, 2, 1, 0]	[6, 6, 6, 3, 0, 0]	[7, 3, 3, 3, 3, 2]	[7, 4, 3, 3, 3, 1]	[7, 4, 4, 2, 2, 2]	[7, 4, 4, 4, 2, 0]	[7, 5, 3, 2, 2, 2]	[7, 5, 3, 3, 3, 0]	[7, 5, 5, 2, 1, 1]	[7, 5, 5, 4, 0, 0]	[7, 6, 2, 2, 2, 2]	[7, 6, 3, 3, 1, 1]	[7, 6, 4, 4, 0, 0]	[7, 6, 5, 1, 1, 1]	[7, 6, 5, 3, 0, 0]	[7, 6, 6, 2, 0, 0]	[7, 7, 2, 2, 2, 1]	[7, 7, 3, 2, 1, 1]	[7, 7, 3, 2, 2, 0]	[7, 7, 3, 3, 1, 0]	[7, 7, 4, 1, 1, 1]	[7, 7, 4, 2, 1, 0]	[7, 7, 5, 1, 1, 0]	[7, 7, 7, 0, 0, 0]	
0	0.0227895329065043	0.01913004740548388	0.020124287652261704	0.019085217212777453	0.01134499860788615	0.024854298628390607	0.011297742810053595	0.0047004245131632184	0.014758957575400229	0.017104706718629507	0.018638730322650458	0.031146755688611902	0.02010251568409741	0.015570881388656059	0.004760790679606025	0.009020874047495115	0.009762009573961975	0.03755990123099679	0.017228265023044285	0.009047656838155428	0.009872716438482596	0.014635695725010254	0.01591361177382925	0.0294069746063215	0.04014987164400032	0.03169364755768921	0.024856573260632134	0.024845353251525305	0.015534038771387218	0.014857954435041778	0.010782360924572666	0.018684108198185636	0.01073682871933525	0.01581878066743881	0.02446383787231543	0.03132083006894834	0.014594161949118499	0.016461450852864663	0.03160122457748428	0.017267686128036065	0.030588040058588537	0.037671422194548755	0.029404604457570184	0.024543663372524397	0.016429256949999166	0.024820620604299726	0.01732101870843407	0.030491341068847776	0.037203730655143256	
1000	0.022792777606268105	0.019131160274005708	0.020121848873547805	0.019089417620626287	0.011344986402495759	0.024851286639320926	0.01130081843793927	0.0046998548882678055	0.01475716899872131	0.017102633870369026	0.018636471572450207	0.031142981142844427	0.02010961020495513	0.015568994418307402	0.004762525270572534	0.0090197808452915	0.009760826556626665	0.03755534950279639	0.01723150612783252	0.009049816400914729	0.009872200706632462	0.014633922085922301	0.015911683269410837	0.029403410897386798	0.040145006048058526	0.03168980673637081	0.024853560995909223	0.024854157557868184	0.01553932325222556	0.014862818454568138	0.010782244642863556	0.018689015339526417	0.010739800062027184	0.0158168636552077	0.02446087320156063	0.03132464790463855	0.014595860988328423	0.016459455958106998	0.03159739495652248	0.017265593528978922	0.03058433322124435	0.03767468206272897	0.029406793231098433	0.024547688158707066	0.0164321921714366	0.024818716666788063	0.017321270551904952	0.030487645950051937	0.03719922208977343	
2000	0.022796849787547407	0.019133011860809433	0.020119415270119463	0.01909423348366983	0.011345412050232378	0.024848279110804943	0.011304208655429446	0.004699286106948638	0.014755383070804474	0.01710056409185776	0.01863421616730742	0.03113921218692603	0.020117072144416284	0.01556711024243521	0.00476414884585989	0.009018689262046978	0.009759645291260619	0.0375508045154001	0.01723439023529162	0.009051814498906222	0.009871435551613668	0.014632151073474832	0.01590975762097808	0.029399852466065888	0.04014014765773784	0.031685971603051324	0.024850553192148267	0.024863066944712645	0.01554482003672844	0.014867609549231206	0.01078250598682214	0.018693638881162204	0.010743025767173685	0.01581494948194304	0.024457912921284224	0.03132784808287573	0.014597333369620867	0.01645746401765455	0.03159357100697237	0.017263504028920514	0.0305806318734775	0.03767725922461436	0.02940849481542132	0.024551370270304164	0.0164349802627309	0.024816433611639006	0.017321287318802767	0.030483956303479116	0.03719472020128637	
3000	0.022801713392042188	0.019135581790845426	0.02011746076602707	0.01909962331089877	0.01134626544148466	0.024845275163886904	0.01130788223703878	0.004698718002978334	0.014753599269708878	0.017098496778199034	0.018631963448075724	0.031135447719372197	0.02012484385227104	0.015565429942547813	0.004765645395603634	0.009017598978744329	0.009758465432636844	0.03754626494052674	0.017236884771428783	0.009053629654490322	0.00987041502044412	0.014630382170086121	0.015907834265756576	0.029396298272400572	0.04013529505316455	0.03168214103690537	0.024847548970312917	0.024872016463436175	0.015550490866448404	0.014872294231276565	0.010783141661847795	0.018697939636319025	0.010746481424239104	0.01581303758822412	0.024454956166338897	0.031330390400607235	0.01459856109557392	0.016455474449359127	0.031589751611277486	0.01726141701720063	0.030576934933562235	0.037679116928934116	0.029409683558670068	0.024554677108435907	0.016437599719014373	0.024813772309979904	0.017321063026558454	0.030480271050823085	0.03719022367399679	
4000	0.02280731606467463	0.019138838578898053	0.020116357641467183	0.01910553090195273	0.011347532209708295	0.02484226924700013	0.01131180010162017	0.004698149526449158	0.014751814298808246	0.01709642810880955	0.018629709251525517	0.031131680783105235	0.02013285022774896	0.015564377339174514	0.00476699873052393	0.009016507980441034	0.009757284800269527	0.037541722388630065	0.0172389520889918	0.009055235340521538	0.00986922435391076	0.014628612106662166	0.015905909649211313	0.02939274174791838	0.04013043926628504	0.0316783079586995	0.024844542778328586	0.02488092448953266	0.01555628554200874	0.014876833211954217	0.01078414363524216	0.01870187278892547	0.01075013428553732	0.015811124440697887	0.02445199747237311	0.03133222859844866	0.014599520228645337	0.01645348357631781	0.03158592971084798	0.017259328636832105	0.030573235569217993	0.03768021132630242	0.029410326750821645	0.024557568756387125	0.01644002172889144	0.024810799483312933	0.01732058871705173	0.030476583381402533	0.03718572419791402	
5000	0.02281361135914957	0.019142756322469874	0.02011610899034056	0.01911190534949265	0.011349202411623103	0.024839268856912414	0.01131592730034034	0.004697582055826042	0.014750032486372239	0.017094363099882628	0.018627459043723857	0.0311279205123446	0.020141022560404776	0.01556396646969902	0.004768197117277958	0.009015418912633938	0.009756106257003828	0.0375371878746735	0.017240566009455168	0.009056610066760739	0.009868032289915672	0.014626845175324428	0.01590398843823038	0.029389191516623826	0.040125592071607846	0.03167448166303653	0.024841541905731304	0.024889720478809708	0.015562159492901018	0.014881196252113841	0.01078550730846093	0.01870540584720214	0.010753954747476388	0.01580921467844186	0.024449044013747666	0.03133333740606503	0.014600194767899038	0.0164514962260802	0.03158211457318273	0.017257243951804228	0.030569542750813153	0.03768052287149731	0.029410409509658297	0.02456001995051188	0.016442225736417036	0.024807802686432748	0.01731986571285194	0.03047290223722752	0.0371812326835498	
6000	0.022820545736393968	0.019147303223368366	0.0201167108807222	0.019118690544085073	0.011351263319866356	0.024836773570895896	0.011320226794021723	0.0046970167034851105	0.014748257325173153	0.01709230579932243	0.018625217235608362	0.0311241742781073	0.020149288159334065	0.015564191721277838	0.004769230361297894	0.009014333910152657	0.009754932113062297	0.03753267028737331	0.017241702466514637	0.009057732854612272	0.009866844675715615	0.014625084839674736	0.015902074398840182	0.029385654537807	0.040120762970777	0.03167066965035787	0.02483855223493858	0.02489833177715483	0.015568065492048451	0.014885353547908457	0.010787224849444456	0.018708508219060404	0.010757910666589756	0.015807312045040132	0.024446101579937575	0.03133369500659814	0.014600568985408426	0.016449516294321044	0.031578313676850704	0.017255167048591067	0.030565863717142292	0.03768003518862009	0.029409918526588225	0.024562006513864868	0.016444190668021445	0.024804817076143182	0.017318895758342518	0.030469234834208294	0.0371767579353311	
7000	0.022828057192939847	0.019152441060728043	0.02011815401006324	0.019125823632156178	0.011353699482538353	0.024835247139643492	0.01132465849711456	0.0046964552941592495	0.014746496904910002	0.017090262847278152	0.018622991062845415	0.031120454171749898	0.020157567997090193	0.015565043523735977	0.004770089677029463	0.009013256474954285	0.009753766158115318	0.03752818420770744	0.01724234094576978	0.009058583342407089	0.009865665344457611	0.014623336781377571	0.01590017370879976	0.02938214222743094	0.04011596755021234	0.03166688422432668	0.02483558341542062	0.02490668208860926	0.015573952160513327	0.014889275332684844	0.010789285718768579	0.018711152211114447	0.010761966870472301	0.015805422681437885	0.024443179667950746	0.03133328724675548	0.014600628891473011	0.01644755017147402	0.031574539289635974	0.01725310463061131	0.030562210342665014	0.03767874080849842	0.029408846451703205	0.02456350815866923	0.016445896414359045	0.024801852288808587	0.01731768429360176	0.03046559300926542	0.037172314395968145	
8000	0.022836081417913344	0.019158129092834125	0.020120425603598467	0.019133240785979822	0.01135649396748401	0.02483469755409735	0.01132918239005476	0.004695900536502001	0.014745050251648604	0.01708824410046056	0.018620791266137894	0.031116778141815	0.02016578436675301	0.01556651004723225	0.004770768168450763	0.00901219180538264	0.009752614017591345	0.037523751279839944	0.017242467270251048	0.009059144354171236	0.009864499986107307	0.014621609434358172	0.015898295538442745	0.029378671531477028	0.04011122894656709	0.03166314364863619	0.024832649770957078	0.0249146992162136	0.015579769328718086	0.014892935010100744	0.01079167810313783	0.018713316049657015	0.010766088459412713	0.015803555703321478	0.024440292375250416	0.03133211084737636	0.014600364998329078	0.016445607343568876	0.031570809621972146	0.017251066648493775	0.03055860025396017	0.03767664460354273	0.029407195108730275	0.024564511930912435	0.016447327060562202	0.024798922628754414	0.017316241595609856	0.030461994333254246	0.03716792350437918	
9000	0.02284455091368474	0.019164322683536912	0.020123507549189748	0.01914087670829392	0.011359626912727802	0.024835127607874503	0.011333757948097779	0.004695355640476654	0.014744124596629512	0.017086261239831792	0.018618630574046873	0.031113167458709765	0.02017386113870741	0.015568576211789524	0.004771260040750212	0.00901114606187591	0.009751482358056894	0.03751939715377412	0.017242072632224794	0.00905940197892998	0.009863355343712818	0.01461991279346829	0.015896450755321527	0.02937526253223974	0.040106574578559304	0.031659469567170945	0.024829768276331394	0.02492231453315343	0.015585467855014303	0.014896307854008282	0.010794387915255534	0.01871498235153503	0.010770240684522392	0.015801721913482378	0.024437456408417244	0.031330170888542855	0.014599771930006418	0.01644369905228245	0.031567146254627386	0.01724906489450078	0.030555054339882825	0.03767376073795813	0.02940497349976041	0.02456501060789507	0.016448470325900293	0.02479604504770943	0.01731458135320539	0.030458459628993108	0.03716361066733529	
