Day	[4, 4, 4, 3, 3, 3]	[4, 4, 4, 4, 3, 2]	[4, 4, 4, 4, 4, 1]	[5, 4, 3, 3, 3, 3]	[5, 4, 4, 4, 2, 2]	[5, 4, 4, 4, 4, 0]	[5, 5, 3, 3, 3, 2]	[5, 5, 5, 3, 2, 1]	[5, 5, 5, 3, 3, 0]	[5, 5, 5, 4, 1, 1]	[5, 5, 5, 4, 2, 0]	[5, 5, 5, 5, 1, 0]	[6, 3, 3, 3, 3, 3]	[6, 4, 4, 4, 3, 0]	[6, 5, 4, 2, 2, 2]	[6, 5, 4, 4, 1, 1]	[6, 5, 5, 3, 1, 1]	[6, 5, 5, 5, 0, 0]	[6, 6, 3, 2, 2, 2]	[6, 6, 3, 3, 2, 1]	[6, 6, 4, 2, 2, 1]	[6, 6, 4, 4, 1, 0]	[6, 6, 5, 2, 2, 0]	[6, 6, 5, 4, 0, 0]	[6, 6, 6, 1, 1, 1]	[6, 6, 6, 2, 1, 0]	[6, 6, 6, 3, 0, 0]	[7, 3, 3, 3, 3, 2]	[7, 4, 3, 3, 3, 1]	[7, 4, 4, 2, 2, 2]	[7, 4, 4, 4, 2, 0]	[7, 5, 3, 2, 2, 2]	[7, 5, 3, 3, 3, 0]	[7, 5, 5, 2, 1, 1]	[7, 5, 5, 4, 0, 0]	[7, 6, 2, 2, 2, 2]	[7, 6, 3, 3, 1, 1]	[7, 6, 4, 4, 0, 0]	[7, 6, 5, 1, 1, 1]	[7, 6, 5, 3, 0, 0]	[7, 6, 6, 2, 0, 0]	[7, 7, 2, 2, 2, 1]	[7, 7, 3, 2, 1, 1]	[7, 7, 3, 2, 2, 0]	[7, 7, 3, 3, 1, 0]	[7, 7, 4, 1, 1, 1]	[7, 7, 4, 2, 1, 0]	[7, 7, 5, 1, 1, 0]	[7, 7, 7, 0, 0, 0]	
0	0.02280361121	0.01915268544	0.02015413296	0.01908251887	0.01136143819	0.02488990308	0.01128858513	0.004704325852	0.01477479521	0.01712467774	0.01866320065	0.03118415094	0.02005891233	0.01559403681	0.004740478612	0.009033152819	0.009770730011	0.03760806593	0.01717794803	0.00901691311	0.009865868322	0.01465803197	0.01593632862	0.02944790193	0.04019774414	0.03173532206	0.02488977807	0.02476684402	0.0154959235	0.0148103045	0.01079822707	0.01861995508	0.01072309308	0.0158309812	0.02449597359	0.03124936438	0.01456019673	0.01648667113	0.0316333129	0.01728911429	0.03062780108	0.03759848008	0.02935033982	0.02448329541	0.01638782782	0.0248136613	0.01730470288	0.03051885213	0.03723983999	
5000	0.02280347987236524	0.019152575129909928	0.020154016882062652	0.019082408964035097	0.011361372753679195	0.024889759726345637	0.011288520113277124	0.0047042987573865675	0.014774710114414112	0.017124579110241345	0.018663093159102726	0.031183971334559926	0.020058908316443802	0.015593946995983637	0.004740563442494577	0.00903310079246286	0.009770673736379394	0.037607849325955095	0.017178191309070286	0.009017039387126943	0.009865952067453738	0.01465794754691316	0.015936255046827275	0.02944773232450411	0.04019759351947392	0.03173518592705526	0.024889634717065644	0.024767036054309566	0.01549596728265691	0.014810478594888161	0.010798164877499449	0.018620220776860263	0.01072304199607561	0.015830973208447487	0.024495832505186645	0.03124974977784931	0.014560350238266255	0.01648657617484701	0.03163324232944871	0.017289014713167333	0.030627696231746323	0.03759888806779045	0.029350631307531124	0.02448358067749759	0.016387995707918546	0.024813777268962688	0.017304827845060197	0.03051881288410963	0.03723978112329095	
10000	0.02280334858636859	0.01915246486319053	0.0201539008497637	0.01908229910128199	0.011361307343085984	0.024889616429053657	0.011288455122116922	0.004704271673425948	0.014774625052285268	0.01712448051926099	0.0186629857104677	0.03118379179973546	0.020058906111632822	0.015593857217279466	0.00474064854219991	0.009033048786381026	0.009770617483884287	0.03760763280707288	0.01717843474587726	0.009017165830583528	0.009866035552787972	0.014657863157018999	0.015936181018273578	0.029447562785692057	0.04019744154554771	0.0317350488335697	0.024889491420493435	0.02476722966485577	0.015496012219258969	0.01481065338672434	0.010798102709451144	0.018620486959562466	0.010722991846280084	0.015830964674092948	0.024495691475843632	0.03125013512212999	0.014560503709318544	0.0164864812570276	0.031633170710943195	0.01728891517548532	0.030627590616369906	0.03759929580029337	0.02935092254817054	0.024483866099104492	0.016388163758687842	0.024813892579462735	0.017304952546676307	0.030518772783667433	0.03723972148426188	
15000	0.02280321735310345	0.01915235464076027	0.020153784864069643	0.019082189282655686	0.011361241958765205	0.02488947318931767	0.011288390157060648	0.0047042446003437025	0.014774540024321967	0.017124381967880086	0.018662878304990162	0.031183612337021785	0.020058905715747963	0.015593767474635265	0.004740733909569788	0.009032996801187626	0.00977056125398325	0.03760741637515606	0.0171786783377421	0.009017292439093758	0.009866118776833396	0.014657778801020373	0.015936106534428587	0.02944739331497602	0.04019728821930709	0.03173491078052104	0.02488934818147672	0.024767424850213396	0.015496058309795717	0.014810828873736335	0.010798040566372883	0.01862075362532903	0.010722942631342963	0.015830955596555757	0.02449555050314567	0.03125052040900629	0.01456065714210906	0.016486386377332293	0.03163309804499085	0.01728881567778304	0.030627484235055385	0.037599703273939765	0.029351213539747907	0.024484151672714536	0.01638833197160766	0.024814007230971595	0.01730507698425708	0.03051873182938729	0.03723966107463661	
20000	0.022803086173662886	0.01915224446353712	0.02015366892594642	0.01908207950907086	0.011361176601261465	0.024889330008330643	0.01128832521864944	0.004704217538365333	0.014774455031232392	0.017124283456919458	0.018662770943564055	0.031183432947913804	0.020058907128953633	0.015593677768798497	0.0047408195430557725	0.009032944837315565	0.009770505047144563	0.03760720003200746	0.01717892208198426	0.009017419211379944	0.00986620173842178	0.014657694479619933	0.0159360315953856	0.029447223913767386	0.0401971335418501	0.03173477176889471	0.024889205001208822	0.024767621608943392	0.01549610555424694	0.014811005054146072	0.010797978448782245	0.01862102077137839	0.010722894351985365	0.01583094597546072	0.024495409588266848	0.031250905634642806	0.01456081053559052	0.01648629153655139	0.031633024332108864	0.017288716220889136	0.03062737708899303	0.03760011048516359	0.029351504280095603	0.024484437396219957	0.016388500345976303	0.024814121222967295	0.01730520115721407	0.030518690021990903	0.03723959989614521	
25000	0.022802955049139477	0.01915213433243873	0.0201535530363597	0.019081969781441836	0.011361111271119067	0.0248891868872851	0.01128826030742414	0.004704190487716227	0.014774370073724473	0.01712418498719964	0.018662663627083912	0.031183253633905582	0.020058910351398014	0.015593588100516332	0.0047409054411072064	0.009032892895197849	0.00977044886383643	0.03760698377942912	0.017179165975921246	0.009017546146162415	0.009866284436387526	0.014657610193519898	0.01593595620124114	0.029447054583477104	0.04019697751428612	0.03173463179968369	0.024889061880882152	0.024767819939592796	0.01549615395258262	0.014811181926170314	0.010797916357196605	0.0186212883949249	0.010722847008919883	0.015830935810437954	0.024495268732380837	0.03125129079520458	0.014560963888716126	0.01648619673547473	0.03163294957282401	0.017288616805632068	0.030627269179378882	0.037600517430401194	0.029351794767048727	0.024484723267511718	0.0163886688810906	0.02481423455493482	0.0173053250649613	0.03051864736220788	0.03723953795052384	
30000	0.02280282398062536	0.019152024248382388	0.020153437196274698	0.01908186010068245	0.011361045968882153	0.024889043827373093	0.011288195423925385	0.004704163448621698	0.014774285152505779	0.017124086559540723	0.01866255635644351	0.0311830743964905	0.02005891538321299	0.01559349847053559	0.0047409916021712165	0.009032840975266972	0.009770392704526737	0.03760676761922204	0.01717941001686905	0.009017673242159857	0.009866366869567347	0.014657525943422291	0.015935880352095068	0.029446885325515527	0.04019682013773647	0.031734490873888625	0.02488891882168871	0.024768019840694846	0.015496203504763054	0.014811359488020216	0.010797854292133131	0.01862155649317877	0.010722800602850618	0.015830925101123043	0.02449512793666077	0.031251675886857365	0.014561117200439518	0.016486101974891965	0.031632873767672695	0.017288517432839746	0.030627160507414826	0.037600924106091775	0.029352084998445178	0.02448500928447935	0.016388837576245947	0.02481434722636583	0.017305448706915527	0.03051860385077548	0.03723947523951468	
35000	0.022802692969212026	0.019151914212284845	0.020153321406656217	0.01908175046770624	0.011360980695094678	0.0248889008297861	0.011288130568693558	0.0047041364213069176	0.014774200268283596	0.017123988174762343	0.018662449132536306	0.031182895237161376	0.020058922224514043	0.01559340887960274	0.0047410780246927645	0.009032789077955367	0.009770336569683213	0.03760655155318662	0.017179654202141598	0.009017800498089099	0.009866449036800246	0.01465744173002881	0.01593580404805062	0.029446716141292347	0.04019666141333402	0.03173434899251769	0.02488877582481991	0.02476822131076882	0.015496254210738712	0.014811537737901491	0.010797792254108702	0.018621825063346427	0.010722755134473218	0.015830913847157	0.024494987202279328	0.0312520609057672	0.014561270469714843	0.01648600725559226	0.031632796917201195	0.017288418103339864	0.030627051074308253	0.03760133050867746	0.029352374972125485	0.024485295445010692	0.016389006430736226	0.024814459236758717	0.017305572082496085	0.03051855948843888	0.03723941176486611	
40000	0.022802562015990797	0.019151804225062567	0.02015320566846856	0.01908164088342626	0.011360915450300116	0.024888757895715072	0.01128806574226884	0.004704109405997002	0.014774115421764853	0.017123889833684174	0.018662341956255282	0.031182716157410365	0.020058930875400352	0.01559331932846395	0.004741164707114567	0.00903273720369525	0.009770280459773384	0.03760633558312246	0.017179898529051267	0.009017927912665284	0.00986653093692748	0.014657357554040823	0.01593572728921426	0.029446547032216584	0.04019650134222334	0.031734206156587286	0.024888632891466787	0.02476842434832021	0.015496306070450348	0.014811716674014368	0.010797730243640048	0.01862209410263016	0.010722710604474783	0.015830902048186237	0.024494846530408572	0.03125244584810072	0.014561423695496746	0.01648591257836454	0.03163271902196531	0.017288318817959687	0.03062694088127254	0.037601736634602895	0.029352664685933578	0.024485581746992495	0.01638917544385413	0.02481457058561866	0.017305695191124917	0.030518514275950946	0.03723934752833217	
45000	0.022802431122052175	0.019151694287631617	0.02015308998267573	0.019081531348755173	0.011360850235041924	0.02488861502635037	0.011288000945191085	0.0047040824029169325	0.014774030613656196	0.01712379153712511	0.01866223482849304	0.031182537158728936	0.020058941335954764	0.015593229817865045	0.004741251647877236	0.00903268535291864	0.009770224375264567	0.037606119710827966	0.0171801429949086	0.009018055484601733	0.009866612568792673	0.01465727341615938	0.015935650075695834	0.029446377999696675	0.04019633992556083	0.03173406236711953	0.02488849002281971	0.024768628951840798	0.015496359083828959	0.014811896294553605	0.01079766826124357	0.01862236360822849	0.010722667013533908	0.01583088970386262	0.024494705922220073	0.031252830710025374	0.014561576876740413	0.01648581794399767	0.03163264008253051	0.01728821957752608	0.030626829929526266	0.03760214248031586	0.029352954137714896	0.02448586818830995	0.016389344614890645	0.024814681272457638	0.017305818032226666	0.030518468214072437	0.0372392825316733	
