,Name,side 1,side 2,side 3,side 4,side 5 ,side 6,MU wins,MU draws,MU losses,MU win %,MU draw %,MU loss %,total win %,total draws %,total loss %
14,5/5/5/3/2/1,5,5,5,3,2,1,275,24,32,0.8308,0.0725,0.0967,0.5318,0.1034,0.3648
15,5/5/5/3/3/0,5,5,5,3,3,0,273,20,38,0.8248,0.0604,0.1148,0.5209,0.1048,0.3743
16,5/5/5/4/1/1,5,5,5,4,1,1,266,22,43,0.8036,0.0665,0.1299,0.5223,0.1047,0.3729
17,5/5/5/4/2/0,5,5,5,4,2,0,272,19,40,0.8218,0.0574,0.1208,0.5166,0.1052,0.3781
18,5/5/5/5/1/0,5,5,5,5,1,0,249,23,59,0.7523,0.0695,0.1782,0.5033,0.1073,0.3895
19,6/3/3/3/3/3,6,3,3,3,3,3,266,8,57,0.8036,0.0242,0.1722,0.5505,0.1011,0.3484
20,6/4/3/3/3/2,6,4,3,3,3,2,266,18,47,0.8036,0.0544,0.142,0.5462,0.1015,0.3522
21,6/4/4/3/2/2,6,4,4,3,2,2,269,17,45,0.8127,0.0514,0.136,0.542,0.102,0.3561
22,6/4/4/3/3/1,6,4,4,3,3,1,266,30,35,0.8036,0.0906,0.1057,0.5368,0.1029,0.3604
23,6/4/4/4/2/1,6,4,4,4,2,1,272,23,36,0.8218,0.0695,0.1088,0.5325,0.1033,0.3642
24,6/4/4/4/3/0,6,4,4,4,3,0,259,17,55,0.7825,0.0514,0.1662,0.5216,0.1047,0.3737
