size	Best of	[4, 4, 4, 3, 3, 3]	[4, 4, 4, 4, 3, 2]	[4, 4, 4, 4, 4, 1]	[5, 4, 3, 3, 3, 3]	[5, 4, 4, 3, 3, 2]	[5, 4, 4, 4, 2, 2]	[5, 4, 4, 4, 3, 1]	[5, 4, 4, 4, 4, 0]	[5, 5, 3, 3, 3, 2]	[5, 5, 4, 3, 2, 2]	[5, 5, 4, 3, 3, 1]	[5, 5, 4, 4, 2, 1]	[5, 5, 4, 4, 3, 0]	[5, 5, 5, 2, 2, 2]	[5, 5, 5, 3, 2, 1]	[5, 5, 5, 3, 3, 0]	[5, 5, 5, 4, 1, 1]	[5, 5, 5, 4, 2, 0]	[5, 5, 5, 5, 1, 0]	[6, 3, 3, 3, 3, 3]	[6, 4, 3, 3, 3, 2]	[6, 4, 4, 3, 2, 2]	[6, 4, 4, 3, 3, 1]	[6, 4, 4, 4, 2, 1]	[6, 4, 4, 4, 3, 0]	[6, 5, 3, 3, 2, 2]	[6, 5, 3, 3, 3, 1]	[6, 5, 4, 2, 2, 2]	[6, 5, 4, 3, 2, 1]	[6, 5, 4, 3, 3, 0]	[6, 5, 4, 4, 1, 1]	[6, 5, 4, 4, 2, 0]	[6, 5, 5, 2, 2, 1]	[6, 5, 5, 3, 1, 1]	[6, 5, 5, 3, 2, 0]	[6, 5, 5, 4, 1, 0]	[6, 5, 5, 5, 0, 0]	[6, 6, 3, 2, 2, 2]	[6, 6, 3, 3, 2, 1]	[6, 6, 3, 3, 3, 0]	[6, 6, 4, 2, 2, 1]	[6, 6, 4, 3, 1, 1]	[6, 6, 4, 3, 2, 0]	[6, 6, 4, 4, 1, 0]	[6, 6, 5, 2, 1, 1]	[6, 6, 5, 2, 2, 0]	[6, 6, 5, 3, 1, 0]	[6, 6, 5, 4, 0, 0]	[6, 6, 6, 1, 1, 1]	[6, 6, 6, 2, 1, 0]	[6, 6, 6, 3, 0, 0]	[7, 3, 3, 3, 3, 2]	[7, 4, 3, 3, 2, 2]	[7, 4, 3, 3, 3, 1]	[7, 4, 4, 2, 2, 2]	[7, 4, 4, 3, 2, 1]	[7, 4, 4, 3, 3, 0]	[7, 4, 4, 4, 1, 1]	[7, 4, 4, 4, 2, 0]	[7, 5, 3, 2, 2, 2]	[7, 5, 3, 3, 2, 1]	[7, 5, 3, 3, 3, 0]	[7, 5, 4, 2, 2, 1]	[7, 5, 4, 3, 1, 1]	[7, 5, 4, 3, 2, 0]	[7, 5, 4, 4, 1, 0]	[7, 5, 5, 2, 1, 1]	[7, 5, 5, 2, 2, 0]	[7, 5, 5, 3, 1, 0]	[7, 5, 5, 4, 0, 0]	[7, 6, 2, 2, 2, 2]	[7, 6, 3, 2, 2, 1]	[7, 6, 3, 3, 1, 1]	[7, 6, 3, 3, 2, 0]	[7, 6, 4, 2, 1, 1]	[7, 6, 4, 2, 2, 0]	[7, 6, 4, 3, 1, 0]	[7, 6, 4, 4, 0, 0]	[7, 6, 5, 1, 1, 1]	[7, 6, 5, 2, 1, 0]	[7, 6, 5, 3, 0, 0]	[7, 6, 6, 1, 1, 0]	[7, 6, 6, 2, 0, 0]	[7, 7, 2, 2, 2, 1]	[7, 7, 3, 2, 1, 1]	[7, 7, 3, 2, 2, 0]	[7, 7, 3, 3, 1, 0]	[7, 7, 4, 1, 1, 1]	[7, 7, 4, 2, 1, 0]	[7, 7, 4, 3, 0, 0]	[7, 7, 5, 1, 1, 0]	[7, 7, 5, 2, 0, 0]	[7, 7, 6, 1, 0, 0]	[7, 7, 7, 0, 0, 0]	[8, 3, 3, 3, 2, 2]	[8, 3, 3, 3, 3, 1]	[8, 4, 3, 2, 2, 2]	[8, 4, 3, 3, 2, 1]	[8, 4, 3, 3, 3, 0]	[8, 4, 4, 2, 2, 1]	[8, 4, 4, 3, 1, 1]	[8, 4, 4, 3, 2, 0]	[8, 4, 4, 4, 1, 0]	[8, 5, 2, 2, 2, 2]	[8, 5, 3, 2, 2, 1]	[8, 5, 3, 3, 1, 1]	[8, 5, 3, 3, 2, 0]	[8, 5, 4, 2, 1, 1]	[8, 5, 4, 2, 2, 0]	[8, 5, 4, 3, 1, 0]	[8, 5, 4, 4, 0, 0]	[8, 5, 5, 1, 1, 1]	[8, 5, 5, 2, 1, 0]	[8, 5, 5, 3, 0, 0]	[8, 6, 2, 2, 2, 1]	[8, 6, 3, 2, 1, 1]	[8, 6, 3, 2, 2, 0]	[8, 6, 3, 3, 1, 0]	[8, 6, 4, 1, 1, 1]	[8, 6, 4, 2, 1, 0]	[8, 6, 4, 3, 0, 0]	[8, 6, 5, 1, 1, 0]	[8, 6, 5, 2, 0, 0]	[8, 6, 6, 1, 0, 0]	[8, 7, 2, 2, 1, 1]	[8, 7, 2, 2, 2, 0]	[8, 7, 3, 1, 1, 1]	[8, 7, 3, 2, 1, 0]	[8, 7, 3, 3, 0, 0]	[8, 7, 4, 1, 1, 0]	[8, 7, 4, 2, 0, 0]	[8, 7, 5, 1, 0, 0]	[8, 7, 6, 0, 0, 0]	[8, 8, 2, 1, 1, 1]	[8, 8, 2, 2, 1, 0]	[8, 8, 3, 1, 1, 0]	[8, 8, 3, 2, 0, 0]	[8, 8, 4, 1, 0, 0]	[8, 8, 5, 0, 0, 0]	[9, 3, 3, 2, 2, 2]	[9, 3, 3, 3, 2, 1]	[9, 3, 3, 3, 3, 0]	[9, 4, 2, 2, 2, 2]	[9, 4, 3, 2, 2, 1]	[9, 4, 3, 3, 1, 1]	[9, 4, 3, 3, 2, 0]	[9, 4, 4, 2, 1, 1]	[9, 4, 4, 2, 2, 0]	[9, 4, 4, 3, 1, 0]	[9, 4, 4, 4, 0, 0]	[9, 5, 2, 2, 2, 1]	[9, 5, 3, 2, 1, 1]	[9, 5, 3, 2, 2, 0]	[9, 5, 3, 3, 1, 0]	[9, 5, 4, 1, 1, 1]	[9, 5, 4, 2, 1, 0]	[9, 5, 4, 3, 0, 0]	[9, 5, 5, 1, 1, 0]	[9, 5, 5, 2, 0, 0]	[9, 6, 2, 2, 1, 1]	[9, 6, 2, 2, 2, 0]	[9, 6, 3, 1, 1, 1]	[9, 6, 3, 2, 1, 0]	[9, 6, 3, 3, 0, 0]	[9, 6, 4, 1, 1, 0]	[9, 6, 4, 2, 0, 0]	[9, 6, 5, 1, 0, 0]	[9, 6, 6, 0, 0, 0]	[9, 7, 2, 1, 1, 1]	[9, 7, 2, 2, 1, 0]	[9, 7, 3, 1, 1, 0]	[9, 7, 3, 2, 0, 0]	[9, 7, 4, 1, 0, 0]	[9, 7, 5, 0, 0, 0]	[9, 8, 1, 1, 1, 1]	[9, 8, 2, 1, 1, 0]	[9, 8, 2, 2, 0, 0]	[9, 8, 3, 1, 0, 0]	[9, 8, 4, 0, 0, 0]	[9, 9, 1, 1, 1, 0]	[9, 9, 2, 1, 0, 0]	[9, 9, 3, 0, 0, 0]	[10, 3, 2, 2, 2, 2]	[10, 3, 3, 2, 2, 1]	[10, 3, 3, 3, 1, 1]	[10, 3, 3, 3, 2, 0]	[10, 4, 2, 2, 2, 1]	[10, 4, 3, 2, 1, 1]	[10, 4, 3, 2, 2, 0]	[10, 4, 3, 3, 1, 0]	[10, 4, 4, 1, 1, 1]	[10, 4, 4, 2, 1, 0]	[10, 4, 4, 3, 0, 0]	[10, 5, 2, 2, 1, 1]	[10, 5, 2, 2, 2, 0]	[10, 5, 3, 1, 1, 1]	[10, 5, 3, 2, 1, 0]	[10, 5, 3, 3, 0, 0]	[10, 5, 4, 1, 1, 0]	[10, 5, 4, 2, 0, 0]	[10, 5, 5, 1, 0, 0]	[10, 6, 2, 1, 1, 1]	[10, 6, 2, 2, 1, 0]	[10, 6, 3, 1, 1, 0]	[10, 6, 3, 2, 0, 0]	[10, 6, 4, 1, 0, 0]	[10, 6, 5, 0, 0, 0]	[10, 7, 1, 1, 1, 1]	[10, 7, 2, 1, 1, 0]	[10, 7, 2, 2, 0, 0]	[10, 7, 3, 1, 0, 0]	[10, 7, 4, 0, 0, 0]	[10, 8, 1, 1, 1, 0]	[10, 8, 2, 1, 0, 0]	[10, 8, 3, 0, 0, 0]	[10, 9, 1, 1, 0, 0]	[10, 9, 2, 0, 0, 0]	[10, 10, 1, 0, 0, 0]	[11, 2, 2, 2, 2, 2]	[11, 3, 2, 2, 2, 1]	[11, 3, 3, 2, 1, 1]	[11, 3, 3, 2, 2, 0]	[11, 3, 3, 3, 1, 0]	[11, 4, 2, 2, 1, 1]	[11, 4, 2, 2, 2, 0]	[11, 4, 3, 1, 1, 1]	[11, 4, 3, 2, 1, 0]	[11, 4, 3, 3, 0, 0]	[11, 4, 4, 1, 1, 0]	[11, 4, 4, 2, 0, 0]	[11, 5, 2, 1, 1, 1]	[11, 5, 2, 2, 1, 0]	[11, 5, 3, 1, 1, 0]	[11, 5, 3, 2, 0, 0]	[11, 5, 4, 1, 0, 0]	[11, 5, 5, 0, 0, 0]	[11, 6, 1, 1, 1, 1]	[11, 6, 2, 1, 1, 0]	[11, 6, 2, 2, 0, 0]	[11, 6, 3, 1, 0, 0]	[11, 6, 4, 0, 0, 0]	[11, 7, 1, 1, 1, 0]	[11, 7, 2, 1, 0, 0]	[11, 7, 3, 0, 0, 0]	[11, 8, 1, 1, 0, 0]	[11, 8, 2, 0, 0, 0]	[11, 9, 1, 0, 0, 0]	[11, 10, 0, 0, 0, 0]	[12, 2, 2, 2, 2, 1]	[12, 3, 2, 2, 1, 1]	[12, 3, 2, 2, 2, 0]	[12, 3, 3, 1, 1, 1]	[12, 3, 3, 2, 1, 0]	[12, 3, 3, 3, 0, 0]	[12, 4, 2, 1, 1, 1]	[12, 4, 2, 2, 1, 0]	[12, 4, 3, 1, 1, 0]	[12, 4, 3, 2, 0, 0]	[12, 4, 4, 1, 0, 0]	[12, 5, 1, 1, 1, 1]	[12, 5, 2, 1, 1, 0]	[12, 5, 2, 2, 0, 0]	[12, 5, 3, 1, 0, 0]	[12, 5, 4, 0, 0, 0]	[12, 6, 1, 1, 1, 0]	[12, 6, 2, 1, 0, 0]	[12, 6, 3, 0, 0, 0]	[12, 7, 1, 1, 0, 0]	[12, 7, 2, 0, 0, 0]	[12, 8, 1, 0, 0, 0]	[12, 9, 0, 0, 0, 0]	[13, 2, 2, 2, 1, 1]	[13, 2, 2, 2, 2, 0]	[13, 3, 2, 1, 1, 1]	[13, 3, 2, 2, 1, 0]	[13, 3, 3, 1, 1, 0]	[13, 3, 3, 2, 0, 0]	[13, 4, 1, 1, 1, 1]	[13, 4, 2, 1, 1, 0]	[13, 4, 2, 2, 0, 0]	[13, 4, 3, 1, 0, 0]	[13, 4, 4, 0, 0, 0]	[13, 5, 1, 1, 1, 0]	[13, 5, 2, 1, 0, 0]	[13, 5, 3, 0, 0, 0]	[13, 6, 1, 1, 0, 0]	[13, 6, 2, 0, 0, 0]	[13, 7, 1, 0, 0, 0]	[13, 8, 0, 0, 0, 0]	[14, 2, 2, 1, 1, 1]	[14, 2, 2, 2, 1, 0]	[14, 3, 1, 1, 1, 1]	[14, 3, 2, 1, 1, 0]	[14, 3, 2, 2, 0, 0]	[14, 3, 3, 1, 0, 0]	[14, 4, 1, 1, 1, 0]	[14, 4, 2, 1, 0, 0]	[14, 4, 3, 0, 0, 0]	[14, 5, 1, 1, 0, 0]	[14, 5, 2, 0, 0, 0]	[14, 6, 1, 0, 0, 0]	[14, 7, 0, 0, 0, 0]	[15, 2, 1, 1, 1, 1]	[15, 2, 2, 1, 1, 0]	[15, 2, 2, 2, 0, 0]	[15, 3, 1, 1, 1, 0]	[15, 3, 2, 1, 0, 0]	[15, 3, 3, 0, 0, 0]	[15, 4, 1, 1, 0, 0]	[15, 4, 2, 0, 0, 0]	[15, 5, 1, 0, 0, 0]	[15, 6, 0, 0, 0, 0]	[16, 1, 1, 1, 1, 1]	[16, 2, 1, 1, 1, 0]	[16, 2, 2, 1, 0, 0]	[16, 3, 1, 1, 0, 0]	[16, 3, 2, 0, 0, 0]	[16, 4, 1, 0, 0, 0]	[16, 5, 0, 0, 0, 0]	[17, 1, 1, 1, 1, 0]	[17, 2, 1, 1, 0, 0]	[17, 2, 2, 0, 0, 0]	[17, 3, 1, 0, 0, 0]	[17, 4, 0, 0, 0, 0]	[18, 1, 1, 1, 0, 0]	[18, 2, 1, 0, 0, 0]	[18, 3, 0, 0, 0, 0]	[19, 1, 1, 0, 0, 0]	[19, 2, 0, 0, 0, 0]	[20, 1, 0, 0, 0, 0]	[21, 0, 0, 0, 0, 0]
512	3	157	170	155	118	146	138	153	150	136	129	134	143	122	110	115	131	123	123	102	112	98	101	101	110	118	98	96	102	96	132	107	120	73	82	97	94	85	69	68	89	58	78	89	87	59	58	76	66	53	57	54	75	73	64	67	65	83	73	87	65	70	69	48	67	71	82	57	64	55	79	51	44	51	43	41	53	51	52	36	45	57	39	33	39	36	32	33	33	34	33	29	26	23	16	39	39	39	48	46	38	43	51	51	36	26	34	50	44	34	46	37	38	43	39	24	31	31	25	25	39	27	20	26	19	11	11	19	20	21	16	14	19	16	10	9	12	10	12	5	34	23	20	29	18	22	22	22	23	21	33	25	33	24	20	22	24	22	15	24	19	15	17	16	23	22	9	12	6	11	9	8	8	11	7	7	4	2	5	5	3	3	0	10	16	7	8	9	11	15	11	18	11	12	5	11	6	9	6	11	10	6	4	6	10	7	6	7	4	2	6	6	4	2	3	1	1	1	2	4	3	9	5	5	6	3	3	9	2	6	4	3	2	5	5	3	5	4	4	4	7	1	2	7	3	1	0	1	0	1	1	2	2	4	3	1	3	2	2	1	3	0	0	2	1	0	2	2	0	0	0	0	1	2	0	1	0	0	1	1	2	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
512	5	151	166	193	144	136	165	182	184	128	147	143	163	141	135	116	171	117	150	135	119	109	103	127	118	131	73	121	93	107	127	123	118	92	112	107	96	111	75	85	87	78	82	100	99	71	86	78	99	50	62	70	47	75	76	49	65	77	79	88	71	61	67	61	65	78	62	56	64	66	88	37	46	52	53	42	58	52	74	42	44	51	32	29	24	27	34	29	23	28	32	25	27	25	11	29	42	33	28	42	36	41	37	53	19	25	37	39	22	36	32	38	34	34	40	18	21	44	25	14	30	24	28	20	21	9	10	23	12	18	12	11	11	12	13	6	8	6	12	9	10	17	18	17	12	20	23	16	18	19	23	12	12	15	11	15	18	17	14	12	10	11	11	17	12	12	12	12	9	3	6	14	9	3	11	0	0	3	1	6	1	0	2	5	7	8	5	2	8	4	4	11	6	5	3	3	6	4	5	4	11	4	6	6	6	5	8	7	2	0	4	2	2	1	1	3	0	1	0	4	3	3	3	5	3	3	2	0	3	2	3	2	5	2	2	1	0	2	0	0	1	5	1	1	2	0	0	0	0	0	1	0	0	2	1	3	2	1	1	0	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1024	3	173	145	169	167	149	174	159	163	128	141	129	143	145	127	112	139	111	126	119	119	103	112	113	127	116	121	94	90	105	108	118	104	87	113	92	102	98	84	59	74	92	79	90	91	73	67	60	83	54	50	56	58	72	78	77	61	82	62	81	60	68	67	70	59	63	80	59	68	66	68	41	45	49	50	38	63	53	58	38	45	53	27	39	37	29	26	33	43	23	32	22	29	25	23	44	31	25	44	48	35	47	45	42	35	31	34	34	30	39	41	45	35	34	25	26	26	36	21	31	33	26	30	28	21	14	15	12	18	19	17	17	19	10	7	7	3	10	9	7	19	18	29	21	13	13	29	12	22	23	19	10	15	11	18	9	21	29	11	23	10	13	13	11	15	11	11	23	13	7	6	9	11	7	12	6	2	2	4	8	2	2	3	8	11	13	8	10	8	9	7	10	8	11	9	6	4	7	7	6	10	8	4	1	6	13	6	5	4	3	4	3	4	2	2	1	2	0	0	3	1	6	3	4	3	6	6	4	8	3	4	3	7	3	0	5	2	1	3	4	0	4	4	3	1	1	1	0	0	4	3	2	2	0	3	1	0	3	1	1	1	0	3	0	3	0	0	2	2	0	0	0	0	1	2	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1024	5	150	169	196	130	156	188	174	215	135	157	147	153	170	129	121	179	149	154	145	99	101	98	107	132	150	104	107	95	119	144	145	144	90	115	107	118	144	60	67	115	57	72	100	101	84	74	92	99	69	53	81	51	49	72	56	73	85	82	102	56	52	73	59	62	78	62	61	66	68	83	49	44	43	51	53	40	63	69	49	54	61	30	33	28	25	31	25	19	37	32	36	29	27	11	27	25	18	24	23	29	33	33	39	18	31	27	30	23	29	36	47	22	31	35	25	15	21	34	16	25	25	21	26	20	8	9	9	13	10	14	14	14	7	5	6	4	5	12	11	13	8	15	13	12	7	17	13	13	17	20	11	6	11	10	17	9	10	14	11	8	7	18	8	10	9	9	16	7	5	3	3	11	8	6	4	1	2	1	1	1	1	0	6	4	5	4	5	3	12	7	7	4	8	1	4	5	2	5	5	3	7	3	3	3	7	9	2	2	3	2	2	1	2	1	1	0	1	0	0	2	0	0	1	1	2	1	1	1	2	1	1	3	0	0	1	1	0	1	1	2	3	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2048	3	148	158	181	144	154	159	158	172	130	156	150	148	171	124	142	139	127	135	146	104	98	131	106	125	131	107	94	104	93	109	112	124	103	94	110	109	115	83	66	77	77	85	85	81	91	68	84	86	52	59	67	57	62	66	77	52	92	64	81	73	54	80	66	64	61	78	56	73	67	72	44	40	48	43	48	40	49	63	42	50	60	39	34	27	37	23	29	35	28	30	27	24	21	14	32	30	23	42	51	37	35	41	42	30	33	37	49	32	37	40	44	30	35	35	21	28	27	27	27	30	21	19	28	12	14	20	11	16	11	19	13	12	11	14	8	7	9	8	11	22	12	20	16	22	11	11	20	28	20	29	12	17	15	17	13	15	18	17	21	7	8	21	9	13	18	7	10	11	5	3	6	6	6	9	3	2	2	1	6	1	0	2	8	3	4	3	9	4	7	13	6	7	11	7	4	9	12	4	7	10	11	6	6	6	2	3	8	0	1	1	4	9	1	3	2	0	0	0	2	3	1	0	2	1	3	1	1	7	4	4	3	3	4	3	3	2	2	2	1	2	1	1	0	1	1	0	1	0	2	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2048	5	156	175	181	146	149	165	185	233	128	130	147	184	201	119	116	168	159	185	172	106	123	123	99	120	156	94	95	90	120	143	134	174	82	105	149	143	135	69	77	75	64	83	96	114	89	82	89	111	68	67	68	36	59	74	50	58	71	68	89	57	64	70	51	68	83	88	58	68	78	93	38	39	53	42	46	46	65	61	45	39	50	29	38	23	22	23	28	28	30	37	41	39	16	16	22	31	30	21	38	23	36	37	31	23	18	32	26	26	23	17	37	30	29	50	14	18	22	21	18	26	36	20	22	19	3	9	13	15	18	17	15	17	10	3	1	4	10	3	6	6	7	11	1	15	8	8	14	19	15	18	5	12	4	10	12	10	15	11	9	9	9	11	9	9	4	8	8	8	4	3	5	5	5	6	1	1	0	0	1	0	1	1	3	2	5	8	3	1	3	2	1	3	4	6	4	3	3	6	3	4	3	2	7	2	2	4	3	1	4	3	1	1	0	0	0	0	1	0	0	0	0	2	1	1	2	1	0	2	0	1	0	3	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4096	3	167	169	196	137	133	155	169	236	128	131	161	160	163	145	144	168	145	159	145	99	86	107	128	129	148	91	96	93	98	146	121	135	99	99	122	112	97	79	73	87	75	85	89	116	68	68	77	107	48	59	58	57	46	74	61	67	85	87	91	60	55	74	65	61	80	98	75	70	86	61	42	49	42	53	50	55	43	64	42	48	60	46	29	28	16	26	31	26	33	31	30	23	30	15	21	24	29	32	28	31	35	37	34	17	22	29	30	37	38	38	45	35	31	39	25	19	23	22	15	25	36	20	27	18	13	16	12	19	14	17	14	19	12	4	7	2	12	5	2	11	14	11	6	12	7	12	13	15	14	16	10	10	18	15	12	17	8	25	12	6	9	8	13	16	14	15	12	6	4	4	5	2	6	10	5	0	6	1	5	0	0	0	2	3	5	8	3	5	4	8	5	5	9	4	5	2	4	9	8	4	3	2	2	4	4	3	4	1	2	1	2	7	0	1	2	0	0	0	0	1	2	2	3	1	2	3	0	2	3	2	3	1	2	4	3	3	1	2	0	1	2	1	1	2	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	2	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4096	5	138	142	216	132	174	179	172	217	138	143	166	167	222	137	162	180	195	194	201	83	88	97	106	126	133	104	97	91	112	127	131	143	99	116	125	135	165	61	76	97	94	107	102	112	78	91	96	124	70	71	93	34	58	53	53	54	90	67	71	53	51	74	61	65	73	79	64	82	75	94	36	43	50	43	44	43	47	76	45	41	80	48	58	15	17	17	27	23	36	24	25	41	25	13	20	21	17	26	32	21	30	31	28	25	15	20	29	30	28	30	45	31	33	38	8	19	20	16	14	19	20	22	29	40	7	9	4	9	14	8	12	9	11	2	3	9	8	8	7	5	5	10	3	3	8	10	5	6	13	18	5	6	1	11	7	7	8	8	11	6	7	7	4	9	4	10	9	7	3	3	1	7	5	2	3	2	0	1	3	1	0	0	3	1	1	1	1	2	7	1	2	4	5	2	4	0	3	4	4	5	5	3	1	5	1	0	5	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	1	0	1	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
