"[4, 4, 4, 3, 3, 3]",107,,,"[6, 6, 6, 1, 1, 1]",0.376132931
"[4, 4, 4, 4, 3, 2]",42,,,"[6, 5, 5, 5, 0, 0]",0.32326284
"[4, 4, 4, 4, 4, 1]",92,,,"[5, 5, 5, 5, 1, 0]",0.273413897
"[5, 4, 3, 3, 3, 3]",2,,,"[7, 6, 2, 2, 2, 2]",0.241691843
"[5, 4, 4, 3, 3, 2]",2,,,"[6, 6, 6, 3, 0, 0]",0.220543807
"[5, 4, 4, 4, 2, 2]",14,,,"[5, 4, 4, 4, 4, 0]",0.219033233
"[5, 4, 4, 4, 3, 1]",2,,,"[7, 7, 4, 1, 1, 1]",0.193353474
"[5, 4, 4, 4, 4, 0]",145,,,"[7, 7, 7, 0, 0, 0]",0.1918429
"[5, 5, 3, 3, 3, 2]",2,,,"[7, 7, 2, 2, 2, 1]",0.175226586
"[5, 5, 4, 3, 2, 2]",2,,,"[5, 5, 5, 2, 2, 2]",0.164652568
"[5, 5, 4, 3, 3, 1]",2,,,"[4, 4, 4, 3, 3, 3]",0.16163142
"[5, 5, 4, 4, 2, 1]",2,,,"[6, 3, 3, 3, 3, 3]",0.151057402
"[5, 5, 4, 4, 3, 0]",2,,,"[4, 4, 4, 4, 4, 1]",0.13897281
"[5, 5, 5, 2, 2, 2]",109,,,"[7, 3, 3, 3, 3, 2]",0.126888218
"[5, 5, 5, 3, 2, 1]",2,,,"[6, 6, 6, 2, 1, 0]",0.092145015
"[5, 5, 5, 3, 3, 0]",2,,,"[6, 6, 3, 2, 2, 2]",0.086102719
"[5, 5, 5, 4, 1, 1]",23,,,"[4, 4, 4, 4, 3, 2]",0.063444109
"[5, 5, 5, 4, 2, 0]",15,,,"[6, 6, 5, 4, 0, 0]",0.063444109
"[5, 5, 5, 5, 1, 0]",181,,,"[7, 4, 4, 2, 2, 2]",0.051359517
"[6, 3, 3, 3, 3, 3]",100,,,"[5, 5, 5, 4, 1, 1]",0.034743202
"[6, 4, 3, 3, 3, 2]",2,,,"[7, 7, 3, 2, 1, 1]",0.034743202
