sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[6, 6, 4, 2, 2, 1]	240.0	34.0	43.0	75.709%	10.725%	13.564%	5799.0	1247.0	4366.0	50.814%	10.927%	38.257%	
[6, 6, 4, 3, 1, 1]	241.0	52.0	24.0	76.025%	16.403%	7.5709%	5740.0	1255.0	4417.0	50.297%	10.997%	38.704%	
[6, 6, 4, 3, 2, 0]	253.0	39.0	25.0	79.810%	12.302%	7.8864%	5721.0	1215.0	4476.0	50.131%	10.646%	39.221%	
[6, 6, 4, 4, 1, 0]	238.0	40.0	39.0	75.078%	12.618%	12.302%	5611.0	1229.0	4572.0	49.167%	10.769%	40.063%	
[6, 6, 5, 2, 1, 1]	228.0	35.0	54.0	71.924%	11.041%	17.034%	5644.0	1268.0	4500.0	49.456%	11.111%	39.432%	
[6, 6, 5, 2, 2, 0]	238.0	33.0	46.0	75.078%	10.410%	14.511%	5625.0	1228.0	4559.0	49.290%	10.760%	39.949%	
[6, 6, 5, 3, 1, 0]	242.0	33.0	42.0	76.340%	10.410%	13.249%	5566.0	1236.0	4610.0	48.773%	10.830%	40.396%	
[6, 6, 5, 4, 0, 0]	209.0	37.0	71.0	65.930%	11.671%	22.397%	5437.0	1210.0	4765.0	47.642%	10.602%	41.754%	
[6, 6, 6, 1, 1, 1]	172.0	86.0	59.0	54.258%	27.129%	18.611%	5451.0	1296.0	4665.0	47.765%	11.356%	40.878%	
[6, 6, 6, 2, 1, 0]	205.0	37.0	75.0	64.668%	11.671%	23.659%	5432.0	1256.0	4724.0	47.599%	11.005%	41.395%	
[6, 6, 6, 3, 0, 0]	203.0	43.0	71.0	64.037%	13.564%	22.397%	5354.0	1224.0	4834.0	46.915%	10.725%	42.358%	
[7, 3, 3, 3, 3, 2]	247.0	7.0	63.0	77.917%	2.2082%	19.873%	6025.0	1222.0	4165.0	52.795%	10.708%	36.496%	
[7, 4, 3, 3, 2, 2]	244.0	14.0	59.0	76.971%	4.4164%	18.611%	5974.0	1228.0	4210.0	52.348%	10.760%	36.890%	
[7, 4, 3, 3, 3, 1]	253.0	15.0	49.0	79.810%	4.7318%	15.457%	5915.0	1236.0	4261.0	51.831%	10.830%	37.337%	
[7, 4, 4, 2, 2, 2]	240.0	22.0	55.0	75.709%	6.9400%	17.350%	5923.0	1234.0	4255.0	51.901%	10.813%	37.285%	
[7, 4, 4, 3, 2, 1]	252.0	18.0	47.0	79.495%	5.6782%	14.826%	5864.0	1242.0	4306.0	51.384%	10.883%	37.732%	
[7, 4, 4, 3, 3, 0]	233.0	37.0	47.0	73.501%	11.671%	14.826%	5786.0	1210.0	4416.0	50.701%	10.602%	38.696%	
[7, 4, 4, 4, 1, 1]	244.0	29.0	44.0	76.971%	9.1482%	13.880%	5754.0	1256.0	4402.0	50.420%	11.005%	38.573%	
[7, 4, 4, 4, 2, 0]	244.0	26.0	47.0	76.971%	8.2018%	14.826%	5735.0	1216.0	4461.0	50.254%	10.655%	39.090%	
[7, 5, 3, 2, 2, 2]	235.0	22.0	60.0	74.132%	6.9400%	18.927%	5878.0	1241.0	4293.0	51.507%	10.874%	37.618%	
