sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[9, 8, 2, 1, 1, 0]	101.0	30.0	186.0	31.861%	9.4637%	58.675%	4741.0	1383.0	5288.0	41.543%	12.118%	46.337%	
[9, 8, 2, 2, 0, 0]	75.0	50.0	192.0	23.659%	15.772%	60.567%	4722.0	1343.0	5347.0	41.377%	11.768%	46.854%	
[9, 8, 3, 1, 0, 0]	66.0	25.0	226.0	20.820%	7.8864%	71.293%	4663.0	1351.0	5398.0	40.860%	11.838%	47.301%	
[9, 8, 4, 0, 0, 0]	21.0	28.0	268.0	6.6246%	8.8328%	84.542%	4534.0	1325.0	5553.0	39.730%	11.610%	48.659%	
[9, 9, 1, 1, 1, 0]	89.0	15.0	213.0	28.075%	4.7318%	67.192%	4475.0	1429.0	5508.0	39.213%	12.521%	48.264%	
[9, 9, 2, 1, 0, 0]	56.0	26.0	235.0	17.665%	8.2018%	74.132%	4456.0	1389.0	5567.0	39.046%	12.171%	48.781%	
[9, 9, 3, 0, 0, 0]	20.0	20.0	277.0	6.3091%	6.3091%	87.381%	4378.0	1357.0	5677.0	38.363%	11.890%	49.745%	
[10, 3, 2, 2, 2, 2]	192.0	5.0	120.0	60.567%	1.5772%	37.854%	5410.0	1331.0	4671.0	47.406%	11.663%	40.930%	
[10, 3, 3, 2, 2, 1]	187.0	18.0	112.0	58.990%	5.6782%	35.331%	5351.0	1339.0	4722.0	46.889%	11.733%	41.377%	
[10, 3, 3, 3, 1, 1]	182.0	26.0	109.0	57.413%	8.2018%	34.384%	5292.0	1347.0	4773.0	46.372%	11.803%	41.824%	
[10, 3, 3, 3, 2, 0]	183.0	25.0	109.0	57.728%	7.8864%	34.384%	5273.0	1307.0	4832.0	46.205%	11.452%	42.341%	
[10, 4, 2, 2, 2, 1]	178.0	15.0	124.0	56.151%	4.7318%	39.116%	5300.0	1345.0	4767.0	46.442%	11.785%	41.771%	
[10, 4, 3, 2, 1, 1]	172.0	24.0	121.0	54.258%	7.5709%	38.170%	5241.0	1353.0	4818.0	45.925%	11.855%	42.218%	
[10, 4, 3, 2, 2, 0]	177.0	26.0	114.0	55.835%	8.2018%	35.962%	5222.0	1313.0	4877.0	45.758%	11.505%	42.735%	
[10, 4, 3, 3, 1, 0]	171.0	25.0	121.0	53.943%	7.8864%	38.170%	5163.0	1321.0	4928.0	45.241%	11.575%	43.182%	
[10, 4, 4, 1, 1, 1]	155.0	28.0	134.0	48.895%	8.8328%	42.271%	5131.0	1367.0	4914.0	44.961%	11.978%	43.059%	
[10, 4, 4, 2, 1, 0]	153.0	30.0	134.0	48.264%	9.4637%	42.271%	5112.0	1327.0	4973.0	44.794%	11.628%	43.576%	
[10, 4, 4, 3, 0, 0]	133.0	45.0	139.0	41.955%	14.195%	43.848%	5034.0	1295.0	5083.0	44.111%	11.347%	44.540%	
[10, 5, 2, 2, 1, 1]	157.0	29.0	131.0	49.526%	9.1482%	41.324%	5145.0	1366.0	4901.0	45.084%	11.969%	42.946%	
[10, 5, 2, 2, 2, 0]	157.0	24.0	136.0	49.526%	7.5709%	42.902%	5126.0	1326.0	4960.0	44.917%	11.619%	43.463%	
[10, 5, 3, 1, 1, 1]	148.0	27.0	142.0	46.687%	8.5173%	44.794%	5086.0	1374.0	4952.0	44.567%	12.039%	43.392%	
[10, 5, 3, 2, 1, 0]	142.0	31.0	144.0	44.794%	9.7791%	45.425%	5067.0	1334.0	5011.0	44.400%	11.689%	43.909%	
[10, 5, 3, 3, 0, 0]	113.0	53.0	151.0	35.646%	16.719%	47.634%	4989.0	1302.0	5121.0	43.717%	11.409%	44.873%	
[10, 5, 4, 1, 1, 0]	121.0	25.0	171.0	38.170%	7.8864%	53.943%	4957.0	1348.0	5107.0	43.436%	11.812%	44.751%	
[10, 5, 4, 2, 0, 0]	95.0	44.0	178.0	29.968%	13.880%	56.151%	4938.0	1308.0	5166.0	43.270%	11.461%	45.268%	
[10, 5, 5, 1, 0, 0]	72.0	44.0	201.0	22.712%	13.880%	63.406%	4783.0	1329.0	5300.0	41.912%	11.645%	46.442%	
[10, 6, 2, 1, 1, 1]	144.0	20.0	153.0	45.425%	6.3091%	48.264%	4952.0	1394.0	5066.0	43.392%	12.215%	44.391%	
[10, 6, 2, 2, 1, 0]	127.0	32.0	158.0	40.063%	10.094%	49.842%	4933.0	1354.0	5125.0	43.226%	11.864%	44.908%	
[10, 6, 3, 1, 1, 0]	110.0	29.0	178.0	34.700%	9.1482%	56.151%	4874.0	1362.0	5176.0	42.709%	11.934%	45.355%	
[10, 6, 3, 2, 0, 0]	86.0	36.0	195.0	27.129%	11.356%	61.514%	4855.0	1322.0	5235.0	42.542%	11.584%	45.872%	
[10, 6, 4, 1, 0, 0]	65.0	32.0	220.0	20.504%	10.094%	69.400%	4745.0	1336.0	5331.0	41.579%	11.706%	46.713%	
[10, 6, 5, 0, 0, 0]	20.0	40.0	257.0	6.3091%	12.618%	81.072%	4571.0	1317.0	5524.0	40.054%	11.540%	48.405%	
[10, 7, 1, 1, 1, 1]	111.0	39.0	167.0	35.015%	12.302%	52.681%	4728.0	1430.0	5254.0	41.430%	12.530%	46.039%	
[10, 7, 2, 1, 1, 0]	96.0	35.0	186.0	30.283%	11.041%	58.675%	4709.0	1390.0	5313.0	41.263%	12.180%	46.556%	
[10, 7, 2, 2, 0, 0]	73.0	42.0	202.0	23.028%	13.249%	63.722%	4690.0	1350.0	5372.0	41.097%	11.829%	47.073%	
[10, 7, 3, 1, 0, 0]	58.0	30.0	229.0	18.296%	9.4637%	72.239%	4631.0	1358.0	5423.0	40.580%	11.899%	47.520%	
[10, 7, 4, 0, 0, 0]	15.0	25.0	277.0	4.7318%	7.8864%	87.381%	4502.0	1332.0	5578.0	39.449%	11.671%	48.878%	
[10, 8, 1, 1, 1, 0]	85.0	17.0	215.0	26.813%	5.3627%	67.823%	4462.0	1430.0	5520.0	39.099%	12.530%	48.370%	
[10, 8, 2, 1, 0, 0]	53.0	23.0	241.0	16.719%	7.2555%	76.025%	4443.0	1390.0	5579.0	38.932%	12.180%	48.887%	
[10, 8, 3, 0, 0, 0]	16.0	19.0	282.0	5.0473%	5.9936%	88.958%	4365.0	1358.0	5689.0	38.249%	11.899%	49.851%	
[10, 9, 1, 1, 0, 0]	42.0	25.0	250.0	13.249%	7.8864%	78.864%	4177.0	1436.0	5799.0	36.601%	12.583%	50.814%	
[10, 9, 2, 0, 0, 0]	13.0	16.0	288.0	4.1009%	5.0473%	90.851%	4158.0	1396.0	5858.0	36.435%	12.232%	51.331%	
[10, 10, 1, 0, 0, 0]	11.0	7.0	299.0	3.4700%	2.2082%	94.321%	3879.0	1443.0	6090.0	33.990%	12.644%	53.364%	
[11, 2, 2, 2, 2, 2]	182.0	7.0	128.0	57.413%	2.2082%	40.378%	5178.0	1374.0	4860.0	45.373%	12.039%	42.586%	
[11, 3, 2, 2, 2, 1]	164.0	24.0	129.0	51.735%	7.5709%	40.694%	5119.0	1382.0	4911.0	44.856%	12.110%	43.033%	
[11, 3, 3, 2, 1, 1]	160.0	17.0	140.0	50.473%	5.3627%	44.164%	5060.0	1390.0	4962.0	44.339%	12.180%	43.480%	
[11, 3, 3, 2, 2, 0]	159.0	27.0	131.0	50.157%	8.5173%	41.324%	5041.0	1350.0	5021.0	44.172%	11.829%	43.997%	
[11, 3, 3, 3, 1, 0]	150.0	26.0	141.0	47.318%	8.2018%	44.479%	4982.0	1358.0	5072.0	43.655%	11.899%	44.444%	
[11, 4, 2, 2, 1, 1]	146.0	25.0	146.0	46.056%	7.8864%	46.056%	5009.0	1396.0	5007.0	43.892%	12.232%	43.874%	
[11, 4, 2, 2, 2, 0]	147.0	25.0	145.0	46.372%	7.8864%	45.741%	4990.0	1356.0	5066.0	43.725%	11.882%	44.391%	
[11, 4, 3, 1, 1, 1]	137.0	26.0	154.0	43.217%	8.2018%	48.580%	4950.0	1404.0	5058.0	43.375%	12.302%	44.321%	
[11, 4, 3, 2, 1, 0]	132.0	33.0	152.0	41.640%	10.410%	47.949%	4931.0	1364.0	5117.0	43.208%	11.952%	44.838%	
[11, 4, 3, 3, 0, 0]	108.0	45.0	164.0	34.069%	14.195%	51.735%	4853.0	1332.0	5227.0	42.525%	11.671%	45.802%	
[11, 4, 4, 1, 1, 0]	110.0	25.0	182.0	34.700%	7.8864%	57.413%	4821.0	1378.0	5213.0	42.245%	12.075%	45.679%	
[11, 4, 4, 2, 0, 0]	88.0	47.0	182.0	27.760%	14.826%	57.413%	4802.0	1338.0	5272.0	42.078%	11.724%	46.196%	
[11, 5, 2, 1, 1, 1]	130.0	22.0	165.0	41.009%	6.9400%	52.050%	4854.0	1417.0	5141.0	42.534%	12.416%	45.049%	
[11, 5, 2, 2, 1, 0]	120.0	24.0	173.0	37.854%	7.5709%	54.574%	4835.0	1377.0	5200.0	42.367%	12.066%	45.566%	
[11, 5, 3, 1, 1, 0]	103.0	23.0	191.0	32.492%	7.2555%	60.252%	4776.0	1385.0	5251.0	41.850%	12.136%	46.012%	
[11, 5, 3, 2, 0, 0]	81.0	36.0	200.0	25.552%	11.356%	63.091%	4757.0	1345.0	5310.0	41.684%	11.785%	46.529%	
[11, 5, 4, 1, 0, 0]	62.0	31.0	224.0	19.558%	9.7791%	70.662%	4647.0	1359.0	5406.0	40.720%	11.908%	47.371%	
[11, 5, 5, 0, 0, 0]	22.0	28.0	267.0	6.9400%	8.8328%	84.227%	4473.0	1340.0	5599.0	39.195%	11.742%	49.062%	
[11, 6, 1, 1, 1, 1]	106.0	39.0	172.0	33.438%	12.302%	54.258%	4661.0	1445.0	5306.0	40.842%	12.662%	46.494%	
[11, 6, 2, 1, 1, 0]	85.0	36.0	196.0	26.813%	11.356%	61.829%	4642.0	1405.0	5365.0	40.676%	12.311%	47.011%	
[11, 6, 2, 2, 0, 0]	67.0	36.0	214.0	21.135%	11.356%	67.507%	4623.0	1365.0	5424.0	40.509%	11.961%	47.528%	
[11, 6, 3, 1, 0, 0]	53.0	25.0	239.0	16.719%	7.8864%	75.394%	4564.0	1373.0	5475.0	39.992%	12.031%	47.975%	
[11, 6, 4, 0, 0, 0]	14.0	25.0	278.0	4.4164%	7.8864%	87.697%	4435.0	1347.0	5630.0	38.862%	11.803%	49.334%	
[11, 7, 1, 1, 1, 0]	75.0	24.0	218.0	23.659%	7.5709%	68.769%	4418.0	1441.0	5553.0	38.713%	12.627%	48.659%	
[11, 7, 2, 1, 0, 0]	50.0	17.0	250.0	15.772%	5.3627%	78.864%	4399.0	1401.0	5612.0	38.547%	12.276%	49.176%	
[11, 7, 3, 0, 0, 0]	13.0	20.0	284.0	4.1009%	6.3091%	89.589%	4321.0	1369.0	5722.0	37.863%	11.996%	50.140%	
[11, 8, 1, 1, 0, 0]	38.0	23.0	256.0	11.987%	7.2555%	80.757%	4152.0	1441.0	5819.0	36.382%	12.627%	50.990%	
[11, 8, 2, 0, 0, 0]	13.0	16.0	288.0	4.1009%	5.0473%	90.851%	4133.0	1401.0	5878.0	36.216%	12.276%	51.507%	
[11, 9, 1, 0, 0, 0]	10.0	12.0	295.0	3.1545%	3.7854%	93.059%	3867.0	1447.0	6098.0	33.885%	12.679%	53.434%	
[12, 2, 2, 2, 2, 1]	144.0	14.0	159.0	45.425%	4.4164%	50.157%	4879.0	1426.0	5107.0	42.753%	12.495%	44.751%	
[12, 3, 2, 2, 1, 1]	136.0	23.0	158.0	42.902%	7.2555%	49.842%	4820.0	1434.0	5158.0	42.236%	12.565%	45.198%	
[12, 3, 2, 2, 2, 0]	140.0	17.0	160.0	44.164%	5.3627%	50.473%	4801.0	1394.0	5217.0	42.069%	12.215%	45.715%	
[12, 3, 3, 1, 1, 1]	123.0	26.0	168.0	38.801%	8.2018%	52.996%	4761.0	1442.0	5209.0	41.719%	12.635%	45.644%	
[12, 3, 3, 2, 1, 0]	127.0	14.0	176.0	40.063%	4.4164%	55.520%	4742.0	1402.0	5268.0	41.552%	12.285%	46.161%	
[12, 3, 3, 3, 0, 0]	94.0	38.0	185.0	29.652%	11.987%	58.359%	4664.0	1370.0	5378.0	40.869%	12.004%	47.125%	
[12, 4, 2, 1, 1, 1]	118.0	20.0	179.0	37.223%	6.3091%	56.466%	4710.0	1448.0	5254.0	41.272%	12.688%	46.039%	
[12, 4, 2, 2, 1, 0]	113.0	19.0	185.0	35.646%	5.9936%	58.359%	4691.0	1408.0	5313.0	41.105%	12.337%	46.556%	
[12, 4, 3, 1, 1, 0]	96.0	23.0	198.0	30.283%	7.2555%	62.460%	4632.0	1416.0	5364.0	40.588%	12.407%	47.003%	
[12, 4, 3, 2, 0, 0]	78.0	35.0	204.0	24.605%	11.041%	64.353%	4613.0	1376.0	5423.0	40.422%	12.057%	47.520%	
[12, 4, 4, 1, 0, 0]	55.0	32.0	230.0	17.350%	10.094%	72.555%	4503.0	1390.0	5519.0	39.458%	12.180%	48.361%	
[12, 5, 1, 1, 1, 1]	92.0	42.0	183.0	29.022%	13.249%	57.728%	4555.0	1469.0	5388.0	39.914%	12.872%	47.213%	
[12, 5, 2, 1, 1, 0]	80.0	29.0	208.0	25.236%	9.1482%	65.615%	4536.0	1429.0	5447.0	39.747%	12.521%	47.730%	
[12, 5, 2, 2, 0, 0]	63.0	35.0	219.0	19.873%	11.041%	69.085%	4517.0	1389.0	5506.0	39.581%	12.171%	48.247%	
[12, 5, 3, 1, 0, 0]	50.0	26.0	241.0	15.772%	8.2018%	76.025%	4458.0	1397.0	5557.0	39.064%	12.241%	48.694%	
[12, 5, 4, 0, 0, 0]	16.0	22.0	279.0	5.0473%	6.9400%	88.012%	4329.0	1371.0	5712.0	37.933%	12.013%	50.052%	
[12, 6, 1, 1, 1, 0]	68.0	22.0	227.0	21.451%	6.9400%	71.608%	4343.0	1457.0	5612.0	38.056%	12.767%	49.176%	
[12, 6, 2, 1, 0, 0]	46.0	14.0	257.0	14.511%	4.4164%	81.072%	4324.0	1417.0	5671.0	37.889%	12.416%	49.693%	
[12, 6, 3, 0, 0, 0]	12.0	17.0	288.0	3.7854%	5.3627%	90.851%	4246.0	1385.0	5781.0	37.206%	12.136%	50.657%	
[12, 7, 1, 1, 0, 0]	35.0	18.0	264.0	11.041%	5.6782%	83.280%	4100.0	1453.0	5859.0	35.927%	12.732%	51.340%	
[12, 7, 2, 0, 0, 0]	10.0	17.0	290.0	3.1545%	5.3627%	91.482%	4081.0	1413.0	5918.0	35.760%	12.381%	51.857%	
[12, 8, 1, 0, 0, 0]	10.0	13.0	294.0	3.1545%	4.1009%	92.744%	3834.0	1453.0	6125.0	33.596%	12.732%	53.671%	
[13, 2, 2, 2, 1, 1]	119.0	19.0	179.0	37.539%	5.9936%	56.466%	4573.0	1480.0	5359.0	40.071%	12.968%	46.959%	
[13, 2, 2, 2, 2, 0]	123.0	23.0	171.0	38.801%	7.2555%	53.943%	4554.0	1440.0	5418.0	39.905%	12.618%	47.476%	
[13, 3, 2, 1, 1, 1]	105.0	21.0	191.0	33.123%	6.6246%	60.252%	4514.0	1488.0	5410.0	39.554%	13.038%	47.406%	
[13, 3, 2, 2, 1, 0]	107.0	13.0	197.0	33.753%	4.1009%	62.145%	4495.0	1448.0	5469.0	39.388%	12.688%	47.923%	
[13, 3, 3, 1, 1, 0]	83.0	26.0	208.0	26.182%	8.2018%	65.615%	4436.0	1456.0	5520.0	38.871%	12.758%	48.370%	
[13, 3, 3, 2, 0, 0]	69.0	32.0	216.0	21.766%	10.094%	68.138%	4417.0	1416.0	5579.0	38.704%	12.407%	48.887%	
[13, 4, 1, 1, 1, 1]	83.0	35.0	199.0	26.182%	11.041%	62.776%	4404.0	1502.0	5506.0	38.590%	13.161%	48.247%	
[13, 4, 2, 1, 1, 0]	75.0	28.0	214.0	23.659%	8.8328%	67.507%	4385.0	1462.0	5565.0	38.424%	12.811%	48.764%	
[13, 4, 2, 2, 0, 0]	57.0	34.0	226.0	17.981%	10.725%	71.293%	4366.0	1422.0	5624.0	38.257%	12.460%	49.281%	
[13, 4, 3, 1, 0, 0]	48.0	23.0	246.0	15.141%	7.2555%	77.602%	4307.0	1430.0	5675.0	37.740%	12.530%	49.728%	
[13, 4, 4, 0, 0, 0]	18.0	14.0	285.0	5.6782%	4.4164%	89.905%	4178.0	1404.0	5830.0	36.610%	12.302%	51.086%	
[13, 5, 1, 1, 1, 0]	64.0	16.0	237.0	20.189%	5.0473%	74.763%	4230.0	1483.0	5699.0	37.066%	12.995%	49.938%	
[13, 5, 2, 1, 0, 0]	43.0	14.0	260.0	13.564%	4.4164%	82.018%	4211.0	1443.0	5758.0	36.899%	12.644%	50.455%	
[13, 5, 3, 0, 0, 0]	11.0	16.0	290.0	3.4700%	5.0473%	91.482%	4133.0	1411.0	5868.0	36.216%	12.364%	51.419%	
[13, 6, 1, 1, 0, 0]	34.0	13.0	270.0	10.725%	4.1009%	85.173%	4018.0	1471.0	5923.0	35.208%	12.889%	51.901%	
[13, 6, 2, 0, 0, 0]	8.0	15.0	294.0	2.5236%	4.7318%	92.744%	3999.0	1431.0	5982.0	35.042%	12.539%	52.418%	
[13, 7, 1, 0, 0, 0]	6.0	16.0	295.0	1.8927%	5.0473%	93.059%	3775.0	1467.0	6170.0	33.079%	12.854%	54.065%	
[14, 2, 2, 1, 1, 1]	91.0	21.0	205.0	28.706%	6.6246%	64.668%	4262.0	1534.0	5616.0	37.346%	13.441%	49.211%	
[14, 2, 2, 2, 1, 0]	92.0	13.0	212.0	29.022%	4.1009%	66.876%	4243.0	1494.0	5675.0	37.180%	13.091%	49.728%	
[14, 3, 1, 1, 1, 1]	77.0	23.0	217.0	24.290%	7.2555%	68.454%	4203.0	1542.0	5667.0	36.829%	13.512%	49.658%	
[14, 3, 2, 1, 1, 0]	70.0	28.0	219.0	22.082%	8.8328%	69.085%	4184.0	1502.0	5726.0	36.663%	13.161%	50.175%	
[14, 3, 2, 2, 0, 0]	52.0	34.0	231.0	16.403%	10.725%	72.870%	4165.0	1462.0	5785.0	36.496%	12.811%	50.692%	
[14, 3, 3, 1, 0, 0]	41.0	24.0	252.0	12.933%	7.5709%	79.495%	4106.0	1470.0	5836.0	35.979%	12.881%	51.139%	
[14, 4, 1, 1, 1, 0]	59.0	14.0	244.0	18.611%	4.4164%	76.971%	4074.0	1516.0	5822.0	35.699%	13.284%	51.016%	
[14, 4, 2, 1, 0, 0]	38.0	17.0	262.0	11.987%	5.3627%	82.649%	4055.0	1476.0	5881.0	35.532%	12.933%	51.533%	
[14, 4, 3, 0, 0, 0]	11.0	16.0	290.0	3.4700%	5.0473%	91.482%	3977.0	1444.0	5991.0	34.849%	12.653%	52.497%	
[14, 5, 1, 1, 0, 0]	32.0	13.0	272.0	10.094%	4.1009%	85.804%	3900.0	1497.0	6015.0	34.174%	13.117%	52.707%	
[14, 5, 2, 0, 0, 0]	7.0	13.0	297.0	2.2082%	4.1009%	93.690%	3881.0	1457.0	6074.0	34.008%	12.767%	53.224%	
[14, 6, 1, 0, 0, 0]	4.0	13.0	300.0	1.2618%	4.1009%	94.637%	3688.0	1485.0	6239.0	32.316%	13.012%	54.670%	
[15, 2, 1, 1, 1, 1]	77.0	7.0	233.0	24.290%	2.2082%	73.501%	3946.0	1590.0	5876.0	34.577%	13.932%	51.489%	
[15, 2, 2, 1, 1, 0]	62.0	23.0	232.0	19.558%	7.2555%	73.186%	3927.0	1550.0	5935.0	34.411%	13.582%	52.006%	
[15, 2, 2, 2, 0, 0]	43.0	27.0	247.0	13.564%	8.5173%	77.917%	3908.0	1510.0	5994.0	34.244%	13.231%	52.523%	
[15, 3, 1, 1, 1, 0]	53.0	13.0	251.0	16.719%	4.1009%	79.179%	3868.0	1558.0	5986.0	33.894%	13.652%	52.453%	
[15, 3, 2, 1, 0, 0]	33.0	21.0	263.0	10.410%	6.6246%	82.965%	3849.0	1518.0	6045.0	33.727%	13.301%	52.970%	
[15, 3, 3, 0, 0, 0]	13.0	7.0	297.0	4.1009%	2.2082%	93.690%	3771.0	1486.0	6155.0	33.044%	13.021%	53.934%	
[15, 4, 1, 1, 0, 0]	28.0	16.0	273.0	8.8328%	5.0473%	86.119%	3739.0	1532.0	6141.0	32.763%	13.424%	53.811%	
[15, 4, 2, 0, 0, 0]	6.0	12.0	299.0	1.8927%	3.7854%	94.321%	3720.0	1492.0	6200.0	32.597%	13.073%	54.328%	
[15, 5, 1, 0, 0, 0]	2.0	12.0	303.0	0.6309%	3.7854%	95.583%	3565.0	1513.0	6334.0	31.239%	13.257%	55.502%	
[16, 1, 1, 1, 1, 1]	74.0	3.0	240.0	23.343%	0.9463%	75.709%	3627.0	1646.0	6139.0	31.782%	14.423%	53.794%	
[16, 2, 1, 1, 1, 0]	44.0	17.0	256.0	13.880%	5.3627%	80.757%	3608.0	1606.0	6198.0	31.615%	14.072%	54.311%	
[16, 2, 2, 1, 0, 0]	25.0	22.0	270.0	7.8864%	6.9400%	85.173%	3589.0	1566.0	6257.0	31.449%	13.722%	54.828%	
[16, 3, 1, 1, 0, 0]	23.0	20.0	274.0	7.2555%	6.3091%	86.435%	3530.0	1574.0	6308.0	30.932%	13.792%	55.275%	
[16, 3, 2, 0, 0, 0]	7.0	9.0	301.0	2.2082%	2.8391%	94.952%	3511.0	1534.0	6367.0	30.765%	13.441%	55.792%	
[16, 4, 1, 0, 0, 0]	1.0	10.0	306.0	0.3154%	3.1545%	96.529%	3401.0	1548.0	6463.0	29.801%	13.564%	56.633%	
[17, 1, 1, 1, 1, 0]	43.0	1.0	273.0	13.564%	0.3154%	86.119%	3286.0	1662.0	6464.0	28.794%	14.563%	56.642%	
[17, 2, 1, 1, 0, 0]	16.0	27.0	274.0	5.0473%	8.5173%	86.435%	3267.0	1622.0	6523.0	28.627%	14.213%	57.159%	
[17, 2, 2, 0, 0, 0]	7.0	2.0	308.0	2.2082%	0.6309%	97.160%	3248.0	1582.0	6582.0	28.461%	13.862%	57.676%	
[18, 1, 1, 1, 0, 0]	7.0	28.0	282.0	2.2082%	8.8328%	88.958%	2942.0	1679.0	6791.0	25.779%	14.712%	59.507%	
