sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[6, 6, 4, 2, 2, 1]	254.0	34.0	43.0	76.737%	10.271%	12.990%	6164.0	1259.0	4493.0	51.728%	10.565%	37.705%	
[6, 6, 4, 3, 1, 1]	255.0	52.0	24.0	77.039%	15.709%	7.2507%	6102.0	1270.0	4544.0	51.208%	10.657%	38.133%	
[6, 6, 4, 3, 2, 0]	267.0	39.0	25.0	80.664%	11.782%	7.5528%	6034.0	1276.0	4606.0	50.637%	10.708%	38.653%	
[6, 6, 4, 4, 1, 0]	252.0	40.0	39.0	76.132%	12.084%	11.782%	5921.0	1292.0	4703.0	49.689%	10.842%	39.467%	
[6, 6, 5, 2, 1, 1]	242.0	35.0	54.0	73.111%	10.574%	16.314%	6005.0	1283.0	4628.0	50.394%	10.767%	38.838%	
[6, 6, 5, 2, 2, 0]	252.0	33.0	46.0	76.132%	9.9697%	13.897%	5937.0	1289.0	4690.0	49.823%	10.817%	39.358%	
[6, 6, 5, 3, 1, 0]	256.0	33.0	42.0	77.341%	9.9697%	12.688%	5875.0	1300.0	4741.0	49.303%	10.909%	39.786%	
[6, 6, 5, 4, 0, 0]	223.0	37.0	71.0	67.371%	11.178%	21.450%	5694.0	1322.0	4900.0	47.784%	11.094%	41.121%	
[6, 6, 6, 1, 1, 1]	186.0	86.0	59.0	56.193%	25.981%	17.824%	5808.0	1314.0	4794.0	48.741%	11.027%	40.231%	
[6, 6, 6, 2, 1, 0]	219.0	37.0	75.0	66.163%	11.178%	22.658%	5740.0	1320.0	4856.0	48.170%	11.077%	40.751%	
[6, 6, 6, 3, 0, 0]	217.0	43.0	71.0	65.558%	12.990%	21.450%	5610.0	1337.0	4969.0	47.079%	11.220%	41.700%	
[7, 3, 3, 3, 3, 2]	261.0	7.0	63.0	78.851%	2.1148%	19.033%	6394.0	1233.0	4289.0	53.658%	10.347%	35.993%	
[7, 4, 3, 3, 2, 2]	258.0	14.0	59.0	77.945%	4.2296%	17.824%	6343.0	1238.0	4335.0	53.230%	10.389%	36.379%	
[7, 4, 3, 3, 3, 1]	267.0	15.0	49.0	80.664%	4.5317%	14.803%	6281.0	1249.0	4386.0	52.710%	10.481%	36.807%	
[7, 4, 4, 2, 2, 2]	254.0	22.0	55.0	76.737%	6.6465%	16.616%	6292.0	1243.0	4381.0	52.802%	10.431%	36.765%	
[7, 4, 4, 3, 2, 1]	266.0	18.0	47.0	80.362%	5.4380%	14.199%	6230.0	1254.0	4432.0	52.282%	10.523%	37.193%	
[7, 4, 4, 3, 3, 0]	247.0	37.0	47.0	74.622%	11.178%	14.199%	6100.0	1271.0	4545.0	51.191%	10.666%	38.141%	
[7, 4, 4, 4, 1, 1]	258.0	29.0	44.0	77.945%	8.7613%	13.293%	6117.0	1270.0	4529.0	51.334%	10.657%	38.007%	
[7, 4, 4, 4, 2, 0]	258.0	26.0	47.0	77.945%	7.8549%	14.199%	6049.0	1276.0	4591.0	50.763%	10.708%	38.528%	
[7, 5, 3, 2, 2, 2]	249.0	22.0	60.0	75.226%	6.6465%	18.126%	6246.0	1251.0	4419.0	52.416%	10.498%	37.084%	
[7, 5, 3, 3, 2, 1]	253.0	24.0	54.0	76.435%	7.2507%	16.314%	6184.0	1262.0	4470.0	51.896%	10.590%	37.512%	
[7, 5, 3, 3, 3, 0]	254.0	30.0	47.0	76.737%	9.0634%	14.199%	6054.0	1279.0	4583.0	50.805%	10.733%	38.460%	
[7, 5, 4, 2, 2, 1]	251.0	26.0	54.0	75.830%	7.8549%	16.314%	6133.0	1267.0	4516.0	51.468%	10.632%	37.898%	
[7, 5, 4, 3, 1, 1]	252.0	39.0	40.0	76.132%	11.782%	12.084%	6071.0	1278.0	4567.0	50.948%	10.725%	38.326%	
[7, 5, 4, 3, 2, 0]	252.0	49.0	30.0	76.132%	14.803%	9.0634%	6003.0	1284.0	4629.0	50.377%	10.775%	38.846%	
[7, 5, 4, 4, 1, 0]	247.0	35.0	49.0	74.622%	10.574%	14.803%	5890.0	1300.0	4726.0	49.429%	10.909%	39.660%	
[7, 5, 5, 2, 1, 1]	242.0	30.0	59.0	73.111%	9.0634%	17.824%	5974.0	1291.0	4651.0	50.134%	10.834%	39.031%	
[7, 5, 5, 2, 2, 0]	242.0	50.0	39.0	73.111%	15.105%	11.782%	5906.0	1297.0	4713.0	49.563%	10.884%	39.551%	
[7, 5, 5, 3, 1, 0]	245.0	51.0	35.0	74.018%	15.407%	10.574%	5844.0	1308.0	4764.0	49.043%	10.976%	39.979%	
[7, 5, 5, 4, 0, 0]	210.0	44.0	77.0	63.444%	13.293%	23.262%	5663.0	1330.0	4923.0	47.524%	11.161%	41.314%	
[7, 6, 2, 2, 2, 2]	227.0	42.0	62.0	68.580%	12.688%	18.731%	6111.0	1271.0	4534.0	51.283%	10.666%	38.049%	
