sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[9, 8, 3, 1, 0, 0]	80.0	25.0	226.0	24.169%	7.5528%	68.277%	4913.0	1468.0	5535.0	41.230%	12.319%	46.450%	
[9, 8, 4, 0, 0, 0]	34.0	29.0	268.0	10.271%	8.7613%	80.966%	4732.0	1490.0	5694.0	39.711%	12.504%	47.784%	
[9, 9, 1, 1, 1, 0]	103.0	15.0	213.0	31.117%	4.5317%	64.350%	4773.0	1500.0	5643.0	40.055%	12.588%	47.356%	
[9, 9, 2, 1, 0, 0]	70.0	26.0	235.0	21.148%	7.8549%	70.996%	4705.0	1506.0	5705.0	39.484%	12.638%	47.876%	
[9, 9, 3, 0, 0, 0]	33.0	21.0	277.0	9.9697%	6.3444%	83.685%	4575.0	1523.0	5818.0	38.393%	12.781%	48.825%	
[10, 3, 2, 2, 2, 2]	206.0	5.0	120.0	62.235%	1.5105%	36.253%	5776.0	1342.0	4798.0	48.472%	11.262%	40.265%	
[10, 3, 3, 2, 2, 1]	201.0	18.0	112.0	60.725%	5.4380%	33.836%	5714.0	1353.0	4849.0	47.952%	11.354%	40.693%	
[10, 3, 3, 3, 1, 1]	196.0	26.0	109.0	59.214%	7.8549%	32.930%	5652.0	1364.0	4900.0	47.432%	11.446%	41.121%	
[10, 3, 3, 3, 2, 0]	197.0	25.0	109.0	59.516%	7.5528%	32.930%	5584.0	1370.0	4962.0	46.861%	11.497%	41.641%	
[10, 4, 2, 2, 2, 1]	192.0	15.0	124.0	58.006%	4.5317%	37.462%	5663.0	1358.0	4895.0	47.524%	11.396%	41.079%	
[10, 4, 3, 2, 1, 1]	186.0	24.0	121.0	56.193%	7.2507%	36.555%	5601.0	1369.0	4946.0	47.004%	11.488%	41.507%	
[10, 4, 3, 2, 2, 0]	191.0	26.0	114.0	57.703%	7.8549%	34.441%	5533.0	1375.0	5008.0	46.433%	11.539%	42.027%	
[10, 4, 3, 3, 1, 0]	185.0	25.0	121.0	55.891%	7.5528%	36.555%	5471.0	1386.0	5059.0	45.913%	11.631%	42.455%	
[10, 4, 4, 1, 1, 1]	169.0	28.0	134.0	51.057%	8.4592%	40.483%	5488.0	1385.0	5043.0	46.055%	11.623%	42.321%	
[10, 4, 4, 2, 1, 0]	167.0	30.0	134.0	50.453%	9.0634%	40.483%	5420.0	1391.0	5105.0	45.485%	11.673%	42.841%	
[10, 4, 4, 3, 0, 0]	147.0	45.0	139.0	44.410%	13.595%	41.993%	5290.0	1408.0	5218.0	44.394%	11.816%	43.789%	
[10, 5, 2, 2, 1, 1]	171.0	29.0	131.0	51.661%	8.7613%	39.577%	5504.0	1382.0	5030.0	46.189%	11.597%	42.212%	
[10, 5, 2, 2, 2, 0]	171.0	24.0	136.0	51.661%	7.2507%	41.087%	5436.0	1388.0	5092.0	45.619%	11.648%	42.732%	
[10, 5, 3, 1, 1, 1]	162.0	27.0	142.0	48.942%	8.1570%	42.900%	5442.0	1393.0	5081.0	45.669%	11.690%	42.640%	
[10, 5, 3, 2, 1, 0]	156.0	31.0	144.0	47.129%	9.3655%	43.504%	5374.0	1399.0	5143.0	45.099%	11.740%	43.160%	
[10, 5, 3, 3, 0, 0]	127.0	53.0	151.0	38.368%	16.012%	45.619%	5244.0	1416.0	5256.0	44.008%	11.883%	44.108%	
[10, 5, 4, 1, 1, 0]	135.0	25.0	171.0	40.785%	7.5528%	51.661%	5261.0	1415.0	5240.0	44.150%	11.874%	43.974%	
[10, 5, 4, 2, 0, 0]	109.0	44.0	178.0	32.930%	13.293%	53.776%	5193.0	1421.0	5302.0	43.580%	11.925%	44.494%	
[10, 5, 5, 1, 0, 0]	86.0	44.0	201.0	25.981%	13.293%	60.725%	5034.0	1445.0	5437.0	42.245%	12.126%	45.627%	
[10, 6, 2, 1, 1, 1]	158.0	20.0	153.0	47.734%	6.0422%	46.223%	5307.0	1413.0	5196.0	44.536%	11.858%	43.605%	
[10, 6, 2, 2, 1, 0]	141.0	32.0	158.0	42.598%	9.6676%	47.734%	5239.0	1419.0	5258.0	43.966%	11.908%	44.125%	
[10, 6, 3, 1, 1, 0]	124.0	29.0	178.0	37.462%	8.7613%	53.776%	5177.0	1430.0	5309.0	43.445%	12.000%	44.553%	
[10, 6, 3, 2, 0, 0]	100.0	36.0	195.0	30.211%	10.876%	58.912%	5109.0	1436.0	5371.0	42.875%	12.051%	45.073%	
[10, 6, 4, 1, 0, 0]	79.0	32.0	220.0	23.867%	9.6676%	66.465%	4996.0	1452.0	5468.0	41.926%	12.185%	45.887%	
[10, 6, 5, 0, 0, 0]	34.0	40.0	257.0	10.271%	12.084%	77.643%	4769.0	1482.0	5665.0	40.021%	12.437%	47.541%	
[10, 7, 1, 1, 1, 1]	125.0	39.0	167.0	37.764%	11.782%	50.453%	5079.0	1452.0	5385.0	42.623%	12.185%	45.191%	
[10, 7, 2, 1, 1, 0]	110.0	35.0	186.0	33.232%	10.574%	56.193%	5011.0	1458.0	5447.0	42.052%	12.235%	45.711%	
[10, 7, 2, 2, 0, 0]	87.0	42.0	202.0	26.283%	12.688%	61.027%	4943.0	1464.0	5509.0	41.482%	12.286%	46.231%	
[10, 7, 3, 1, 0, 0]	72.0	30.0	229.0	21.752%	9.0634%	69.184%	4881.0	1475.0	5560.0	40.961%	12.378%	46.659%	
[10, 7, 4, 0, 0, 0]	29.0	25.0	277.0	8.7613%	7.5528%	83.685%	4700.0	1497.0	5719.0	39.442%	12.562%	47.994%	
[10, 8, 1, 1, 1, 0]	99.0	17.0	215.0	29.909%	5.1359%	64.954%	4760.0	1501.0	5655.0	39.946%	12.596%	47.457%	
[10, 8, 2, 1, 0, 0]	67.0	23.0	241.0	20.241%	6.9486%	72.809%	4692.0	1507.0	5717.0	39.375%	12.646%	47.977%	
[10, 8, 3, 0, 0, 0]	30.0	19.0	282.0	9.0634%	5.7401%	85.196%	4562.0	1524.0	5830.0	38.284%	12.789%	48.925%	
[10, 9, 1, 1, 0, 0]	56.0	25.0	250.0	16.918%	7.5528%	75.528%	4422.0	1556.0	5938.0	37.109%	13.058%	49.832%	
[10, 9, 2, 0, 0, 0]	27.0	16.0	288.0	8.1570%	4.8338%	87.009%	4354.0	1562.0	6000.0	36.539%	13.108%	50.352%	
[10, 10, 1, 0, 0, 0]	23.0	9.0	299.0	6.9486%	2.7190%	90.332%	4071.0	1612.0	6233.0	34.164%	13.528%	52.307%	
[11, 2, 2, 2, 2, 2]	196.0	7.0	128.0	59.214%	2.1148%	38.670%	5543.0	1385.0	4988.0	46.517%	11.623%	41.859%	
[11, 3, 2, 2, 2, 1]	178.0	24.0	129.0	53.776%	7.2507%	38.972%	5481.0	1396.0	5039.0	45.996%	11.715%	42.287%	
[11, 3, 3, 2, 1, 1]	174.0	17.0	140.0	52.567%	5.1359%	42.296%	5419.0	1407.0	5090.0	45.476%	11.807%	42.715%	
[11, 3, 3, 2, 2, 0]	173.0	27.0	131.0	52.265%	8.1570%	39.577%	5351.0	1413.0	5152.0	44.906%	11.858%	43.235%	
[11, 3, 3, 3, 1, 0]	164.0	26.0	141.0	49.546%	7.8549%	42.598%	5289.0	1424.0	5203.0	44.385%	11.950%	43.663%	
[11, 4, 2, 2, 1, 1]	160.0	25.0	146.0	48.338%	7.5528%	44.108%	5368.0	1412.0	5136.0	45.048%	11.849%	43.101%	
[11, 4, 2, 2, 2, 0]	161.0	25.0	145.0	48.640%	7.5528%	43.806%	5300.0	1418.0	5198.0	44.478%	11.899%	43.622%	
[11, 4, 3, 1, 1, 1]	151.0	26.0	154.0	45.619%	7.8549%	46.525%	5306.0	1423.0	5187.0	44.528%	11.941%	43.529%	
[11, 4, 3, 2, 1, 0]	146.0	33.0	152.0	44.108%	9.9697%	45.921%	5238.0	1429.0	5249.0	43.957%	11.992%	44.050%	
[11, 4, 3, 3, 0, 0]	122.0	45.0	164.0	36.858%	13.595%	49.546%	5108.0	1446.0	5362.0	42.866%	12.134%	44.998%	
[11, 4, 4, 1, 1, 0]	124.0	25.0	182.0	37.462%	7.5528%	54.984%	5125.0	1445.0	5346.0	43.009%	12.126%	44.864%	
[11, 4, 4, 2, 0, 0]	102.0	47.0	182.0	30.815%	14.199%	54.984%	5057.0	1451.0	5408.0	42.438%	12.176%	45.384%	
[11, 5, 2, 1, 1, 1]	144.0	22.0	165.0	43.504%	6.6465%	49.848%	5209.0	1436.0	5271.0	43.714%	12.051%	44.234%	
[11, 5, 2, 2, 1, 0]	134.0	24.0	173.0	40.483%	7.2507%	52.265%	5141.0	1442.0	5333.0	43.143%	12.101%	44.754%	
[11, 5, 3, 1, 1, 0]	117.0	23.0	191.0	35.347%	6.9486%	57.703%	5079.0	1453.0	5384.0	42.623%	12.193%	45.182%	
[11, 5, 3, 2, 0, 0]	95.0	36.0	200.0	28.700%	10.876%	60.422%	5011.0	1459.0	5446.0	42.052%	12.244%	45.703%	
[11, 5, 4, 1, 0, 0]	76.0	31.0	224.0	22.960%	9.3655%	67.673%	4898.0	1475.0	5543.0	41.104%	12.378%	46.517%	
[11, 5, 5, 0, 0, 0]	36.0	28.0	267.0	10.876%	8.4592%	80.664%	4671.0	1505.0	5740.0	39.199%	12.630%	48.170%	
[11, 6, 1, 1, 1, 1]	120.0	39.0	172.0	36.253%	11.782%	51.963%	5012.0	1467.0	5437.0	42.061%	12.311%	45.627%	
[11, 6, 2, 1, 1, 0]	99.0	36.0	196.0	29.909%	10.876%	59.214%	4944.0	1473.0	5499.0	41.490%	12.361%	46.148%	
[11, 6, 2, 2, 0, 0]	81.0	36.0	214.0	24.471%	10.876%	64.652%	4876.0	1479.0	5561.0	40.919%	12.411%	46.668%	
[11, 6, 3, 1, 0, 0]	67.0	25.0	239.0	20.241%	7.5528%	72.205%	4814.0	1490.0	5612.0	40.399%	12.504%	47.096%	
[11, 6, 4, 0, 0, 0]	28.0	25.0	278.0	8.4592%	7.5528%	83.987%	4633.0	1512.0	5771.0	38.880%	12.688%	48.430%	
[11, 7, 1, 1, 1, 0]	89.0	24.0	218.0	26.888%	7.2507%	65.861%	4716.0	1512.0	5688.0	39.577%	12.688%	47.734%	
[11, 7, 2, 1, 0, 0]	64.0	17.0	250.0	19.335%	5.1359%	75.528%	4648.0	1518.0	5750.0	39.006%	12.739%	48.254%	
[11, 7, 3, 0, 0, 0]	27.0	20.0	284.0	8.1570%	6.0422%	85.800%	4518.0	1535.0	5863.0	37.915%	12.881%	49.202%	
[11, 8, 1, 1, 0, 0]	52.0	23.0	256.0	15.709%	6.9486%	77.341%	4397.0	1561.0	5958.0	36.899%	13.100%	50.0%	
[11, 8, 2, 0, 0, 0]	27.0	16.0	288.0	8.1570%	4.8338%	87.009%	4329.0	1567.0	6020.0	36.329%	13.150%	50.520%	
[11, 9, 1, 0, 0, 0]	22.0	14.0	295.0	6.6465%	4.2296%	89.123%	4059.0	1616.0	6241.0	34.063%	13.561%	52.374%	
[11, 10, 0, 0, 0, 0]	1.0	17.0	313.0	0.3021%	5.1359%	94.561%	3708.0	1672.0	6536.0	31.117%	14.031%	54.850%	
[12, 2, 2, 2, 2, 1]	158.0	14.0	159.0	47.734%	4.2296%	48.036%	5240.0	1440.0	5236.0	43.974%	12.084%	43.940%	
[12, 3, 2, 2, 1, 1]	150.0	23.0	158.0	45.317%	6.9486%	47.734%	5178.0	1451.0	5287.0	43.454%	12.176%	44.368%	
[12, 3, 2, 2, 2, 0]	154.0	17.0	160.0	46.525%	5.1359%	48.338%	5110.0	1457.0	5349.0	42.883%	12.227%	44.889%	
[12, 3, 3, 1, 1, 1]	137.0	26.0	168.0	41.389%	7.8549%	50.755%	5116.0	1462.0	5338.0	42.933%	12.269%	44.796%	
[12, 3, 3, 2, 1, 0]	141.0	14.0	176.0	42.598%	4.2296%	53.172%	5048.0	1468.0	5400.0	42.363%	12.319%	45.317%	
[12, 3, 3, 3, 0, 0]	108.0	38.0	185.0	32.628%	11.480%	55.891%	4918.0	1485.0	5513.0	41.272%	12.462%	46.265%	
[12, 4, 2, 1, 1, 1]	132.0	20.0	179.0	39.879%	6.0422%	54.078%	5065.0	1467.0	5384.0	42.505%	12.311%	45.182%	
[12, 4, 2, 2, 1, 0]	127.0	19.0	185.0	38.368%	5.7401%	55.891%	4997.0	1473.0	5446.0	41.935%	12.361%	45.703%	
[12, 4, 3, 1, 1, 0]	110.0	23.0	198.0	33.232%	6.9486%	59.818%	4935.0	1484.0	5497.0	41.414%	12.453%	46.131%	
[12, 4, 3, 2, 0, 0]	92.0	35.0	204.0	27.794%	10.574%	61.631%	4867.0	1490.0	5559.0	40.844%	12.504%	46.651%	
[12, 4, 4, 1, 0, 0]	69.0	32.0	230.0	20.845%	9.6676%	69.486%	4754.0	1506.0	5656.0	39.895%	12.638%	47.465%	
[12, 5, 1, 1, 1, 1]	106.0	42.0	183.0	32.024%	12.688%	55.287%	4906.0	1491.0	5519.0	41.171%	12.512%	46.315%	
[12, 5, 2, 1, 1, 0]	94.0	29.0	208.0	28.398%	8.7613%	62.839%	4838.0	1497.0	5581.0	40.600%	12.562%	46.836%	
[12, 5, 2, 2, 0, 0]	77.0	35.0	219.0	23.262%	10.574%	66.163%	4770.0	1503.0	5643.0	40.030%	12.613%	47.356%	
[12, 5, 3, 1, 0, 0]	64.0	26.0	241.0	19.335%	7.8549%	72.809%	4708.0	1514.0	5694.0	39.509%	12.705%	47.784%	
[12, 5, 4, 0, 0, 0]	30.0	22.0	279.0	9.0634%	6.6465%	84.290%	4527.0	1536.0	5853.0	37.990%	12.890%	49.118%	
[12, 6, 1, 1, 1, 0]	82.0	22.0	227.0	24.773%	6.6465%	68.580%	4641.0	1528.0	5747.0	38.947%	12.823%	48.229%	
[12, 6, 2, 1, 0, 0]	60.0	14.0	257.0	18.126%	4.2296%	77.643%	4573.0	1534.0	5809.0	38.376%	12.873%	48.749%	
[12, 6, 3, 0, 0, 0]	26.0	17.0	288.0	7.8549%	5.1359%	87.009%	4443.0	1551.0	5922.0	37.286%	13.016%	49.697%	
[12, 7, 1, 1, 0, 0]	49.0	18.0	264.0	14.803%	5.4380%	79.758%	4345.0	1573.0	5998.0	36.463%	13.200%	50.335%	
[12, 7, 2, 0, 0, 0]	24.0	17.0	290.0	7.2507%	5.1359%	87.613%	4277.0	1579.0	6060.0	35.892%	13.251%	50.855%	
[12, 8, 1, 0, 0, 0]	22.0	15.0	294.0	6.6465%	4.5317%	88.821%	4026.0	1622.0	6268.0	33.786%	13.611%	52.601%	
[12, 9, 0, 0, 0, 0]	1.0	13.0	317.0	0.3021%	3.9274%	95.770%	3688.0	1677.0	6551.0	30.949%	14.073%	54.976%	
[13, 2, 2, 2, 1, 1]	133.0	19.0	179.0	40.181%	5.7401%	54.078%	4930.0	1497.0	5489.0	41.372%	12.562%	46.064%	
[13, 2, 2, 2, 2, 0]	137.0	23.0	171.0	41.389%	6.9486%	51.661%	4862.0	1503.0	5551.0	40.802%	12.613%	46.584%	
[13, 3, 2, 1, 1, 1]	119.0	21.0	191.0	35.951%	6.3444%	57.703%	4868.0	1508.0	5540.0	40.852%	12.655%	46.492%	
[13, 3, 2, 2, 1, 0]	121.0	13.0	197.0	36.555%	3.9274%	59.516%	4800.0	1514.0	5602.0	40.281%	12.705%	47.012%	
[13, 3, 3, 1, 1, 0]	97.0	26.0	208.0	29.305%	7.8549%	62.839%	4738.0	1525.0	5653.0	39.761%	12.797%	47.440%	
[13, 3, 3, 2, 0, 0]	83.0	32.0	216.0	25.075%	9.6676%	65.256%	4670.0	1531.0	5715.0	39.191%	12.848%	47.960%	
[13, 4, 1, 1, 1, 1]	97.0	35.0	199.0	29.305%	10.574%	60.120%	4755.0	1524.0	5637.0	39.904%	12.789%	47.306%	
[13, 4, 2, 1, 1, 0]	89.0	28.0	214.0	26.888%	8.4592%	64.652%	4687.0	1530.0	5699.0	39.333%	12.839%	47.826%	
[13, 4, 2, 2, 0, 0]	71.0	34.0	226.0	21.450%	10.271%	68.277%	4619.0	1536.0	5761.0	38.763%	12.890%	48.346%	
[13, 4, 3, 1, 0, 0]	62.0	23.0	246.0	18.731%	6.9486%	74.320%	4557.0	1547.0	5812.0	38.242%	12.982%	48.774%	
[13, 4, 4, 0, 0, 0]	32.0	14.0	285.0	9.6676%	4.2296%	86.102%	4376.0	1569.0	5971.0	36.723%	13.167%	50.109%	
[13, 5, 1, 1, 1, 0]	78.0	16.0	237.0	23.564%	4.8338%	71.601%	4528.0	1554.0	5834.0	37.999%	13.041%	48.959%	
[13, 5, 2, 1, 0, 0]	57.0	14.0	260.0	17.220%	4.2296%	78.549%	4460.0	1560.0	5896.0	37.428%	13.091%	49.479%	
[13, 5, 3, 0, 0, 0]	25.0	16.0	290.0	7.5528%	4.8338%	87.613%	4330.0	1577.0	6009.0	36.337%	13.234%	50.427%	
[13, 6, 1, 1, 0, 0]	48.0	13.0	270.0	14.501%	3.9274%	81.570%	4263.0	1591.0	6062.0	35.775%	13.351%	50.872%	
[13, 6, 2, 0, 0, 0]	22.0	15.0	294.0	6.6465%	4.5317%	88.821%	4195.0	1597.0	6124.0	35.204%	13.402%	51.393%	
[13, 7, 1, 0, 0, 0]	18.0	18.0	295.0	5.4380%	5.4380%	89.123%	3967.0	1636.0	6313.0	33.291%	13.729%	52.979%	
[13, 8, 0, 0, 0, 0]	1.0	11.0	319.0	0.3021%	3.3232%	96.374%	3648.0	1685.0	6583.0	30.614%	14.140%	55.245%	
[14, 2, 2, 1, 1, 1]	105.0	21.0	205.0	31.722%	6.3444%	61.933%	4615.0	1554.0	5747.0	38.729%	13.041%	48.229%	
[14, 2, 2, 2, 1, 0]	106.0	13.0	212.0	32.024%	3.9274%	64.048%	4547.0	1560.0	5809.0	38.158%	13.091%	48.749%	
[14, 3, 1, 1, 1, 1]	91.0	23.0	217.0	27.492%	6.9486%	65.558%	4553.0	1565.0	5798.0	38.209%	13.133%	48.657%	
[14, 3, 2, 1, 1, 0]	84.0	28.0	219.0	25.377%	8.4592%	66.163%	4485.0	1571.0	5860.0	37.638%	13.183%	49.177%	
[14, 3, 2, 2, 0, 0]	66.0	34.0	231.0	19.939%	10.271%	69.788%	4417.0	1577.0	5922.0	37.067%	13.234%	49.697%	
[14, 3, 3, 1, 0, 0]	55.0	24.0	252.0	16.616%	7.2507%	76.132%	4355.0	1588.0	5973.0	36.547%	13.326%	50.125%	
[14, 4, 1, 1, 1, 0]	73.0	14.0	244.0	22.054%	4.2296%	73.716%	4372.0	1587.0	5957.0	36.690%	13.318%	49.991%	
[14, 4, 2, 1, 0, 0]	52.0	17.0	262.0	15.709%	5.1359%	79.154%	4304.0	1593.0	6019.0	36.119%	13.368%	50.511%	
[14, 4, 3, 0, 0, 0]	25.0	16.0	290.0	7.5528%	4.8338%	87.613%	4174.0	1610.0	6132.0	35.028%	13.511%	51.460%	
[14, 5, 1, 1, 0, 0]	46.0	13.0	272.0	13.897%	3.9274%	82.175%	4145.0	1617.0	6154.0	34.785%	13.569%	51.644%	
[14, 5, 2, 0, 0, 0]	21.0	13.0	297.0	6.3444%	3.9274%	89.728%	4077.0	1623.0	6216.0	34.214%	13.620%	52.165%	
[14, 6, 1, 0, 0, 0]	16.0	15.0	300.0	4.8338%	4.5317%	90.634%	3880.0	1654.0	6382.0	32.561%	13.880%	53.558%	
[14, 7, 0, 0, 0, 0]	1.0	10.0	320.0	0.3021%	3.0211%	96.676%	3584.0	1699.0	6633.0	30.077%	14.258%	55.664%	
[15, 2, 1, 1, 1, 1]	91.0	7.0	233.0	27.492%	2.1148%	70.392%	4295.0	1613.0	6008.0	36.043%	13.536%	50.419%	
[15, 2, 2, 1, 1, 0]	76.0	23.0	232.0	22.960%	6.9486%	70.090%	4227.0	1619.0	6070.0	35.473%	13.586%	50.939%	
[15, 2, 2, 2, 0, 0]	57.0	27.0	247.0	17.220%	8.1570%	74.622%	4159.0	1625.0	6132.0	34.902%	13.637%	51.460%	
[15, 3, 1, 1, 1, 0]	67.0	13.0	251.0	20.241%	3.9274%	75.830%	4165.0	1630.0	6121.0	34.953%	13.679%	51.367%	
[15, 3, 2, 1, 0, 0]	47.0	21.0	263.0	14.199%	6.3444%	79.456%	4097.0	1636.0	6183.0	34.382%	13.729%	51.888%	
[15, 3, 3, 0, 0, 0]	27.0	7.0	297.0	8.1570%	2.1148%	89.728%	3967.0	1653.0	6296.0	33.291%	13.872%	52.836%	
[15, 4, 1, 1, 0, 0]	42.0	16.0	273.0	12.688%	4.8338%	82.477%	3984.0	1652.0	6280.0	33.434%	13.863%	52.702%	
[15, 4, 2, 0, 0, 0]	20.0	12.0	299.0	6.0422%	3.6253%	90.332%	3916.0	1658.0	6342.0	32.863%	13.914%	53.222%	
[15, 5, 1, 0, 0, 0]	14.0	14.0	303.0	4.2296%	4.2296%	91.540%	3757.0	1682.0	6477.0	31.529%	14.115%	54.355%	
[15, 6, 0, 0, 0, 0]	1.0	10.0	320.0	0.3021%	3.0211%	96.676%	3492.0	1719.0	6705.0	29.305%	14.425%	56.268%	
[16, 1, 1, 1, 1, 1]	88.0	3.0	240.0	26.586%	0.9063%	72.507%	3972.0	1672.0	6272.0	33.333%	14.031%	52.635%	
[16, 2, 1, 1, 1, 0]	58.0	17.0	256.0	17.522%	5.1359%	77.341%	3904.0	1678.0	6334.0	32.762%	14.081%	53.155%	
[16, 2, 2, 1, 0, 0]	39.0	22.0	270.0	11.782%	6.6465%	81.570%	3836.0	1684.0	6396.0	32.192%	14.132%	53.675%	
[16, 3, 1, 1, 0, 0]	37.0	20.0	274.0	11.178%	6.0422%	82.779%	3774.0	1695.0	6447.0	31.671%	14.224%	54.103%	
[16, 3, 2, 0, 0, 0]	20.0	10.0	301.0	6.0422%	3.0211%	90.936%	3706.0	1701.0	6509.0	31.101%	14.274%	54.624%	
[16, 4, 1, 0, 0, 0]	13.0	12.0	306.0	3.9274%	3.6253%	92.447%	3593.0	1717.0	6606.0	30.152%	14.409%	55.438%	
[16, 5, 0, 0, 0, 0]	1.0	10.0	320.0	0.3021%	3.0211%	96.676%	3366.0	1747.0	6803.0	28.247%	14.660%	57.091%	
[17, 1, 1, 1, 1, 0]	57.0	1.0	273.0	17.220%	0.3021%	82.477%	3578.0	1738.0	6600.0	30.026%	14.585%	55.387%	
[17, 2, 1, 1, 0, 0]	30.0	27.0	274.0	9.0634%	8.1570%	82.779%	3510.0	1744.0	6662.0	29.456%	14.635%	55.908%	
[17, 2, 2, 0, 0, 0]	20.0	3.0	308.0	6.0422%	0.9063%	93.051%	3442.0	1750.0	6724.0	28.885%	14.686%	56.428%	
[17, 3, 1, 0, 0, 0]	12.0	11.0	308.0	3.6253%	3.3232%	93.051%	3380.0	1761.0	6775.0	28.365%	14.778%	56.856%	
[17, 4, 0, 0, 0, 0]	1.0	10.0	320.0	0.3021%	3.0211%	96.676%	3199.0	1783.0	6934.0	26.846%	14.963%	58.190%	
[18, 1, 1, 1, 0, 0]	21.0	28.0	282.0	6.3444%	8.4592%	85.196%	3182.0	1804.0	6930.0	26.703%	15.139%	58.157%	
[18, 2, 1, 0, 0, 0]	12.0	9.0	310.0	3.6253%	2.7190%	93.655%	3114.0	1810.0	6992.0	26.132%	15.189%	58.677%	
[18, 3, 0, 0, 0, 0]	1.0	10.0	320.0	0.3021%	3.0211%	96.676%	2984.0	1827.0	7105.0	25.041%	15.332%	59.625%	
[19, 1, 1, 0, 0, 0]	11.0	1.0	319.0	3.3232%	0.3021%	96.374%	2784.0	1871.0	7261.0	23.363%	15.701%	60.934%	
[19, 2, 0, 0, 0, 0]	1.0	10.0	320.0	0.3021%	3.0211%	96.676%	2716.0	1877.0	7323.0	22.792%	15.751%	61.455%	
[20, 1, 0, 0, 0, 0]	1.0	10.0	320.0	0.3021%	3.0211%	96.676%	2385.0	1938.0	7593.0	20.015%	16.263%	63.721%	
[21, 0, 0, 0, 0, 0]	0.0	1.0	330.0	0.0%	0.3021%	99.697%	1985.0	2006.0	7925.0	16.658%	16.834%	66.507%	
