"[7, 7, 5, 2, 0, 0]",26006,0.173373333,150000
"[7, 6, 4, 2, 2, 0]",20546,0.136973333,
"[6, 6, 4, 3, 2, 0]",17491,0.116606667,
"[7, 6, 4, 3, 1, 0]",11685,0.0779,
"[6, 6, 4, 3, 1, 1]",9615,0.0641,
"[7, 6, 6, 2, 0, 0]",9106,0.060706667,
"[7, 7, 4, 3, 0, 0]",8092,0.053946667,
"[7, 7, 7, 0, 0, 0]",5890,0.039266667,
"[6, 6, 4, 4, 1, 0]",4605,0.0307,
"[6, 6, 4, 2, 2, 1]",3594,0.02396,
"[6, 6, 5, 2, 2, 0]",3437,0.022913333,
"[6, 6, 6, 3, 0, 0]",3309,0.02206,
"[7, 6, 5, 3, 0, 0]",3182,0.021213333,
"[7, 6, 5, 2, 1, 0]",3111,0.02074,
"[7, 6, 4, 4, 0, 0]",2724,0.01816,
"[6, 6, 5, 3, 1, 0]",2255,0.015033333,
"[7, 7, 6, 1, 0, 0]",1739,0.011593333,
"[7, 7, 4, 2, 1, 0]",1606,0.010706667,
"[6, 6, 6, 2, 1, 0]",1187,0.007913333,
"[7, 6, 6, 1, 1, 0]",821,0.005473333,
"[6, 5, 4, 4, 2, 0]",770,0.005133333,
"[7, 5, 5, 3, 1, 0]",660,0.0044,
"[7, 5, 5, 2, 2, 0]",613,0.004086667,
"[6, 5, 4, 3, 2, 1]",503,0.003353333,
"[6, 5, 5, 3, 2, 0]",479,0.003193333,
"[7, 5, 4, 3, 2, 0]",470,0.003133333,
"[7, 7, 5, 1, 1, 0]",466,0.003106667,
"[6, 5, 4, 2, 2, 2]",425,0.002833333,
"[6, 5, 4, 4, 1, 1]",377,0.002513333,
"[6, 6, 5, 2, 1, 1]",355,0.002366667,
"[7, 6, 4, 2, 1, 1]",348,0.00232,
"[7, 5, 4, 3, 1, 1]",304,0.002026667,
"[6, 6, 6, 1, 1, 1]",303,0.00202,
"[6, 5, 5, 3, 1, 1]",261,0.00174,
"[7, 5, 4, 4, 1, 0]",243,0.00162,
"[6, 4, 4, 4, 2, 1]",225,0.0015,
"[7, 5, 4, 2, 2, 1]",224,0.001493333,
"[6, 6, 5, 4, 0, 0]",220,0.001466667,
"[7, 4, 4, 4, 2, 0]",218,0.001453333,
"[7, 4, 4, 4, 1, 1]",159,0.00106,
"[7, 5, 5, 4, 0, 0]",157,0.001046667,
"[6, 6, 3, 3, 2, 1]",151,0.001006667,
"[6, 6, 3, 3, 3, 0]",143,0.000953333,
"[6, 5, 5, 2, 2, 1]",129,0.00086,
"[7, 6, 5, 1, 1, 1]",122,0.000813333,
"[6, 5, 5, 4, 1, 0]",122,0.000813333,
"[7, 6, 2, 2, 2, 2]",100,0.000666667,
"[7, 4, 4, 2, 2, 2]",92,0.000613333,
"[7, 7, 4, 1, 1, 1]",90,0.0006,
"[7, 5, 5, 2, 1, 1]",83,0.000553333,
"[7, 7, 3, 3, 1, 0]",80,0.000533333,
"[5, 5, 5, 4, 1, 1]",79,0.000526667,
"[7, 6, 3, 3, 2, 0]",72,0.00048,
"[6, 4, 4, 3, 3, 1]",70,0.000466667,
"[5, 5, 4, 4, 2, 1]",68,0.000453333,
"[4, 4, 4, 4, 4, 1]",64,0.000426667,
"[5, 5, 4, 3, 2, 2]",62,0.000413333,
"[6, 5, 5, 5, 0, 0]",59,0.000393333,
"[5, 5, 5, 2, 2, 2]",54,0.00036,
"[5, 5, 5, 4, 2, 0]",49,0.000326667,
"[6, 4, 4, 3, 2, 2]",46,0.000306667,
"[5, 5, 5, 5, 1, 0]",46,0.000306667,
"[5, 5, 5, 3, 2, 1]",45,0.0003,
"[7, 7, 3, 2, 2, 0]",43,0.000286667,
"[7, 6, 3, 3, 1, 1]",35,0.000233333,
"[6, 5, 4, 3, 3, 0]",32,0.000213333,
"[5, 4, 4, 4, 3, 1]",29,0.000193333,
"[7, 7, 2, 2, 2, 1]",27,0.00018,
"[7, 7, 3, 2, 1, 1]",25,0.000166667,
"[6, 6, 3, 2, 2, 2]",20,0.000133333,
"[7, 3, 3, 3, 3, 2]",18,0.00012,
"[6, 4, 3, 3, 3, 2]",17,0.000113333,
"[4, 4, 4, 4, 3, 2]",17,0.000113333,
"[5, 5, 5, 3, 3, 0]",15,0.0001,
"[4, 4, 4, 3, 3, 3]",13,8.66667E-05,
"[5, 5, 4, 4, 3, 0]",12,0.00008,
"[7, 5, 3, 2, 2, 2]",12,0.00008,
"[6, 5, 3, 3, 3, 1]",11,7.33333E-05,
"[5, 4, 4, 4, 2, 2]",10,6.66667E-05,
"[6, 4, 4, 4, 3, 0]",8,5.33333E-05,
"[7, 6, 3, 2, 2, 1]",8,5.33333E-05,
"[7, 5, 3, 3, 2, 1]",8,5.33333E-05,
"[5, 4, 4, 3, 3, 2]",5,3.33333E-05,
"[5, 4, 4, 4, 4, 0]",5,3.33333E-05,
"[6, 5, 3, 3, 2, 2]",5,3.33333E-05,
"[6, 3, 3, 3, 3, 3]",5,3.33333E-05,
"[7, 4, 4, 3, 2, 1]",5,3.33333E-05,
"[5, 4, 3, 3, 3, 3]",3,0.00002,
"[7, 4, 3, 3, 2, 2]",2,1.33333E-05,
"[7, 4, 4, 3, 3, 0]",1,6.66667E-06,
"[7, 5, 3, 3, 3, 0]",1,6.66667E-06,
"[7, 4, 3, 3, 3, 1]",1,6.66667E-06,
