"[8, 5, 3, 2, 2, 1]",0.208466667
"[8, 6, 5, 1, 1, 0]",0.2036
"[8, 6, 3, 2, 2, 0]",0.19984
"[8, 6, 4, 1, 1, 1]",0.196666667
"[8, 5, 4, 4, 0, 0]",0.196586667
"[8, 5, 5, 1, 1, 1]",0.19064
"[8, 4, 4, 2, 2, 1]",0.18816
"[8, 7, 5, 1, 0, 0]",0.187646667
"[8, 7, 4, 1, 1, 0]",0.185246667
"[8, 4, 4, 3, 2, 0]",0.184246667
"[8, 4, 4, 4, 1, 0]",0.18092
"[8, 7, 3, 3, 0, 0]",0.180813333
"[8, 6, 5, 2, 0, 0]",0.1807
"[8, 4, 4, 3, 1, 1]",0.17442
"[8, 6, 3, 3, 1, 0]",0.171386667
"[8, 6, 4, 2, 1, 0]",0.1706
"[8, 5, 4, 2, 1, 1]",0.170573333
"[8, 5, 3, 3, 2, 0]",0.169626667
"[8, 7, 4, 2, 0, 0]",0.16732
"[8, 5, 5, 2, 1, 0]",0.167033333
"[8, 5, 5, 3, 0, 0]",0.166426667
"[8, 5, 3, 3, 1, 1]",0.16596
"[8, 6, 4, 3, 0, 0]",0.16462
"[8, 5, 4, 2, 2, 0]",0.161373333
"[8, 5, 4, 3, 1, 0]",0.157346667
"[8, 8, 2, 1, 1, 1]",0.0943
"[8, 8, 2, 2, 1, 0]",0.087453333
"[8, 8, 3, 1, 1, 0]",0.079746667
"[8, 8, 5, 0, 0, 0]",0.07934
"[8, 8, 3, 2, 0, 0]",0.079326667
"[8, 8, 4, 1, 0, 0]",0.07732
"[9, 4, 2, 2, 2, 2]",0.057326667
"[9, 7, 2, 1, 1, 1]",0.056966667
"[9, 6, 2, 2, 1, 1]",0.056846667
"[9, 3, 3, 2, 2, 2]",0.05668
"[9, 6, 6, 0, 0, 0]",0.056433333
"[9, 7, 2, 2, 1, 0]",0.05642
"[9, 7, 5, 0, 0, 0]",0.055866667
"[9, 3, 3, 3, 2, 1]",0.055473333
"[9, 6, 2, 2, 2, 0]",0.055346667
"[9, 6, 3, 1, 1, 1]",0.05516
"[9, 4, 4, 4, 0, 0]",0.055026667
"[9, 5, 5, 1, 1, 0]",0.054813333
"[9, 3, 3, 3, 3, 0]",0.054613333
"[9, 5, 2, 2, 2, 1]",0.054533333
"[9, 6, 5, 1, 0, 0]",0.054493333
"[9, 4, 3, 2, 2, 1]",0.054446667
"[9, 7, 3, 1, 1, 0]",0.05422
"[9, 7, 3, 2, 0, 0]",0.054126667
"[9, 6, 4, 1, 1, 0]",0.053933333
"[9, 6, 4, 2, 0, 0]",0.053833333
"[9, 5, 5, 2, 0, 0]",0.053713333
"[9, 5, 3, 2, 1, 1]",0.0535
"[9, 5, 4, 1, 1, 1]",0.053386667
"[9, 7, 4, 1, 0, 0]",0.053266667
"[9, 6, 3, 2, 1, 0]",0.053126667
"[9, 5, 3, 2, 2, 0]",0.053053333
"[9, 6, 3, 3, 0, 0]",0.052953333
"[9, 4, 3, 3, 2, 0]",0.052893333
"[9, 5, 4, 2, 1, 0]",0.0527
"[9, 4, 4, 2, 1, 1]",0.052686667
"[9, 4, 3, 3, 1, 1]",0.052666667
"[9, 4, 4, 3, 1, 0]",0.052513333
"[9, 4, 4, 2, 2, 0]",0.052266667
"[9, 5, 4, 3, 0, 0]",0.051453333
"[9, 5, 3, 3, 1, 0]",0.051153333
"[9, 8, 1, 1, 1, 1]",0.041626667
"[9, 8, 2, 1, 1, 0]",0.040246667
"[9, 8, 2, 2, 0, 0]",0.039566667
"[9, 8, 4, 0, 0, 0]",0.039166667
"[9, 8, 3, 1, 0, 0]",0.038753333
"[10, 3, 2, 2, 2, 2]",0.033053333
"[10, 7, 1, 1, 1, 1]",0.032886667
"[10, 6, 2, 1, 1, 1]",0.0327
"[10, 6, 5, 0, 0, 0]",0.032586667
"[10, 4, 2, 2, 2, 1]",0.032513333
"[10, 7, 4, 0, 0, 0]",0.032493333
"[10, 7, 2, 1, 1, 0]",0.03248
"[10, 6, 2, 2, 1, 0]",0.032466667
"[10, 6, 3, 1, 1, 0]",0.032433333
"[10, 3, 3, 3, 2, 0]",0.03242
"[10, 5, 3, 2, 1, 0]",0.03228
"[10, 5, 4, 2, 0, 0]",0.03216
"[10, 7, 3, 1, 0, 0]",0.0321
"[10, 7, 2, 2, 0, 0]",0.032053333
"[10, 5, 5, 1, 0, 0]",0.03204
"[10, 4, 3, 2, 1, 1]",0.031853333
"[10, 3, 3, 3, 1, 1]",0.031846667
"[10, 4, 3, 3, 1, 0]",0.03182
"[10, 3, 3, 2, 2, 1]",0.031766667
"[10, 4, 4, 2, 1, 0]",0.031766667
"[10, 5, 2, 2, 2, 0]",0.031706667
"[10, 4, 4, 3, 0, 0]",0.031546667
"[10, 5, 3, 3, 0, 0]",0.031453333
"[10, 6, 3, 2, 0, 0]",0.031406667
"[10, 6, 4, 1, 0, 0]",0.031373333
"[10, 5, 3, 1, 1, 1]",0.031306667
"[10, 5, 2, 2, 1, 1]",0.031293333
"[10, 5, 4, 1, 1, 0]",0.031253333
"[10, 4, 3, 2, 2, 0]",0.03124
