Matchup	Value
[4, 4, 4, 3, 3, 3]	-12
[4, 4, 4, 4, 3, 2]	-12
[4, 4, 4, 4, 4, 1]	-8
[5, 4, 3, 3, 3, 3]	-12
[5, 4, 4, 3, 3, 2]	-12
[5, 4, 4, 4, 2, 2]	-12
[5, 4, 4, 4, 3, 1]	-8
[5, 4, 4, 4, 4, 0]	-4
[5, 5, 3, 3, 3, 2]	-12
[5, 5, 4, 3, 2, 2]	-12
[5, 5, 4, 3, 3, 1]	-8
[5, 5, 4, 4, 2, 1]	-8
[5, 5, 4, 4, 3, 0]	-4
[5, 5, 5, 2, 2, 2]	-12
[5, 5, 5, 3, 2, 1]	-8
[5, 5, 5, 3, 3, 0]	-4
[5, 5, 5, 4, 1, 1]	-4
[5, 5, 5, 4, 2, 0]	-4
[5, 5, 5, 5, 1, 0]	+0
[6, 3, 3, 3, 3, 3]	-12
[6, 4, 3, 3, 3, 2]	-12
[6, 4, 4, 3, 2, 2]	-12
[6, 4, 4, 3, 3, 1]	-8
[6, 4, 4, 4, 2, 1]	-8
[6, 4, 4, 4, 3, 0]	-4
[6, 5, 3, 3, 2, 2]	-12
[6, 5, 3, 3, 3, 1]	-8
[6, 5, 4, 2, 2, 2]	-12
[6, 5, 4, 3, 2, 1]	-8
[6, 5, 4, 3, 3, 0]	-4
[6, 5, 4, 4, 1, 1]	-4
[6, 5, 4, 4, 2, 0]	-4
[6, 5, 5, 2, 2, 1]	-8
[6, 5, 5, 3, 1, 1]	-4
[6, 5, 5, 3, 2, 0]	-4
[6, 5, 5, 4, 1, 0]	+0
[6, 5, 5, 5, 0, 0]	+4
[6, 6, 3, 2, 2, 2]	-12
[6, 6, 3, 3, 2, 1]	-8
[6, 6, 3, 3, 3, 0]	-4
[6, 6, 4, 2, 2, 1]	-8
[6, 6, 4, 3, 1, 1]	-4
[6, 6, 4, 3, 2, 0]	-4
[6, 6, 4, 4, 1, 0]	+0
[6, 6, 5, 2, 1, 1]	-4
[6, 6, 5, 2, 2, 0]	-4
[6, 6, 5, 3, 1, 0]	+0
[6, 6, 5, 4, 0, 0]	+4
[6, 6, 6, 1, 1, 1]	+0
[6, 6, 6, 2, 1, 0]	+0
[6, 6, 6, 3, 0, 0]	+4
[7, 3, 3, 3, 3, 2]	-12
[7, 4, 3, 3, 2, 2]	-12
[7, 4, 3, 3, 3, 1]	-8
[7, 4, 4, 2, 2, 2]	-12
[7, 4, 4, 3, 2, 1]	-8
[7, 4, 4, 3, 3, 0]	-4
[7, 4, 4, 4, 1, 1]	-4
[7, 4, 4, 4, 2, 0]	-4
[7, 5, 3, 2, 2, 2]	-12
[7, 5, 3, 3, 2, 1]	-8
[7, 5, 3, 3, 3, 0]	-4
[7, 5, 4, 2, 2, 1]	-8
[7, 5, 4, 3, 1, 1]	-4
[7, 5, 4, 3, 2, 0]	-4
[7, 5, 4, 4, 1, 0]	+0
[7, 5, 5, 2, 1, 1]	-4
[7, 5, 5, 2, 2, 0]	-4
[7, 5, 5, 3, 1, 0]	+0
[7, 5, 5, 4, 0, 0]	+4
[7, 6, 2, 2, 2, 2]	-12
[7, 6, 3, 2, 2, 1]	-8
[7, 6, 3, 3, 1, 1]	-4
[7, 6, 3, 3, 2, 0]	-4
[7, 6, 4, 2, 1, 1]	-4
[7, 6, 4, 2, 2, 0]	-4
[7, 6, 4, 3, 1, 0]	+0
[7, 6, 4, 4, 0, 0]	+4
[7, 6, 5, 1, 1, 1]	+0
[7, 6, 5, 2, 1, 0]	+0
[7, 6, 5, 3, 0, 0]	+4
[7, 6, 6, 1, 1, 0]	+4
[7, 6, 6, 2, 0, 0]	+4
[7, 7, 2, 2, 2, 1]	-8
[7, 7, 3, 2, 1, 1]	-4
[7, 7, 3, 2, 2, 0]	-4
[7, 7, 3, 3, 1, 0]	+0
[7, 7, 4, 1, 1, 1]	+0
[7, 7, 4, 2, 1, 0]	+0
[7, 7, 4, 3, 0, 0]	+4
[7, 7, 5, 1, 1, 0]	+4
[7, 7, 5, 2, 0, 0]	+4
[7, 7, 6, 1, 0, 0]	+8
[7, 7, 7, 0, 0, 0]	+12
[8, 3, 3, 3, 2, 2]	-13
[8, 3, 3, 3, 3, 1]	-9
[8, 4, 3, 2, 2, 2]	-13
[8, 4, 3, 3, 2, 1]	-9
[8, 4, 3, 3, 3, 0]	-5
[8, 4, 4, 2, 2, 1]	-9
[8, 4, 4, 3, 1, 1]	-5
[8, 4, 4, 3, 2, 0]	-5
[8, 4, 4, 4, 1, 0]	-1
[8, 5, 2, 2, 2, 2]	-13
[8, 5, 3, 2, 2, 1]	-9
[8, 5, 3, 3, 1, 1]	-5
[8, 5, 3, 3, 2, 0]	-5
[8, 5, 4, 2, 1, 1]	-5
[8, 5, 4, 2, 2, 0]	-5
[8, 5, 4, 3, 1, 0]	-1
[8, 5, 4, 4, 0, 0]	+3
[8, 5, 5, 1, 1, 1]	-1
[8, 5, 5, 2, 1, 0]	-1
[8, 5, 5, 3, 0, 0]	+3
[8, 6, 2, 2, 2, 1]	-9
[8, 6, 3, 2, 1, 1]	-5
[8, 6, 3, 2, 2, 0]	-5
[8, 6, 3, 3, 1, 0]	-1
[8, 6, 4, 1, 1, 1]	-1
[8, 6, 4, 2, 1, 0]	-1
[8, 6, 4, 3, 0, 0]	+3
[8, 6, 5, 1, 1, 0]	+3
[8, 6, 5, 2, 0, 0]	+3
[8, 6, 6, 1, 0, 0]	+7
[8, 7, 2, 2, 1, 1]	-5
[8, 7, 2, 2, 2, 0]	-5
[8, 7, 3, 1, 1, 1]	-1
[8, 7, 3, 2, 1, 0]	-1
[8, 7, 3, 3, 0, 0]	+3
[8, 7, 4, 1, 1, 0]	+3
[8, 7, 4, 2, 0, 0]	+3
[8, 7, 5, 1, 0, 0]	+7
[8, 7, 6, 0, 0, 0]	+11
[8, 8, 2, 1, 1, 1]	-2
[8, 8, 2, 2, 1, 0]	-2
[8, 8, 3, 1, 1, 0]	+2
[8, 8, 3, 2, 0, 0]	+2
[8, 8, 4, 1, 0, 0]	+6
[8, 8, 5, 0, 0, 0]	+10
[9, 3, 3, 2, 2, 2]	-15
[9, 3, 3, 3, 2, 1]	-11
[9, 3, 3, 3, 3, 0]	-7
[9, 4, 2, 2, 2, 2]	-15
[9, 4, 3, 2, 2, 1]	-11
[9, 4, 3, 3, 1, 1]	-7
[9, 4, 3, 3, 2, 0]	-7
[9, 4, 4, 2, 1, 1]	-7
[9, 4, 4, 2, 2, 0]	-7
[9, 4, 4, 3, 1, 0]	-3
[9, 4, 4, 4, 0, 0]	+1
[9, 5, 2, 2, 2, 1]	-11
[9, 5, 3, 2, 1, 1]	-7
[9, 5, 3, 2, 2, 0]	-7
[9, 5, 3, 3, 1, 0]	-3
[9, 5, 4, 1, 1, 1]	-3
[9, 5, 4, 2, 1, 0]	-3
[9, 5, 4, 3, 0, 0]	+1
[9, 5, 5, 1, 1, 0]	+1
[9, 5, 5, 2, 0, 0]	+1
[9, 6, 2, 2, 1, 1]	-7
[9, 6, 2, 2, 2, 0]	-7
[9, 6, 3, 1, 1, 1]	-3
[9, 6, 3, 2, 1, 0]	-3
[9, 6, 3, 3, 0, 0]	+1
[9, 6, 4, 1, 1, 0]	+1
[9, 6, 4, 2, 0, 0]	+1
[9, 6, 5, 1, 0, 0]	+5
[9, 6, 6, 0, 0, 0]	+9
[9, 7, 2, 1, 1, 1]	-3
[9, 7, 2, 2, 1, 0]	-3
[9, 7, 3, 1, 1, 0]	+1
[9, 7, 3, 2, 0, 0]	+1
[9, 7, 4, 1, 0, 0]	+5
[9, 7, 5, 0, 0, 0]	+9
[9, 8, 1, 1, 1, 1]	+0
[9, 8, 2, 1, 1, 0]	+0
[9, 8, 2, 2, 0, 0]	+0
[9, 8, 3, 1, 0, 0]	+4
[9, 8, 4, 0, 0, 0]	+8
[9, 9, 1, 1, 1, 0]	+2
[9, 9, 2, 1, 0, 0]	+2
[9, 9, 3, 0, 0, 0]	+6
[10, 3, 2, 2, 2, 2]	-16
[10, 3, 3, 2, 2, 1]	-12
[10, 3, 3, 3, 1, 1]	-8
[10, 3, 3, 3, 2, 0]	-8
[10, 4, 2, 2, 2, 1]	-12
[10, 4, 3, 2, 1, 1]	-8
[10, 4, 3, 2, 2, 0]	-8
[10, 4, 3, 3, 1, 0]	-4
[10, 4, 4, 1, 1, 1]	-4
[10, 4, 4, 2, 1, 0]	-4
[10, 4, 4, 3, 0, 0]	+0
[10, 5, 2, 2, 1, 1]	-8
[10, 5, 2, 2, 2, 0]	-8
[10, 5, 3, 1, 1, 1]	-4
[10, 5, 3, 2, 1, 0]	-4
[10, 5, 3, 3, 0, 0]	+0
[10, 5, 4, 1, 1, 0]	+0
[10, 5, 4, 2, 0, 0]	+0
[10, 5, 5, 1, 0, 0]	+4
[10, 6, 2, 1, 1, 1]	-4
[10, 6, 2, 2, 1, 0]	-4
[10, 6, 3, 1, 1, 0]	+0
[10, 6, 3, 2, 0, 0]	+0
[10, 6, 4, 1, 0, 0]	+4
[10, 6, 5, 0, 0, 0]	+8
[10, 7, 1, 1, 1, 1]	+0
[10, 7, 2, 1, 1, 0]	+0
[10, 7, 2, 2, 0, 0]	+0
[10, 7, 3, 1, 0, 0]	+4
[10, 7, 4, 0, 0, 0]	+8
[10, 8, 1, 1, 1, 0]	+3
[10, 8, 2, 1, 0, 0]	+3
[10, 8, 3, 0, 0, 0]	+7
[10, 9, 1, 1, 0, 0]	+5
