Matchup	Value
[4, 4, 4, 3, 3, 3]	+6
[4, 4, 4, 4, 3, 2]	+4
[4, 4, 4, 4, 4, 1]	+2
[5, 4, 3, 3, 3, 3]	+6
[5, 4, 4, 3, 3, 2]	+4
[5, 4, 4, 4, 2, 2]	+2
[5, 4, 4, 4, 3, 1]	+2
[5, 4, 4, 4, 4, 0]	+2
[5, 5, 3, 3, 3, 2]	+4
[5, 5, 4, 3, 2, 2]	+2
[5, 5, 4, 3, 3, 1]	+2
[5, 5, 4, 4, 2, 1]	+0
[5, 5, 4, 4, 3, 0]	+2
[5, 5, 5, 2, 2, 2]	+0
[5, 5, 5, 3, 2, 1]	+0
[5, 5, 5, 3, 3, 0]	+2
[5, 5, 5, 4, 1, 1]	-2
[5, 5, 5, 4, 2, 0]	+0
[5, 5, 5, 5, 1, 0]	-2
[6, 3, 3, 3, 3, 3]	+7
[6, 4, 3, 3, 3, 2]	+5
[6, 4, 4, 3, 2, 2]	+3
[6, 4, 4, 3, 3, 1]	+3
[6, 4, 4, 4, 2, 1]	+1
[6, 4, 4, 4, 3, 0]	+3
[6, 5, 3, 3, 2, 2]	+3
[6, 5, 3, 3, 3, 1]	+3
[6, 5, 4, 2, 2, 2]	+1
[6, 5, 4, 3, 2, 1]	+1
[6, 5, 4, 3, 3, 0]	+3
[6, 5, 4, 4, 1, 1]	-1
[6, 5, 4, 4, 2, 0]	+1
[6, 5, 5, 2, 2, 1]	-1
[6, 5, 5, 3, 1, 1]	-1
[6, 5, 5, 3, 2, 0]	+1
[6, 5, 5, 4, 1, 0]	-1
[6, 5, 5, 5, 0, 0]	-1
[6, 6, 3, 2, 2, 2]	+2
[6, 6, 3, 3, 2, 1]	+2
[6, 6, 3, 3, 3, 0]	+4
[6, 6, 4, 2, 2, 1]	+0
[6, 6, 4, 3, 1, 1]	+0
[6, 6, 4, 3, 2, 0]	+2
[6, 6, 4, 4, 1, 0]	+0
[6, 6, 5, 2, 1, 1]	-2
[6, 6, 5, 2, 2, 0]	+0
[6, 6, 5, 3, 1, 0]	+0
[6, 6, 5, 4, 0, 0]	+0
[6, 6, 6, 1, 1, 1]	-3
[6, 6, 6, 2, 1, 0]	-1
[6, 6, 6, 3, 0, 0]	+1
[7, 3, 3, 3, 3, 2]	+5
[7, 4, 3, 3, 2, 2]	+3
[7, 4, 3, 3, 3, 1]	+3
[7, 4, 4, 2, 2, 2]	+1
[7, 4, 4, 3, 2, 1]	+1
[7, 4, 4, 3, 3, 0]	+3
[7, 4, 4, 4, 1, 1]	-1
[7, 4, 4, 4, 2, 0]	+1
[7, 5, 3, 2, 2, 2]	+1
[7, 5, 3, 3, 2, 1]	+1
[7, 5, 3, 3, 3, 0]	+3
[7, 5, 4, 2, 2, 1]	-1
[7, 5, 4, 3, 1, 1]	-1
[7, 5, 4, 3, 2, 0]	+1
[7, 5, 4, 4, 1, 0]	-1
[7, 5, 5, 2, 1, 1]	-3
[7, 5, 5, 2, 2, 0]	-1
[7, 5, 5, 3, 1, 0]	-1
[7, 5, 5, 4, 0, 0]	-1
[7, 6, 2, 2, 2, 2]	+0
[7, 6, 3, 2, 2, 1]	+0
[7, 6, 3, 3, 1, 1]	+0
[7, 6, 3, 3, 2, 0]	+2
[7, 6, 4, 2, 1, 1]	-2
[7, 6, 4, 2, 2, 0]	+0
[7, 6, 4, 3, 1, 0]	+0
[7, 6, 4, 4, 0, 0]	+0
[7, 6, 5, 1, 1, 1]	-4
[7, 6, 5, 2, 1, 0]	-2
[7, 6, 5, 3, 0, 0]	+0
[7, 6, 6, 1, 1, 0]	-3
[7, 6, 6, 2, 0, 0]	-1
[7, 7, 2, 2, 2, 1]	-2
[7, 7, 3, 2, 1, 1]	-2
[7, 7, 3, 2, 2, 0]	+0
[7, 7, 3, 3, 1, 0]	+0
[7, 7, 4, 1, 1, 1]	-4
[7, 7, 4, 2, 1, 0]	-2
[7, 7, 4, 3, 0, 0]	+0
[7, 7, 5, 1, 1, 0]	-4
[7, 7, 5, 2, 0, 0]	-2
[7, 7, 6, 1, 0, 0]	-3
[7, 7, 7, 0, 0, 0]	-3
[8, 3, 3, 3, 2, 2]	+4
[8, 3, 3, 3, 3, 1]	+4
[8, 4, 3, 2, 2, 2]	+2
[8, 4, 3, 3, 2, 1]	+2
[8, 4, 3, 3, 3, 0]	+4
[8, 4, 4, 2, 2, 1]	+0
[8, 4, 4, 3, 1, 1]	+0
[8, 4, 4, 3, 2, 0]	+2
[8, 4, 4, 4, 1, 0]	+0
[8, 5, 2, 2, 2, 2]	+0
[8, 5, 3, 2, 2, 1]	+0
[8, 5, 3, 3, 1, 1]	+0
[8, 5, 3, 3, 2, 0]	+2
[8, 5, 4, 2, 1, 1]	-2
[8, 5, 4, 2, 2, 0]	+0
[8, 5, 4, 3, 1, 0]	+0
[8, 5, 4, 4, 0, 0]	+0
[8, 5, 5, 1, 1, 1]	-4
[8, 5, 5, 2, 1, 0]	-2
[8, 5, 5, 3, 0, 0]	+0
[8, 6, 2, 2, 2, 1]	-1
[8, 6, 3, 2, 1, 1]	-1
[8, 6, 3, 2, 2, 0]	+1
[8, 6, 3, 3, 1, 0]	+1
[8, 6, 4, 1, 1, 1]	-3
[8, 6, 4, 2, 1, 0]	-1
[8, 6, 4, 3, 0, 0]	+1
[8, 6, 5, 1, 1, 0]	-3
[8, 6, 5, 2, 0, 0]	-1
[8, 6, 6, 1, 0, 0]	-2
[8, 7, 2, 2, 1, 1]	-3
[8, 7, 2, 2, 2, 0]	-1
[8, 7, 3, 1, 1, 1]	-3
[8, 7, 3, 2, 1, 0]	-1
[8, 7, 3, 3, 0, 0]	+1
[8, 7, 4, 1, 1, 0]	-3
[8, 7, 4, 2, 0, 0]	-1
[8, 7, 5, 1, 0, 0]	-3
[8, 7, 6, 0, 0, 0]	-2
[8, 8, 2, 1, 1, 1]	-4
[8, 8, 2, 2, 1, 0]	-2
[8, 8, 3, 1, 1, 0]	-2
[8, 8, 3, 2, 0, 0]	+0
[8, 8, 4, 1, 0, 0]	-2
[8, 8, 5, 0, 0, 0]	-2
[9, 3, 3, 2, 2, 2]	+4
[9, 3, 3, 3, 2, 1]	+4
[9, 3, 3, 3, 3, 0]	+6
[9, 4, 2, 2, 2, 2]	+2
[9, 4, 3, 2, 2, 1]	+2
[9, 4, 3, 3, 1, 1]	+2
[9, 4, 3, 3, 2, 0]	+4
[9, 4, 4, 2, 1, 1]	+0
[9, 4, 4, 2, 2, 0]	+2
[9, 4, 4, 3, 1, 0]	+2
[9, 4, 4, 4, 0, 0]	+2
[9, 5, 2, 2, 2, 1]	+0
[9, 5, 3, 2, 1, 1]	+0
[9, 5, 3, 2, 2, 0]	+2
[9, 5, 3, 3, 1, 0]	+2
[9, 5, 4, 1, 1, 1]	-2
[9, 5, 4, 2, 1, 0]	+0
[9, 5, 4, 3, 0, 0]	+2
[9, 5, 5, 1, 1, 0]	-2
[9, 5, 5, 2, 0, 0]	+0
[9, 6, 2, 2, 1, 1]	-1
[9, 6, 2, 2, 2, 0]	+1
[9, 6, 3, 1, 1, 1]	-1
[9, 6, 3, 2, 1, 0]	+1
[9, 6, 3, 3, 0, 0]	+3
[9, 6, 4, 1, 1, 0]	-1
[9, 6, 4, 2, 0, 0]	+1
[9, 6, 5, 1, 0, 0]	-1
[9, 6, 6, 0, 0, 0]	+0
[9, 7, 2, 1, 1, 1]	-3
[9, 7, 2, 2, 1, 0]	-1
[9, 7, 3, 1, 1, 0]	-1
[9, 7, 3, 2, 0, 0]	+1
[9, 7, 4, 1, 0, 0]	-1
[9, 7, 5, 0, 0, 0]	-1
[9, 8, 1, 1, 1, 1]	-4
[9, 8, 2, 1, 1, 0]	-2
[9, 8, 2, 2, 0, 0]	+0
[9, 8, 3, 1, 0, 0]	+0
[9, 8, 4, 0, 0, 0]	+0
[9, 9, 1, 1, 1, 0]	-2
[9, 9, 2, 1, 0, 0]	+0
[9, 9, 3, 0, 0, 0]	+2
[10, 3, 2, 2, 2, 2]	+4
[10, 3, 3, 2, 2, 1]	+4
[10, 3, 3, 3, 1, 1]	+4
[10, 3, 3, 3, 2, 0]	+6
[10, 4, 2, 2, 2, 1]	+2
[10, 4, 3, 2, 1, 1]	+2
[10, 4, 3, 2, 2, 0]	+4
[10, 4, 3, 3, 1, 0]	+4
[10, 4, 4, 1, 1, 1]	+0
[10, 4, 4, 2, 1, 0]	+2
[10, 4, 4, 3, 0, 0]	+4
[10, 5, 2, 2, 1, 1]	+0
[10, 5, 2, 2, 2, 0]	+2
[10, 5, 3, 1, 1, 1]	+0
[10, 5, 3, 2, 1, 0]	+2
[10, 5, 3, 3, 0, 0]	+4
[10, 5, 4, 1, 1, 0]	+0
[10, 5, 4, 2, 0, 0]	+2
[10, 5, 5, 1, 0, 0]	+0
[10, 6, 2, 1, 1, 1]	-1
[10, 6, 2, 2, 1, 0]	+1
[10, 6, 3, 1, 1, 0]	+1
[10, 6, 3, 2, 0, 0]	+3
[10, 6, 4, 1, 0, 0]	+1
[10, 6, 5, 0, 0, 0]	+1
[10, 7, 1, 1, 1, 1]	-3
[10, 7, 2, 1, 1, 0]	-1
[10, 7, 2, 2, 0, 0]	+1
[10, 7, 3, 1, 0, 0]	+1
[10, 7, 4, 0, 0, 0]	+1
[10, 8, 1, 1, 1, 0]	-2
[10, 8, 2, 1, 0, 0]	+0
[10, 8, 3, 0, 0, 0]	+2
[10, 9, 1, 1, 0, 0]	+0
[10, 9, 2, 0, 0, 0]	+2
[10, 10, 1, 0, 0, 0]	+2
[11, 2, 2, 2, 2, 2]	+4
[11, 3, 2, 2, 2, 1]	+4
[11, 3, 3, 2, 1, 1]	+4
[11, 3, 3, 2, 2, 0]	+6
[11, 3, 3, 3, 1, 0]	+6
[11, 4, 2, 2, 1, 1]	+2
[11, 4, 2, 2, 2, 0]	+4
[11, 4, 3, 1, 1, 1]	+2
[11, 4, 3, 2, 1, 0]	+4
[11, 4, 3, 3, 0, 0]	+6
[11, 4, 4, 1, 1, 0]	+2
[11, 4, 4, 2, 0, 0]	+4
[11, 5, 2, 1, 1, 1]	+0
[11, 5, 2, 2, 1, 0]	+2
[11, 5, 3, 1, 1, 0]	+2
[11, 5, 3, 2, 0, 0]	+4
[11, 5, 4, 1, 0, 0]	+2
[11, 5, 5, 0, 0, 0]	+2
[11, 6, 1, 1, 1, 1]	-1
[11, 6, 2, 1, 1, 0]	+1
[11, 6, 2, 2, 0, 0]	+3
[11, 6, 3, 1, 0, 0]	+3
[11, 6, 4, 0, 0, 0]	+3
[11, 7, 1, 1, 1, 0]	-1
[11, 7, 2, 1, 0, 0]	+1
[11, 7, 3, 0, 0, 0]	+3
[11, 8, 1, 1, 0, 0]	+0
[11, 8, 2, 0, 0, 0]	+2
[11, 9, 1, 0, 0, 0]	+2
[11, 10, 0, 0, 0, 0]	+4
[12, 2, 2, 2, 2, 1]	+4
[12, 3, 2, 2, 1, 1]	+4
[12, 3, 2, 2, 2, 0]	+6
[12, 3, 3, 1, 1, 1]	+4
