Matchup	Value
[12, 3, 3, 2, 1, 0]	+6
[12, 3, 3, 3, 0, 0]	+8
[12, 4, 2, 1, 1, 1]	+2
[12, 4, 2, 2, 1, 0]	+4
[12, 4, 3, 1, 1, 0]	+4
[12, 4, 3, 2, 0, 0]	+6
[12, 4, 4, 1, 0, 0]	+4
[12, 5, 1, 1, 1, 1]	+0
[12, 5, 2, 1, 1, 0]	+2
[12, 5, 2, 2, 0, 0]	+4
[12, 5, 3, 1, 0, 0]	+4
[12, 5, 4, 0, 0, 0]	+4
[12, 6, 1, 1, 1, 0]	+1
[12, 6, 2, 1, 0, 0]	+3
[12, 6, 3, 0, 0, 0]	+5
[12, 7, 1, 1, 0, 0]	+1
[12, 7, 2, 0, 0, 0]	+3
[12, 8, 1, 0, 0, 0]	+2
[12, 9, 0, 0, 0, 0]	+4
[13, 2, 2, 2, 1, 1]	+4
[13, 2, 2, 2, 2, 0]	+6
[13, 3, 2, 1, 1, 1]	+4
[13, 3, 2, 2, 1, 0]	+6
[13, 3, 3, 1, 1, 0]	+6
[13, 3, 3, 2, 0, 0]	+8
[13, 4, 1, 1, 1, 1]	+2
[13, 4, 2, 1, 1, 0]	+4
[13, 4, 2, 2, 0, 0]	+6
[13, 4, 3, 1, 0, 0]	+6
[13, 4, 4, 0, 0, 0]	+6
[13, 5, 1, 1, 1, 0]	+2
[13, 5, 2, 1, 0, 0]	+4
[13, 5, 3, 0, 0, 0]	+6
[13, 6, 1, 1, 0, 0]	+3
[13, 6, 2, 0, 0, 0]	+5
[13, 7, 1, 0, 0, 0]	+3
[13, 8, 0, 0, 0, 0]	+4
[14, 2, 2, 1, 1, 1]	+4
[14, 2, 2, 2, 1, 0]	+6
[14, 3, 1, 1, 1, 1]	+4
[14, 3, 2, 1, 1, 0]	+6
[14, 3, 2, 2, 0, 0]	+8
[14, 3, 3, 1, 0, 0]	+8
[14, 4, 1, 1, 1, 0]	+4
[14, 4, 2, 1, 0, 0]	+6
[14, 4, 3, 0, 0, 0]	+8
[14, 5, 1, 1, 0, 0]	+4
[14, 5, 2, 0, 0, 0]	+6
[14, 6, 1, 0, 0, 0]	+5
[14, 7, 0, 0, 0, 0]	+5
[15, 2, 1, 1, 1, 1]	+4
[15, 2, 2, 1, 1, 0]	+6
[15, 2, 2, 2, 0, 0]	+8
[15, 3, 1, 1, 1, 0]	+6
[15, 3, 2, 1, 0, 0]	+8
[15, 3, 3, 0, 0, 0]	+10
[15, 4, 1, 1, 0, 0]	+6
[15, 4, 2, 0, 0, 0]	+8
[15, 5, 1, 0, 0, 0]	+6
[15, 6, 0, 0, 0, 0]	+7
[16, 1, 1, 1, 1, 1]	+4
[16, 2, 1, 1, 1, 0]	+6
[16, 2, 2, 1, 0, 0]	+8
[16, 3, 1, 1, 0, 0]	+8
[16, 3, 2, 0, 0, 0]	+10
[16, 4, 1, 0, 0, 0]	+8
[16, 5, 0, 0, 0, 0]	+8
[17, 1, 1, 1, 1, 0]	+6
[17, 2, 1, 1, 0, 0]	+8
[17, 2, 2, 0, 0, 0]	+10
[17, 3, 1, 0, 0, 0]	+10
[17, 4, 0, 0, 0, 0]	+10
[18, 1, 1, 1, 0, 0]	+8
[18, 2, 1, 0, 0, 0]	+10
[18, 3, 0, 0, 0, 0]	+12
[19, 1, 1, 0, 0, 0]	+10
[19, 2, 0, 0, 0, 0]	+12
[20, 1, 0, 0, 0, 0]	+12
[21, 0, 0, 0, 0, 0]	+14
