Matchup	Value
[4, 4, 4, 3, 3, 3]	+12
[4, 4, 4, 4, 3, 2]	+8
[4, 4, 4, 4, 4, 1]	+4
[5, 4, 3, 3, 3, 3]	+11
[5, 4, 4, 3, 3, 2]	+7
[5, 4, 4, 4, 2, 2]	+3
[5, 4, 4, 4, 3, 1]	+3
[5, 4, 4, 4, 4, 0]	+0
[5, 5, 3, 3, 3, 2]	+6
[5, 5, 4, 3, 2, 2]	+2
[5, 5, 4, 3, 3, 1]	+2
[5, 5, 4, 4, 2, 1]	-2
[5, 5, 4, 4, 3, 0]	-1
[5, 5, 5, 2, 2, 2]	-3
[5, 5, 5, 3, 2, 1]	-3
[5, 5, 5, 3, 3, 0]	-2
[5, 5, 5, 4, 1, 1]	-7
[5, 5, 5, 4, 2, 0]	-6
[5, 5, 5, 5, 1, 0]	-11
[6, 3, 3, 3, 3, 3]	+14
[6, 4, 3, 3, 3, 2]	+10
[6, 4, 4, 3, 2, 2]	+6
[6, 4, 4, 3, 3, 1]	+6
[6, 4, 4, 4, 2, 1]	+2
[6, 4, 4, 4, 3, 0]	+3
[6, 5, 3, 3, 2, 2]	+5
[6, 5, 3, 3, 3, 1]	+5
[6, 5, 4, 2, 2, 2]	+1
[6, 5, 4, 3, 2, 1]	+1
[6, 5, 4, 3, 3, 0]	+2
[6, 5, 4, 4, 1, 1]	-3
[6, 5, 4, 4, 2, 0]	-2
[6, 5, 5, 2, 2, 1]	-4
[6, 5, 5, 3, 1, 1]	-4
[6, 5, 5, 3, 2, 0]	-3
[6, 5, 5, 4, 1, 0]	-7
[6, 5, 5, 5, 0, 0]	-11
[6, 6, 3, 2, 2, 2]	+4
[6, 6, 3, 3, 2, 1]	+4
[6, 6, 3, 3, 3, 0]	+5
[6, 6, 4, 2, 2, 1]	+0
[6, 6, 4, 3, 1, 1]	+0
[6, 6, 4, 3, 2, 0]	+1
[6, 6, 4, 4, 1, 0]	-3
[6, 6, 5, 2, 1, 1]	-5
[6, 6, 5, 2, 2, 0]	-4
[6, 6, 5, 3, 1, 0]	-4
[6, 6, 5, 4, 0, 0]	-7
[6, 6, 6, 1, 1, 1]	-6
[6, 6, 6, 2, 1, 0]	-5
[6, 6, 6, 3, 0, 0]	-4
[7, 3, 3, 3, 3, 2]	+14
[7, 4, 3, 3, 2, 2]	+10
[7, 4, 3, 3, 3, 1]	+10
[7, 4, 4, 2, 2, 2]	+6
[7, 4, 4, 3, 2, 1]	+6
[7, 4, 4, 3, 3, 0]	+7
[7, 4, 4, 4, 1, 1]	+2
[7, 4, 4, 4, 2, 0]	+3
[7, 5, 3, 2, 2, 2]	+5
[7, 5, 3, 3, 2, 1]	+5
[7, 5, 3, 3, 3, 0]	+6
[7, 5, 4, 2, 2, 1]	+1
[7, 5, 4, 3, 1, 1]	+1
[7, 5, 4, 3, 2, 0]	+2
[7, 5, 4, 4, 1, 0]	-2
[7, 5, 5, 2, 1, 1]	-4
[7, 5, 5, 2, 2, 0]	-3
[7, 5, 5, 3, 1, 0]	-3
[7, 5, 5, 4, 0, 0]	-6
[7, 6, 2, 2, 2, 2]	+4
[7, 6, 3, 2, 2, 1]	+4
[7, 6, 3, 3, 1, 1]	+4
[7, 6, 3, 3, 2, 0]	+5
[7, 6, 4, 2, 1, 1]	+0
[7, 6, 4, 2, 2, 0]	+1
[7, 6, 4, 3, 1, 0]	+1
[7, 6, 4, 4, 0, 0]	-2
[7, 6, 5, 1, 1, 1]	-5
[7, 6, 5, 2, 1, 0]	-4
[7, 6, 5, 3, 0, 0]	-3
[7, 6, 6, 1, 1, 0]	-5
