Matchup	Value
[4, 4, 4, 3, 3, 3]	-24
[4, 4, 4, 4, 3, 2]	-24
[4, 4, 4, 4, 4, 1]	-23
[5, 4, 3, 3, 3, 3]	-24
[5, 4, 4, 3, 3, 2]	-24
[5, 4, 4, 4, 2, 2]	-24
[5, 4, 4, 4, 3, 1]	-23
[5, 4, 4, 4, 4, 0]	-18
[5, 5, 3, 3, 3, 2]	-24
[5, 5, 4, 3, 2, 2]	-24
[5, 5, 4, 3, 3, 1]	-23
[5, 5, 4, 4, 2, 1]	-23
[5, 5, 4, 4, 3, 0]	-18
[5, 5, 5, 2, 2, 2]	-24
[5, 5, 5, 3, 2, 1]	-23
[5, 5, 5, 3, 3, 0]	-18
[5, 5, 5, 4, 1, 1]	-22
[5, 5, 5, 4, 2, 0]	-18
[5, 5, 5, 5, 1, 0]	-17
[6, 3, 3, 3, 3, 3]	-24
[6, 4, 3, 3, 3, 2]	-24
[6, 4, 4, 3, 2, 2]	-24
[6, 4, 4, 3, 3, 1]	-23
[6, 4, 4, 4, 2, 1]	-23
[6, 4, 4, 4, 3, 0]	-18
[6, 5, 3, 3, 2, 2]	-24
[6, 5, 3, 3, 3, 1]	-23
[6, 5, 4, 2, 2, 2]	-24
[6, 5, 4, 3, 2, 1]	-23
[6, 5, 4, 3, 3, 0]	-18
[6, 5, 4, 4, 1, 1]	-22
[6, 5, 4, 4, 2, 0]	-18
[6, 5, 5, 2, 2, 1]	-23
[6, 5, 5, 3, 1, 1]	-22
[6, 5, 5, 3, 2, 0]	-18
[6, 5, 5, 4, 1, 0]	-17
[6, 5, 5, 5, 0, 0]	-12
[6, 6, 3, 2, 2, 2]	-24
[6, 6, 3, 3, 2, 1]	-23
[6, 6, 3, 3, 3, 0]	-18
[6, 6, 4, 2, 2, 1]	-23
[6, 6, 4, 3, 1, 1]	-22
[6, 6, 4, 3, 2, 0]	-18
[6, 6, 4, 4, 1, 0]	-17
[6, 6, 5, 2, 1, 1]	-22
[6, 6, 5, 2, 2, 0]	-18
[6, 6, 5, 3, 1, 0]	-17
[6, 6, 5, 4, 0, 0]	-12
[6, 6, 6, 1, 1, 1]	-21
[6, 6, 6, 2, 1, 0]	-17
[6, 6, 6, 3, 0, 0]	-12
[7, 3, 3, 3, 3, 2]	-24
[7, 4, 3, 3, 2, 2]	-24
[7, 4, 3, 3, 3, 1]	-23
[7, 4, 4, 2, 2, 2]	-24
[7, 4, 4, 3, 2, 1]	-23
[7, 4, 4, 3, 3, 0]	-18
[7, 4, 4, 4, 1, 1]	-22
[7, 4, 4, 4, 2, 0]	-18
[7, 5, 3, 2, 2, 2]	-24
[7, 5, 3, 3, 2, 1]	-23
[7, 5, 3, 3, 3, 0]	-18
[7, 5, 4, 2, 2, 1]	-23
[7, 5, 4, 3, 1, 1]	-22
[7, 5, 4, 3, 2, 0]	-18
[7, 5, 4, 4, 1, 0]	-17
[7, 5, 5, 2, 1, 1]	-22
[7, 5, 5, 2, 2, 0]	-18
[7, 5, 5, 3, 1, 0]	-17
[7, 5, 5, 4, 0, 0]	-12
[7, 6, 2, 2, 2, 2]	-24
[7, 6, 3, 2, 2, 1]	-23
[7, 6, 3, 3, 1, 1]	-22
[7, 6, 3, 3, 2, 0]	-18
[7, 6, 4, 2, 1, 1]	-22
[7, 6, 4, 2, 2, 0]	-18
[7, 6, 4, 3, 1, 0]	-17
[7, 6, 4, 4, 0, 0]	-12
[7, 6, 5, 1, 1, 1]	-21
[7, 6, 5, 2, 1, 0]	-17
[7, 6, 5, 3, 0, 0]	-12
[7, 6, 6, 1, 1, 0]	-16
[7, 6, 6, 2, 0, 0]	-12
[7, 7, 2, 2, 2, 1]	-23
[7, 7, 3, 2, 1, 1]	-22
[7, 7, 3, 2, 2, 0]	-18
[7, 7, 3, 3, 1, 0]	-17
[7, 7, 4, 1, 1, 1]	-21
[7, 7, 4, 2, 1, 0]	-17
[7, 7, 4, 3, 0, 0]	-12
[7, 7, 5, 1, 1, 0]	-16
[7, 7, 5, 2, 0, 0]	-12
[7, 7, 6, 1, 0, 0]	-11
[7, 7, 7, 0, 0, 0]	-6
[8, 3, 3, 3, 2, 2]	-24
[8, 3, 3, 3, 3, 1]	-23
[8, 4, 3, 2, 2, 2]	-24
[8, 4, 3, 3, 2, 1]	-23
[8, 4, 3, 3, 3, 0]	-18
[8, 4, 4, 2, 2, 1]	-23
[8, 4, 4, 3, 1, 1]	-22
[8, 4, 4, 3, 2, 0]	-18
[8, 4, 4, 4, 1, 0]	-17
[8, 5, 2, 2, 2, 2]	-24
[8, 5, 3, 2, 2, 1]	-23
[8, 5, 3, 3, 1, 1]	-22
[8, 5, 3, 3, 2, 0]	-18
[8, 5, 4, 2, 1, 1]	-22
[8, 5, 4, 2, 2, 0]	-18
[8, 5, 4, 3, 1, 0]	-17
[8, 5, 4, 4, 0, 0]	-12
[8, 5, 5, 1, 1, 1]	-21
[8, 5, 5, 2, 1, 0]	-17
[8, 5, 5, 3, 0, 0]	-12
[8, 6, 2, 2, 2, 1]	-23
[8, 6, 3, 2, 1, 1]	-22
[8, 6, 3, 2, 2, 0]	-18
[8, 6, 3, 3, 1, 0]	-17
[8, 6, 4, 1, 1, 1]	-21
[8, 6, 4, 2, 1, 0]	-17
[8, 6, 4, 3, 0, 0]	-12
[8, 6, 5, 1, 1, 0]	-16
[8, 6, 5, 2, 0, 0]	-12
[8, 6, 6, 1, 0, 0]	-11
[8, 7, 2, 2, 1, 1]	-22
[8, 7, 2, 2, 2, 0]	-18
[8, 7, 3, 1, 1, 1]	-21
[8, 7, 3, 2, 1, 0]	-17
[8, 7, 3, 3, 0, 0]	-12
[8, 7, 4, 1, 1, 0]	-16
[8, 7, 4, 2, 0, 0]	-12
[8, 7, 5, 1, 0, 0]	-11
[8, 7, 6, 0, 0, 0]	-6
[8, 8, 2, 1, 1, 1]	-21
[8, 8, 2, 2, 1, 0]	-17
[8, 8, 3, 1, 1, 0]	-16
[8, 8, 3, 2, 0, 0]	-12
[8, 8, 4, 1, 0, 0]	-11
[8, 8, 5, 0, 0, 0]	-6
[9, 3, 3, 2, 2, 2]	-24
[9, 3, 3, 3, 2, 1]	-23
[9, 3, 3, 3, 3, 0]	-18
[9, 4, 2, 2, 2, 2]	-24
[9, 4, 3, 2, 2, 1]	-23
[9, 4, 3, 3, 1, 1]	-22
[9, 4, 3, 3, 2, 0]	-18
[9, 4, 4, 2, 1, 1]	-22
[9, 4, 4, 2, 2, 0]	-18
[9, 4, 4, 3, 1, 0]	-17
[9, 4, 4, 4, 0, 0]	-12
[9, 5, 2, 2, 2, 1]	-23
[9, 5, 3, 2, 1, 1]	-22
[9, 5, 3, 2, 2, 0]	-18
[9, 5, 3, 3, 1, 0]	-17
[9, 5, 4, 1, 1, 1]	-21
[9, 5, 4, 2, 1, 0]	-17
[9, 5, 4, 3, 0, 0]	-12
[9, 5, 5, 1, 1, 0]	-16
[9, 5, 5, 2, 0, 0]	-12
[9, 6, 2, 2, 1, 1]	-22
[9, 6, 2, 2, 2, 0]	-18
[9, 6, 3, 1, 1, 1]	-21
[9, 6, 3, 2, 1, 0]	-17
[9, 6, 3, 3, 0, 0]	-12
[9, 6, 4, 1, 1, 0]	-16
[9, 6, 4, 2, 0, 0]	-12
[9, 6, 5, 1, 0, 0]	-11
[9, 6, 6, 0, 0, 0]	-6
[9, 7, 2, 1, 1, 1]	-21
[9, 7, 2, 2, 1, 0]	-17
[9, 7, 3, 1, 1, 0]	-16
[9, 7, 3, 2, 0, 0]	-12
[9, 7, 4, 1, 0, 0]	-11
[9, 7, 5, 0, 0, 0]	-6
[9, 8, 1, 1, 1, 1]	-20
[9, 8, 2, 1, 1, 0]	-16
[9, 8, 2, 2, 0, 0]	-12
[9, 8, 3, 1, 0, 0]	-11
[9, 8, 4, 0, 0, 0]	-6
[9, 9, 1, 1, 1, 0]	-15
[9, 9, 2, 1, 0, 0]	-11
[9, 9, 3, 0, 0, 0]	-6
[10, 3, 2, 2, 2, 2]	-24
[10, 3, 3, 2, 2, 1]	-23
[10, 3, 3, 3, 1, 1]	-22
[10, 3, 3, 3, 2, 0]	-18
[10, 4, 2, 2, 2, 1]	-23
[10, 4, 3, 2, 1, 1]	-22
[10, 4, 3, 2, 2, 0]	-18
[10, 4, 3, 3, 1, 0]	-17
[10, 4, 4, 1, 1, 1]	-21
[10, 4, 4, 2, 1, 0]	-17
[10, 4, 4, 3, 0, 0]	-12
[10, 5, 2, 2, 1, 1]	-22
[10, 5, 2, 2, 2, 0]	-18
[10, 5, 3, 1, 1, 1]	-21
[10, 5, 3, 2, 1, 0]	-17
[10, 5, 3, 3, 0, 0]	-12
[10, 5, 4, 1, 1, 0]	-16
[10, 5, 4, 2, 0, 0]	-12
[10, 5, 5, 1, 0, 0]	-11
[10, 6, 2, 1, 1, 1]	-21
[10, 6, 2, 2, 1, 0]	-17
[10, 6, 3, 1, 1, 0]	-16
[10, 6, 3, 2, 0, 0]	-12
[10, 6, 4, 1, 0, 0]	-11
[10, 6, 5, 0, 0, 0]	-6
[10, 7, 1, 1, 1, 1]	-20
[10, 7, 2, 1, 1, 0]	-16
[10, 7, 2, 2, 0, 0]	-12
[10, 7, 3, 1, 0, 0]	-11
[10, 7, 4, 0, 0, 0]	-6
[10, 8, 1, 1, 1, 0]	-15
[10, 8, 2, 1, 0, 0]	-11
[10, 8, 3, 0, 0, 0]	-6
[10, 9, 1, 1, 0, 0]	-10
[10, 9, 2, 0, 0, 0]	-6
[10, 10, 1, 0, 0, 0]	-5
[11, 2, 2, 2, 2, 2]	-24
[11, 3, 2, 2, 2, 1]	-23
[11, 3, 3, 2, 1, 1]	-22
[11, 3, 3, 2, 2, 0]	-18
[11, 3, 3, 3, 1, 0]	-17
[11, 4, 2, 2, 1, 1]	-22
[11, 4, 2, 2, 2, 0]	-18
[11, 4, 3, 1, 1, 1]	-21
[11, 4, 3, 2, 1, 0]	-17
[11, 4, 3, 3, 0, 0]	-12
[11, 4, 4, 1, 1, 0]	-16
[11, 4, 4, 2, 0, 0]	-12
[11, 5, 2, 1, 1, 1]	-21
[11, 5, 2, 2, 1, 0]	-17
[11, 5, 3, 1, 1, 0]	-16
[11, 5, 3, 2, 0, 0]	-12
[11, 5, 4, 1, 0, 0]	-11
[11, 5, 5, 0, 0, 0]	-6
[11, 6, 1, 1, 1, 1]	-20
[11, 6, 2, 1, 1, 0]	-16
[11, 6, 2, 2, 0, 0]	-12
[11, 6, 3, 1, 0, 0]	-11
[11, 6, 4, 0, 0, 0]	-6
[11, 7, 1, 1, 1, 0]	-15
[11, 7, 2, 1, 0, 0]	-11
