Matchup	Value
[9, 4, 3, 3, 2, 0]	-17
[9, 4, 4, 2, 1, 1]	-19
[9, 4, 4, 2, 2, 0]	-16
[9, 4, 4, 3, 1, 0]	-16
[9, 4, 4, 4, 0, 0]	-12
[9, 5, 2, 2, 2, 1]	-19
[9, 5, 3, 2, 1, 1]	-19
[9, 5, 3, 2, 2, 0]	-16
[9, 5, 3, 3, 1, 0]	-16
[9, 5, 4, 1, 1, 1]	-18
[9, 5, 4, 2, 1, 0]	-15
[9, 5, 4, 3, 0, 0]	-12
[9, 5, 5, 1, 1, 0]	-14
[9, 5, 5, 2, 0, 0]	-11
[9, 6, 2, 2, 1, 1]	-18
[9, 6, 2, 2, 2, 0]	-15
[9, 6, 3, 1, 1, 1]	-18
[9, 6, 3, 2, 1, 0]	-15
[9, 6, 3, 3, 0, 0]	-12
[9, 6, 4, 1, 1, 0]	-14
[9, 6, 4, 2, 0, 0]	-11
[9, 6, 5, 1, 0, 0]	-10
[9, 6, 6, 0, 0, 0]	-6
[9, 7, 2, 1, 1, 1]	-17
[9, 7, 2, 2, 1, 0]	-14
[9, 7, 3, 1, 1, 0]	-14
[9, 7, 3, 2, 0, 0]	-11
[9, 7, 4, 1, 0, 0]	-10
[9, 7, 5, 0, 0, 0]	-6
[9, 8, 1, 1, 1, 1]	-16
[9, 8, 2, 1, 1, 0]	-13
[9, 8, 2, 2, 0, 0]	-10
[9, 8, 3, 1, 0, 0]	-10
[9, 8, 4, 0, 0, 0]	-6
[9, 9, 1, 1, 1, 0]	-12
[9, 9, 2, 1, 0, 0]	-9
[9, 9, 3, 0, 0, 0]	-6
[10, 3, 2, 2, 2, 2]	-20
[10, 3, 3, 2, 2, 1]	-20
[10, 3, 3, 3, 1, 1]	-20
[10, 3, 3, 3, 2, 0]	-17
[10, 4, 2, 2, 2, 1]	-19
[10, 4, 3, 2, 1, 1]	-19
[10, 4, 3, 2, 2, 0]	-16
[10, 4, 3, 3, 1, 0]	-16
[10, 4, 4, 1, 1, 1]	-18
[10, 4, 4, 2, 1, 0]	-15
[10, 4, 4, 3, 0, 0]	-12
[10, 5, 2, 2, 1, 1]	-18
[10, 5, 2, 2, 2, 0]	-15
[10, 5, 3, 1, 1, 1]	-18
[10, 5, 3, 2, 1, 0]	-15
[10, 5, 3, 3, 0, 0]	-12
[10, 5, 4, 1, 1, 0]	-14
[10, 5, 4, 2, 0, 0]	-11
[10, 5, 5, 1, 0, 0]	-10
[10, 6, 2, 1, 1, 1]	-17
[10, 6, 2, 2, 1, 0]	-14
[10, 6, 3, 1, 1, 0]	-14
