Matchup	Value
[4, 4, 4, 3, 3, 3]	+0
[4, 4, 4, 4, 3, 2]	-3
[4, 4, 4, 4, 4, 1]	-9
[5, 4, 3, 3, 3, 3]	+3
[5, 4, 4, 3, 3, 2]	+0
[5, 4, 4, 4, 2, 2]	-3
[5, 4, 4, 4, 3, 1]	-6
[5, 4, 4, 4, 4, 0]	-12
[5, 5, 3, 3, 3, 2]	+3
[5, 5, 4, 3, 2, 2]	+0
[5, 5, 4, 3, 3, 1]	-3
[5, 5, 4, 4, 2, 1]	-6
[5, 5, 4, 4, 3, 0]	-9
[5, 5, 5, 2, 2, 2]	+0
[5, 5, 5, 3, 2, 1]	-3
[5, 5, 5, 3, 3, 0]	-6
[5, 5, 5, 4, 1, 1]	-9
[5, 5, 5, 4, 2, 0]	-9
[5, 5, 5, 5, 1, 0]	-12
[6, 3, 3, 3, 3, 3]	+9
[6, 4, 3, 3, 3, 2]	+6
[6, 4, 4, 3, 2, 2]	+3
[6, 4, 4, 3, 3, 1]	+0
[6, 4, 4, 4, 2, 1]	-3
[6, 4, 4, 4, 3, 0]	-6
[6, 5, 3, 3, 2, 2]	+6
[6, 5, 3, 3, 3, 1]	+3
[6, 5, 4, 2, 2, 2]	+3
[6, 5, 4, 3, 2, 1]	+0
[6, 5, 4, 3, 3, 0]	-3
[6, 5, 4, 4, 1, 1]	-6
[6, 5, 4, 4, 2, 0]	-6
[6, 5, 5, 2, 2, 1]	+0
[6, 5, 5, 3, 1, 1]	-3
[6, 5, 5, 3, 2, 0]	-3
[6, 5, 5, 4, 1, 0]	-9
[6, 5, 5, 5, 0, 0]	-12
[6, 6, 3, 2, 2, 2]	+9
[6, 6, 3, 3, 2, 1]	+6
[6, 6, 3, 3, 3, 0]	+3
[6, 6, 4, 2, 2, 1]	+3
[6, 6, 4, 3, 1, 1]	+0
[6, 6, 4, 3, 2, 0]	+0
[6, 6, 4, 4, 1, 0]	-6
[6, 6, 5, 2, 1, 1]	+0
[6, 6, 5, 2, 2, 0]	+0
[6, 6, 5, 3, 1, 0]	-3
[6, 6, 5, 4, 0, 0]	-9
[6, 6, 6, 1, 1, 1]	+0
[6, 6, 6, 2, 1, 0]	+0
