Matchup	Value
[4, 4, 4, 3, 3, 3]	-6
[4, 4, 4, 4, 3, 2]	-4
[4, 4, 4, 4, 4, 1]	-4
[5, 4, 3, 3, 3, 3]	-5
[5, 4, 4, 3, 3, 2]	-3
[5, 4, 4, 4, 2, 2]	-1
[5, 4, 4, 4, 3, 1]	-3
[5, 4, 4, 4, 4, 0]	-5
[5, 5, 3, 3, 3, 2]	-2
[5, 5, 4, 3, 2, 2]	+0
[5, 5, 4, 3, 3, 1]	-2
[5, 5, 4, 4, 2, 1]	+0
[5, 5, 4, 4, 3, 0]	-4
[5, 5, 5, 2, 2, 2]	+3
[5, 5, 5, 3, 2, 1]	+1
[5, 5, 5, 3, 3, 0]	-3
[5, 5, 5, 4, 1, 1]	+1
[5, 5, 5, 4, 2, 0]	-1
[5, 5, 5, 5, 1, 0]	+0
[6, 3, 3, 3, 3, 3]	-5
[6, 4, 3, 3, 3, 2]	-3
[6, 4, 4, 3, 2, 2]	-1
[6, 4, 4, 3, 3, 1]	-3
[6, 4, 4, 4, 2, 1]	-1
[6, 4, 4, 4, 3, 0]	-5
[6, 5, 3, 3, 2, 2]	+0
[6, 5, 3, 3, 3, 1]	-2
[6, 5, 4, 2, 2, 2]	+2
[6, 5, 4, 3, 2, 1]	+0
[6, 5, 4, 3, 3, 0]	-4
[6, 5, 4, 4, 1, 1]	+0
[6, 5, 4, 4, 2, 0]	-2
[6, 5, 5, 2, 2, 1]	+3
[6, 5, 5, 3, 1, 1]	+1
[6, 5, 5, 3, 2, 0]	-1
[6, 5, 5, 4, 1, 0]	-1
[6, 5, 5, 5, 0, 0]	-2
[6, 6, 3, 2, 2, 2]	+2
[6, 6, 3, 3, 2, 1]	+0
[6, 6, 3, 3, 3, 0]	-4
[6, 6, 4, 2, 2, 1]	+2
[6, 6, 4, 3, 1, 1]	+0
[6, 6, 4, 3, 2, 0]	-2
[6, 6, 4, 4, 1, 0]	-2
[6, 6, 5, 2, 1, 1]	+3
[6, 6, 5, 2, 2, 0]	+1
[6, 6, 5, 3, 1, 0]	-1
[6, 6, 5, 4, 0, 0]	-3
[6, 6, 6, 1, 1, 1]	+3
[6, 6, 6, 2, 1, 0]	+1
[6, 6, 6, 3, 0, 0]	-3
[7, 3, 3, 3, 3, 2]	-2
[7, 4, 3, 3, 2, 2]	+0
[7, 4, 3, 3, 3, 1]	-2
[7, 4, 4, 2, 2, 2]	+2
[7, 4, 4, 3, 2, 1]	+0
[7, 4, 4, 3, 3, 0]	-4
[7, 4, 4, 4, 1, 1]	+0
[7, 4, 4, 4, 2, 0]	-2
[7, 5, 3, 2, 2, 2]	+3
[7, 5, 3, 3, 2, 1]	+1
[7, 5, 3, 3, 3, 0]	-3
[7, 5, 4, 2, 2, 1]	+3
[7, 5, 4, 3, 1, 1]	+1
[7, 5, 4, 3, 2, 0]	-1
[7, 5, 4, 4, 1, 0]	-1
[7, 5, 5, 2, 1, 1]	+4
[7, 5, 5, 2, 2, 0]	+2
[7, 5, 5, 3, 1, 0]	+0
[7, 5, 5, 4, 0, 0]	-2
[7, 6, 2, 2, 2, 2]	+5
[7, 6, 3, 2, 2, 1]	+3
[7, 6, 3, 3, 1, 1]	+1
[7, 6, 3, 3, 2, 0]	-1
[7, 6, 4, 2, 1, 1]	+3
[7, 6, 4, 2, 2, 0]	+1
[7, 6, 4, 3, 1, 0]	-1
[7, 6, 4, 4, 0, 0]	-3
[7, 6, 5, 1, 1, 1]	+4
[7, 6, 5, 2, 1, 0]	+2
[7, 6, 5, 3, 0, 0]	-2
[7, 6, 6, 1, 1, 0]	+2
[7, 6, 6, 2, 0, 0]	+0
[7, 7, 2, 2, 2, 1]	+6
[7, 7, 3, 2, 1, 1]	+4
[7, 7, 3, 2, 2, 0]	+2
[7, 7, 3, 3, 1, 0]	+0
[7, 7, 4, 1, 1, 1]	+4
[7, 7, 4, 2, 1, 0]	+2
[7, 7, 4, 3, 0, 0]	-2
[7, 7, 5, 1, 1, 0]	+3
[7, 7, 5, 2, 0, 0]	+1
[7, 7, 6, 1, 0, 0]	+1
[7, 7, 7, 0, 0, 0]	+0
[8, 3, 3, 3, 2, 2]	+2
[8, 3, 3, 3, 3, 1]	+0
[8, 4, 3, 2, 2, 2]	+4
[8, 4, 3, 3, 2, 1]	+2
[8, 4, 3, 3, 3, 0]	-2
[8, 4, 4, 2, 2, 1]	+4
[8, 4, 4, 3, 1, 1]	+2
[8, 4, 4, 3, 2, 0]	+0
[8, 4, 4, 4, 1, 0]	+0
[8, 5, 2, 2, 2, 2]	+7
[8, 5, 3, 2, 2, 1]	+5
[8, 5, 3, 3, 1, 1]	+3
[8, 5, 3, 3, 2, 0]	+1
[8, 5, 4, 2, 1, 1]	+5
[8, 5, 4, 2, 2, 0]	+3
[8, 5, 4, 3, 1, 0]	+1
[8, 5, 4, 4, 0, 0]	-1
[8, 5, 5, 1, 1, 1]	+6
[8, 5, 5, 2, 1, 0]	+4
[8, 5, 5, 3, 0, 0]	+0
[8, 6, 2, 2, 2, 1]	+7
[8, 6, 3, 2, 1, 1]	+5
[8, 6, 3, 2, 2, 0]	+3
[8, 6, 3, 3, 1, 0]	+1
[8, 6, 4, 1, 1, 1]	+5
[8, 6, 4, 2, 1, 0]	+3
[8, 6, 4, 3, 0, 0]	-1
[8, 6, 5, 1, 1, 0]	+4
[8, 6, 5, 2, 0, 0]	+2
[8, 6, 6, 1, 0, 0]	+2
[8, 7, 2, 2, 1, 1]	+8
[8, 7, 2, 2, 2, 0]	+6
[8, 7, 3, 1, 1, 1]	+6
[8, 7, 3, 2, 1, 0]	+4
[8, 7, 3, 3, 0, 0]	+0
[8, 7, 4, 1, 1, 0]	+4
[8, 7, 4, 2, 0, 0]	+2
[8, 7, 5, 1, 0, 0]	+3
[8, 7, 6, 0, 0, 0]	+1
[8, 8, 2, 1, 1, 1]	+10
[8, 8, 2, 2, 1, 0]	+8
[8, 8, 3, 1, 1, 0]	+6
[8, 8, 3, 2, 0, 0]	+4
[8, 8, 4, 1, 0, 0]	+4
[8, 8, 5, 0, 0, 0]	+3
[9, 3, 3, 2, 2, 2]	+6
[9, 3, 3, 3, 2, 1]	+4
[9, 3, 3, 3, 3, 0]	+0
[9, 4, 2, 2, 2, 2]	+8
[9, 4, 3, 2, 2, 1]	+6
[9, 4, 3, 3, 1, 1]	+4
[9, 4, 3, 3, 2, 0]	+2
[9, 4, 4, 2, 1, 1]	+6
[9, 4, 4, 2, 2, 0]	+4
[9, 4, 4, 3, 1, 0]	+2
[9, 4, 4, 4, 0, 0]	+0
[9, 5, 2, 2, 2, 1]	+9
[9, 5, 3, 2, 1, 1]	+7
[9, 5, 3, 2, 2, 0]	+5
[9, 5, 3, 3, 1, 0]	+3
[9, 5, 4, 1, 1, 1]	+7
[9, 5, 4, 2, 1, 0]	+5
[9, 5, 4, 3, 0, 0]	+1
[9, 5, 5, 1, 1, 0]	+6
[9, 5, 5, 2, 0, 0]	+4
[9, 6, 2, 2, 1, 1]	+9
[9, 6, 2, 2, 2, 0]	+7
[9, 6, 3, 1, 1, 1]	+7
[9, 6, 3, 2, 1, 0]	+5
[9, 6, 3, 3, 0, 0]	+1
[9, 6, 4, 1, 1, 0]	+5
[9, 6, 4, 2, 0, 0]	+3
[9, 6, 5, 1, 0, 0]	+4
[9, 6, 6, 0, 0, 0]	+2
[9, 7, 2, 1, 1, 1]	+10
[9, 7, 2, 2, 1, 0]	+8
[9, 7, 3, 1, 1, 0]	+6
[9, 7, 3, 2, 0, 0]	+4
[9, 7, 4, 1, 0, 0]	+4
[9, 7, 5, 0, 0, 0]	+3
[9, 8, 1, 1, 1, 1]	+12
[9, 8, 2, 1, 1, 0]	+10
[9, 8, 2, 2, 0, 0]	+8
[9, 8, 3, 1, 0, 0]	+6
[9, 8, 4, 0, 0, 0]	+4
[9, 9, 1, 1, 1, 0]	+12
[9, 9, 2, 1, 0, 0]	+10
[9, 9, 3, 0, 0, 0]	+6
[10, 3, 2, 2, 2, 2]	+10
[10, 3, 3, 2, 2, 1]	+8
[10, 3, 3, 3, 1, 1]	+6
[10, 3, 3, 3, 2, 0]	+4
[10, 4, 2, 2, 2, 1]	+10
[10, 4, 3, 2, 1, 1]	+8
[10, 4, 3, 2, 2, 0]	+6
[10, 4, 3, 3, 1, 0]	+4
[10, 4, 4, 1, 1, 1]	+8
[10, 4, 4, 2, 1, 0]	+6
[10, 4, 4, 3, 0, 0]	+2
[10, 5, 2, 2, 1, 1]	+11
[10, 5, 2, 2, 2, 0]	+9
[10, 5, 3, 1, 1, 1]	+9
[10, 5, 3, 2, 1, 0]	+7
[10, 5, 3, 3, 0, 0]	+3
[10, 5, 4, 1, 1, 0]	+7
[10, 5, 4, 2, 0, 0]	+5
[10, 5, 5, 1, 0, 0]	+6
[10, 6, 2, 1, 1, 1]	+11
[10, 6, 2, 2, 1, 0]	+9
[10, 6, 3, 1, 1, 0]	+7
[10, 6, 3, 2, 0, 0]	+5
[10, 6, 4, 1, 0, 0]	+5
[10, 6, 5, 0, 0, 0]	+4
[10, 7, 1, 1, 1, 1]	+12
[10, 7, 2, 1, 1, 0]	+10
[10, 7, 2, 2, 0, 0]	+8
[10, 7, 3, 1, 0, 0]	+6
[10, 7, 4, 0, 0, 0]	+4
[10, 8, 1, 1, 1, 0]	+12
[10, 8, 2, 1, 0, 0]	+10
[10, 8, 3, 0, 0, 0]	+6
[10, 9, 1, 1, 0, 0]	+12
[10, 9, 2, 0, 0, 0]	+10
[10, 10, 1, 0, 0, 0]	+12
[11, 2, 2, 2, 2, 2]	+14
[11, 3, 2, 2, 2, 1]	+12
[11, 3, 3, 2, 1, 1]	+10
[11, 3, 3, 2, 2, 0]	+8
[11, 3, 3, 3, 1, 0]	+6
[11, 4, 2, 2, 1, 1]	+12
[11, 4, 2, 2, 2, 0]	+10
[11, 4, 3, 1, 1, 1]	+10
[11, 4, 3, 2, 1, 0]	+8
[11, 4, 3, 3, 0, 0]	+4
[11, 4, 4, 1, 1, 0]	+8
[11, 4, 4, 2, 0, 0]	+6
[11, 5, 2, 1, 1, 1]	+13
[11, 5, 2, 2, 1, 0]	+11
[11, 5, 3, 1, 1, 0]	+9
[11, 5, 3, 2, 0, 0]	+7
[11, 5, 4, 1, 0, 0]	+7
[11, 5, 5, 0, 0, 0]	+6
[11, 6, 1, 1, 1, 1]	+13
[11, 6, 2, 1, 1, 0]	+11
[11, 6, 2, 2, 0, 0]	+9
[11, 6, 3, 1, 0, 0]	+7
[11, 6, 4, 0, 0, 0]	+5
[11, 7, 1, 1, 1, 0]	+12
[11, 7, 2, 1, 0, 0]	+10
[11, 7, 3, 0, 0, 0]	+6
[11, 8, 1, 1, 0, 0]	+12
[11, 8, 2, 0, 0, 0]	+10
[11, 9, 1, 0, 0, 0]	+12
[11, 10, 0, 0, 0, 0]	+12
[12, 2, 2, 2, 2, 1]	+16
[12, 3, 2, 2, 1, 1]	+14
[12, 3, 2, 2, 2, 0]	+12
[12, 3, 3, 1, 1, 1]	+12
