Matchup	Value
[4, 4, 4, 3, 3, 3]	-12
[4, 4, 4, 4, 3, 2]	-12
[4, 4, 4, 4, 4, 1]	-12
[5, 4, 3, 3, 3, 3]	-12
[5, 4, 4, 3, 3, 2]	-12
[5, 4, 4, 4, 2, 2]	-12
[5, 4, 4, 4, 3, 1]	-12
[5, 4, 4, 4, 4, 0]	-8
[5, 5, 3, 3, 3, 2]	-12
[5, 5, 4, 3, 2, 2]	-12
[5, 5, 4, 3, 3, 1]	-12
[5, 5, 4, 4, 2, 1]	-12
[5, 5, 4, 4, 3, 0]	-8
[5, 5, 5, 2, 2, 2]	-12
[5, 5, 5, 3, 2, 1]	-12
[5, 5, 5, 3, 3, 0]	-8
[5, 5, 5, 4, 1, 1]	-12
[5, 5, 5, 4, 2, 0]	-8
[5, 5, 5, 5, 1, 0]	-8
[6, 3, 3, 3, 3, 3]	-12
[6, 4, 3, 3, 3, 2]	-12
[6, 4, 4, 3, 2, 2]	-12
[6, 4, 4, 3, 3, 1]	-12
[6, 4, 4, 4, 2, 1]	-12
[6, 4, 4, 4, 3, 0]	-8
[6, 5, 3, 3, 2, 2]	-12
[6, 5, 3, 3, 3, 1]	-12
[6, 5, 4, 2, 2, 2]	-12
[6, 5, 4, 3, 2, 1]	-12
[6, 5, 4, 3, 3, 0]	-8
[6, 5, 4, 4, 1, 1]	-12
[6, 5, 4, 4, 2, 0]	-8
[6, 5, 5, 2, 2, 1]	-12
[6, 5, 5, 3, 1, 1]	-12
[6, 5, 5, 3, 2, 0]	-8
[6, 5, 5, 4, 1, 0]	-8
[6, 5, 5, 5, 0, 0]	-4
[6, 6, 3, 2, 2, 2]	-12
[6, 6, 3, 3, 2, 1]	-12
[6, 6, 3, 3, 3, 0]	-8
[6, 6, 4, 2, 2, 1]	-12
[6, 6, 4, 3, 1, 1]	-12
[6, 6, 4, 3, 2, 0]	-8
[6, 6, 4, 4, 1, 0]	-8
[6, 6, 5, 2, 1, 1]	-12
[6, 6, 5, 2, 2, 0]	-8
[6, 6, 5, 3, 1, 0]	-8
[6, 6, 5, 4, 0, 0]	-4
[6, 6, 6, 1, 1, 1]	-12
[6, 6, 6, 2, 1, 0]	-8
[6, 6, 6, 3, 0, 0]	-4
[7, 3, 3, 3, 3, 2]	-12
[7, 4, 3, 3, 2, 2]	-12
[7, 4, 3, 3, 3, 1]	-12
[7, 4, 4, 2, 2, 2]	-12
[7, 4, 4, 3, 2, 1]	-12
[7, 4, 4, 3, 3, 0]	-8
[7, 4, 4, 4, 1, 1]	-12
[7, 4, 4, 4, 2, 0]	-8
[7, 5, 3, 2, 2, 2]	-12
[7, 5, 3, 3, 2, 1]	-12
[7, 5, 3, 3, 3, 0]	-8
[7, 5, 4, 2, 2, 1]	-12
[7, 5, 4, 3, 1, 1]	-12
[7, 5, 4, 3, 2, 0]	-8
[7, 5, 4, 4, 1, 0]	-8
[7, 5, 5, 2, 1, 1]	-12
[7, 5, 5, 2, 2, 0]	-8
[7, 5, 5, 3, 1, 0]	-8
[7, 5, 5, 4, 0, 0]	-4
[7, 6, 2, 2, 2, 2]	-12
[7, 6, 3, 2, 2, 1]	-12
[7, 6, 3, 3, 1, 1]	-12
[7, 6, 3, 3, 2, 0]	-8
[7, 6, 4, 2, 1, 1]	-12
[7, 6, 4, 2, 2, 0]	-8
[7, 6, 4, 3, 1, 0]	-8
[7, 6, 4, 4, 0, 0]	-4
[7, 6, 5, 1, 1, 1]	-12
[7, 6, 5, 2, 1, 0]	-8
[7, 6, 5, 3, 0, 0]	-4
[7, 6, 6, 1, 1, 0]	-8
[7, 6, 6, 2, 0, 0]	-4
[7, 7, 2, 2, 2, 1]	-12
[7, 7, 3, 2, 1, 1]	-12
[7, 7, 3, 2, 2, 0]	-8
[7, 7, 3, 3, 1, 0]	-8
[7, 7, 4, 1, 1, 1]	-12
[7, 7, 4, 2, 1, 0]	-8
[7, 7, 4, 3, 0, 0]	-4
[7, 7, 5, 1, 1, 0]	-8
[7, 7, 5, 2, 0, 0]	-4
[7, 7, 6, 1, 0, 0]	-4
[7, 7, 7, 0, 0, 0]	+0
[8, 3, 3, 3, 2, 2]	-13
[8, 3, 3, 3, 3, 1]	-13
[8, 4, 3, 2, 2, 2]	-13
[8, 4, 3, 3, 2, 1]	-13
[8, 4, 3, 3, 3, 0]	-9
[8, 4, 4, 2, 2, 1]	-13
[8, 4, 4, 3, 1, 1]	-13
[8, 4, 4, 3, 2, 0]	-9
[8, 4, 4, 4, 1, 0]	-9
[8, 5, 2, 2, 2, 2]	-13
[8, 5, 3, 2, 2, 1]	-13
[8, 5, 3, 3, 1, 1]	-13
[8, 5, 3, 3, 2, 0]	-9
[8, 5, 4, 2, 1, 1]	-13
[8, 5, 4, 2, 2, 0]	-9
[8, 5, 4, 3, 1, 0]	-9
[8, 5, 4, 4, 0, 0]	-5
[8, 5, 5, 1, 1, 1]	-13
[8, 5, 5, 2, 1, 0]	-9
[8, 5, 5, 3, 0, 0]	-5
[8, 6, 2, 2, 2, 1]	-13
[8, 6, 3, 2, 1, 1]	-13
[8, 6, 3, 2, 2, 0]	-9
[8, 6, 3, 3, 1, 0]	-9
[8, 6, 4, 1, 1, 1]	-13
[8, 6, 4, 2, 1, 0]	-9
[8, 6, 4, 3, 0, 0]	-5
[8, 6, 5, 1, 1, 0]	-9
[8, 6, 5, 2, 0, 0]	-5
[8, 6, 6, 1, 0, 0]	-5
[8, 7, 2, 2, 1, 1]	-13
[8, 7, 2, 2, 2, 0]	-9
[8, 7, 3, 1, 1, 1]	-13
[8, 7, 3, 2, 1, 0]	-9
[8, 7, 3, 3, 0, 0]	-5
[8, 7, 4, 1, 1, 0]	-9
[8, 7, 4, 2, 0, 0]	-5
[8, 7, 5, 1, 0, 0]	-5
[8, 7, 6, 0, 0, 0]	-1
[8, 8, 2, 1, 1, 1]	-14
[8, 8, 2, 2, 1, 0]	-10
[8, 8, 3, 1, 1, 0]	-10
[8, 8, 3, 2, 0, 0]	-6
[8, 8, 4, 1, 0, 0]	-6
[8, 8, 5, 0, 0, 0]	-2
[9, 3, 3, 2, 2, 2]	-14
[9, 3, 3, 3, 2, 1]	-14
[9, 3, 3, 3, 3, 0]	-10
[9, 4, 2, 2, 2, 2]	-14
[9, 4, 3, 2, 2, 1]	-14
[9, 4, 3, 3, 1, 1]	-14
[9, 4, 3, 3, 2, 0]	-10
[9, 4, 4, 2, 1, 1]	-14
[9, 4, 4, 2, 2, 0]	-10
[9, 4, 4, 3, 1, 0]	-10
[9, 4, 4, 4, 0, 0]	-6
[9, 5, 2, 2, 2, 1]	-14
[9, 5, 3, 2, 1, 1]	-14
[9, 5, 3, 2, 2, 0]	-10
[9, 5, 3, 3, 1, 0]	-10
[9, 5, 4, 1, 1, 1]	-14
[9, 5, 4, 2, 1, 0]	-10
[9, 5, 4, 3, 0, 0]	-6
[9, 5, 5, 1, 1, 0]	-10
[9, 5, 5, 2, 0, 0]	-6
[9, 6, 2, 2, 1, 1]	-14
[9, 6, 2, 2, 2, 0]	-10
[9, 6, 3, 1, 1, 1]	-14
[9, 6, 3, 2, 1, 0]	-10
[9, 6, 3, 3, 0, 0]	-6
[9, 6, 4, 1, 1, 0]	-10
[9, 6, 4, 2, 0, 0]	-6
[9, 6, 5, 1, 0, 0]	-6
[9, 6, 6, 0, 0, 0]	-2
[9, 7, 2, 1, 1, 1]	-14
[9, 7, 2, 2, 1, 0]	-10
[9, 7, 3, 1, 1, 0]	-10
[9, 7, 3, 2, 0, 0]	-6
[9, 7, 4, 1, 0, 0]	-6
[9, 7, 5, 0, 0, 0]	-2
[9, 8, 1, 1, 1, 1]	-15
[9, 8, 2, 1, 1, 0]	-11
[9, 8, 2, 2, 0, 0]	-7
[9, 8, 3, 1, 0, 0]	-7
[9, 8, 4, 0, 0, 0]	-3
[9, 9, 1, 1, 1, 0]	-12
[9, 9, 2, 1, 0, 0]	-8
[9, 9, 3, 0, 0, 0]	-4
[10, 3, 2, 2, 2, 2]	-14
[10, 3, 3, 2, 2, 1]	-14
[10, 3, 3, 3, 1, 1]	-14
[10, 3, 3, 3, 2, 0]	-10
[10, 4, 2, 2, 2, 1]	-14
[10, 4, 3, 2, 1, 1]	-14
[10, 4, 3, 2, 2, 0]	-10
[10, 4, 3, 3, 1, 0]	-10
[10, 4, 4, 1, 1, 1]	-14
[10, 4, 4, 2, 1, 0]	-10
[10, 4, 4, 3, 0, 0]	-6
[10, 5, 2, 2, 1, 1]	-14
[10, 5, 2, 2, 2, 0]	-10
[10, 5, 3, 1, 1, 1]	-14
[10, 5, 3, 2, 1, 0]	-10
[10, 5, 3, 3, 0, 0]	-6
[10, 5, 4, 1, 1, 0]	-10
[10, 5, 4, 2, 0, 0]	-6
[10, 5, 5, 1, 0, 0]	-6
[10, 6, 2, 1, 1, 1]	-14
[10, 6, 2, 2, 1, 0]	-10
[10, 6, 3, 1, 1, 0]	-10
[10, 6, 3, 2, 0, 0]	-6
[10, 6, 4, 1, 0, 0]	-6
[10, 6, 5, 0, 0, 0]	-2
[10, 7, 1, 1, 1, 1]	-14
[10, 7, 2, 1, 1, 0]	-10
[10, 7, 2, 2, 0, 0]	-6
[10, 7, 3, 1, 0, 0]	-6
[10, 7, 4, 0, 0, 0]	-2
[10, 8, 1, 1, 1, 0]	-11
[10, 8, 2, 1, 0, 0]	-7
[10, 8, 3, 0, 0, 0]	-3
[10, 9, 1, 1, 0, 0]	-8
